REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"Region","BiomassExtraction",1,2020,1314
"Region","BiomassExtraction",1,2021,1314
"Region","BiomassExtraction",1,2022,1314
"Region","BiomassExtraction",1,2023,1314
"Region","BiomassExtraction",1,2024,1314
"Region","BiomassExtraction",1,2025,1314
"Region","BiomassPlant",1,2020,438
"Region","BiomassPlant",1,2021,438
"Region","BiomassPlant",1,2022,438
"Region","BiomassPlant",1,2023,438
"Region","BiomassPlant",1,2024,438
"Region","BiomassPlant",1,2025,438
"Region","GasExtraction",1,2020,1291.8
"Region","GasExtraction",1,2021,1291.8
"Region","GasExtraction",1,2022,1291.8
"Region","GasExtraction",1,2023,1291.8
"Region","GasExtraction",1,2024,1291.8
"Region","GasExtraction",1,2025,1291.8
"Region","GasTurbine",1,2020,430.6
"Region","GasTurbine",1,2021,430.6
"Region","GasTurbine",1,2022,430.6
"Region","GasTurbine",1,2023,430.6
"Region","GasTurbine",1,2024,430.6
"Region","GasTurbine",1,2025,430.6
"Region","SolarPV",1,2020,131.4
"Region","SolarPV",1,2021,131.4
"Region","SolarPV",1,2022,131.4
"Region","SolarPV",1,2023,131.4
"Region","SolarPV",1,2024,131.4
"Region","SolarPV",1,2025,131.4
"Region","Sun",1,2020,131.4
"Region","Sun",1,2021,131.4
"Region","Sun",1,2022,131.4
"Region","Sun",1,2023,131.4
"Region","Sun",1,2024,131.4
"Region","Sun",1,2025,131.4
