REGION,EMISSION,YEAR,VALUE
"Region1","CO2",2018,825.085334682443
"Region1","CO2",2019,879.721800422584
"Region1","CO2",2020,929.522275662281
"Region1","CO2",2021,966.095263004864
"Region1","CO2",2022,1028.31814170312
"Region1","CO2",2023,1083.09683994292
"Region1","CO2",2024,1172.84503097537
"Region1","CO2",2025,1178.61505474699
"Region1","CO2",2026,1252.96926986017
"Region1","CO2",2027,1370.90460401417
"Region1","CO2",2028,1405.19596793888
"Region1","CO2",2029,1478.11302993866
"Region1","CO2",2030,1551.06839162223
"Region1","CO2",2031,1626.33333595058
"Region1","CO2",2032,1693.00939321223
"Region1","CO2",2033,1805.44509958037
"Region1","CO2",2034,1850.29952015832
"Region1","CO2",2035,1977.13074497267
