REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,1314.82448688353
"Region1","BIODSL_PROD_001",2019,1377.60830511253
"Region1","BIODSL_PROD_001",2020,1443.39004444415
"Region1","BIODSL_PROD_001",2021,1512.31293921128
"Region1","BIODSL_PROD_001",2022,1584.52693932809
"Region1","BIODSL_PROD_001",2023,1660.18919681122
"Region1","BIODSL_PROD_001",2024,1752.0226681975
"Region1","BIODSL_PROD_001",2025,1964.77545765756
"Region1","BIODSL_PROD_001",2026,2056.25453383237
"Region1","BIODSL_PROD_001",2027,2152.02855971731
"Region1","BIODSL_PROD_001",2028,2152.02855971731
"Region1","BIODSL_PROD_001",2029,2547.73730387276
"Region1","BIODSL_PROD_001",2030,2633.14605618164
"Region1","BIODSL_PROD_001",2031,2688.23396736956
"Region1","BIODSL_PROD_001",2032,2688.23396736956
"Region1","BIODSL_PROD_001",2033,3070.34010958636
"Region1","BIODSL_PROD_001",2034,3236.77645836181
"Region1","BIODSL_PROD_001",2035,3333.57335733573
"Region1","PWR_BIO_001",2018,120.9
"Region1","PWR_BIO_001",2019,139.142
"Region1","PWR_BIO_001",2020,133.4704
"Region1","PWR_BIO_001",2021,127.9662
"Region1","PWR_BIO_001",2022,122.7208
"Region1","PWR_BIO_001",2023,118.0084
"Region1","PWR_BIO_001",2024,113.3568
"Region1","PWR_BIO_001",2025,108.766
"Region1","PWR_BIO_001",2026,104.236
"Region1","PWR_BIO_001",2027,100.2162
"Region1","PWR_BIO_001",2028,96.2496
"Region1","PWR_BIO_001",2029,92.778
"Region1","PWR_BIO_001",2030,88.914
"Region1","PWR_BIO_001",2031,85.5374
"Region1","PWR_BIO_001",2032,82.6368
"Region1","PWR_BIO_001",2033,79.3476
"Region1","PWR_BIO_001",2034,76.104
"Region1","PWR_BIO_001",2035,94.9176100666826
"Region1","PWR_COA_001",2018,1322.21944
"Region1","PWR_COA_001",2019,1274.365415
"Region1","PWR_COA_001",2020,1436.235
"Region1","PWR_COA_001",2021,1616.9216
"Region1","PWR_COA_001",2022,1797.4008
"Region1","PWR_COA_001",2023,1978.5614
"Region1","PWR_COA_001",2024,2159.493
"Region1","PWR_COA_001",2025,2117.75825
"Region1","PWR_COA_001",2026,2223.7776
"Region1","PWR_COA_001",2027,2405.7615
"Region1","PWR_COA_001",2028,2367.0703
"Region1","PWR_COA_001",2029,2508.60330802355
"Region1","PWR_COA_001",2030,2691.43857459371
"Region1","PWR_COA_001",2031,2873.53969116386
"Region1","PWR_COA_001",2032,3055.77520773402
"Region1","PWR_COA_001",2033,3237.69802430418
"Region1","PWR_COA_001",2034,3419.30004087433
"Region1","PWR_COA_001",2035,3600.14090744449
"Region1","PWR_GEO_001",2018,39.55455
"Region1","PWR_GEO_001",2019,46.345
"Region1","PWR_GEO_001",2020,49.6
"Region1","PWR_GEO_001",2021,67.887
"Region1","PWR_GEO_001",2022,85.892
"Region1","PWR_GEO_001",2023,103.8105
"Region1","PWR_GEO_001",2024,121.25
"Region1","PWR_GEO_001",2025,138.6
"Region1","PWR_GEO_001",2026,136.565
"Region1","PWR_GEO_001",2027,134.545
"Region1","PWR_GEO_001",2028,132.54
"Region1","PWR_GEO_001",2029,130.55
"Region1","PWR_GEO_001",2030,128.76
"Region1","PWR_GEO_001",2031,145.1485
"Region1","PWR_GEO_001",2032,161.434
"Region1","PWR_GEO_001",2033,177.4315
"Region1","PWR_GEO_001",2034,193.141
"Region1","PWR_GEO_001",2035,208.5625
"Region1","PWR_HYD_001",2018,211.26784
"Region1","PWR_HYD_001",2019,206.1216
"Region1","PWR_HYD_001",2020,200.941
"Region1","PWR_HYD_001",2021,195.8022
"Region1","PWR_HYD_001",2022,191.0784
"Region1","PWR_HYD_001",2023,186.0213
"Region1","PWR_HYD_001",2024,254.886
"Region1","PWR_HYD_001",2025,250.2675
"Region1","PWR_HYD_001",2026,245.3176
"Region1","PWR_HYD_001",2027,240.7694
"Region1","PWR_HYD_001",2028,235.8936
"Region1","PWR_HYD_001",2029,231.4157
"Region1","PWR_HYD_001",2030,226.972
"Region1","PWR_HYD_001",2031,222.9186
"Region1","PWR_HYD_001",2032,218.5414
"Region1","PWR_HYD_001",2033,214.5507
"Region1","PWR_HYD_001",2034,210.5904
"Region1","PWR_HYD_001",2035,380.9105
"Region1","PWR_NGS_001",2018,459.798
"Region1","PWR_NGS_001",2019,443.0608
"Region1","PWR_NGS_001",2020,427.112
"Region1","PWR_NGS_001",2021,458.4366
"Region1","PWR_NGS_001",2022,535.6838
"Region1","PWR_NGS_001",2023,612.9134
"Region1","PWR_NGS_001",2024,689.892
"Region1","PWR_NGS_001",2025,675.6745
"Region1","PWR_NGS_001",2026,661.759
"Region1","PWR_NGS_001",2027,699.468
"Region1","PWR_NGS_001",2028,686.6712
"Region1","PWR_NGS_001",2029,673.9402
"Region1","PWR_NGS_001",2030,661.725
"Region1","PWR_NGS_001",2031,694.6571
"Region1","PWR_NGS_001",2032,727.5944
"Region1","PWR_NGS_001",2033,805.5606
"Region1","PWR_NGS_001",2034,883.0228
"Region1","PWR_NGS_001",2035,960.424
"Region1","PWR_OILPRD_001",2018,41.6
"Region1","PWR_OILPRD_001",2019,39.92
"Region1","PWR_OILPRD_001",2020,38.32
"Region1","PWR_OILPRD_001",2021,36.8
"Region1","PWR_OILPRD_001",2022,35.36
"Region1","PWR_OILPRD_001",2023,33.92
"Region1","PWR_OILPRD_001",2024,32.56
"Region1","PWR_OILPRD_001",2025,31.28
"Region1","PWR_OILPRD_001",2026,30
"Region1","PWR_OILPRD_001",2027,28.8
"Region1","PWR_OILPRD_001",2028,27.68
"Region1","PWR_OILPRD_001",2029,26.56
"Region1","PWR_OILPRD_001",2030,25.52
"Region1","PWR_OILPRD_001",2031,24.48
"Region1","PWR_OILPRD_001",2032,23.52
"Region1","PWR_OILPRD_001",2033,22.56
"Region1","PWR_OILPRD_001",2034,21.68
"Region1","PWR_OILPRD_001",2035,20.8
"Region1","PWR_SOL_003",2024,5.475
"Region1","PWR_SOL_003",2025,23.5625
"Region1","PWR_SOL_003",2026,23.4
"Region1","PWR_SOL_003",2027,41.1125
"Region1","PWR_SOL_003",2028,58.575
"Region1","PWR_SOL_003",2029,75.7875
"Region1","PWR_SOL_003",2030,110.25
"Region1","PWR_SOL_003",2031,109.4625
"Region1","PWR_SOL_003",2032,140.839206011244
"Region1","PWR_SOL_003",2033,174.068632054641
"Region1","PWR_SOL_003",2034,172.798058098038
"Region1","PWR_SOL_003",2035,205.277484141435
"Region1","PWR_SOL_E001",2018,2.79
"Region1","PWR_SOL_E001",2019,2.745
"Region1","PWR_SOL_E001",2020,3.9
"Region1","PWR_SOL_E001",2021,3.835
"Region1","PWR_SOL_E001",2022,3.77
"Region1","PWR_SOL_E001",2023,3.705
"Region1","PWR_SOL_E001",2024,10.5
"Region1","PWR_SOL_E001",2025,44.6875
"Region1","PWR_SOL_E001",2026,43.875
"Region1","PWR_SOL_E001",2027,43.0625
"Region1","PWR_SOL_E001",2028,42.25
"Region1","PWR_SOL_E001",2029,41.4375
"Region1","PWR_SOL_E001",2030,103.125
"Region1","PWR_SOL_E001",2031,158.367302982731
"Region1","PWR_SOL_E001",2032,215.135317207573
"Region1","PWR_SOL_E001",2033,269.403331432415
"Region1","PWR_SOL_E001",2034,321.171345657258
"Region1","PWR_SOL_E001",2035,370.4393598821
"Region1","PWR_WND_E001",2018,9.1784
"Region1","PWR_WND_E001",2019,10.032
"Region1","PWR_WND_E001",2020,9.9
"Region1","PWR_WND_E001",2021,9.768
"Region1","PWR_WND_E001",2022,9.636
"Region1","PWR_WND_E001",2023,9.504
"Region1","PWR_WND_E001",2024,9.372
"Region1","PWR_WND_E001",2025,100.8
"Region1","PWR_WND_E001",2026,99.36
"Region1","PWR_WND_E001",2027,97.92
"Region1","PWR_WND_E001",2028,96.48
"Region1","PWR_WND_E001",2029,95.04
"Region1","PWR_WND_E001",2030,93.6
"Region1","PWR_WND_E001",2031,348.16
"Region1","PWR_WND_E001",2032,594.72
"Region1","PWR_WND_E001",2033,833.28
"Region1","PWR_WND_E001",2034,1063.84
"Region1","PWR_WND_E001",2035,1286.4
