REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,1060.86867597223
"Region1","BIO_RESPRD",2019,1111.52592093651
"Region1","BIO_RESPRD",2020,1164.60204433097
"Region1","BIO_RESPRD",2021,1220.21261505367
"Region1","BIO_RESPRD",2022,1278.47862048239
"Region1","BIO_RESPRD",2023,1339.52685902521
"Region1","BIO_RESPRD",2024,1413.62287272999
"Region1","BIO_RESPRD",2025,1585.28287169978
"Region1","BIO_RESPRD",2026,1659.0929409439
"Region1","BIO_RESPRD",2027,1736.36839865455
"Region1","BIO_RESPRD",2028,1691.38013738223
"Region1","BIO_RESPRD",2029,1772.14472411895
"Region1","BIO_RESPRD",2030,2124.55897964302
"Region1","BIO_RESPRD",2031,2169.00676715155
"Region1","BIO_RESPRD",2032,2169.00676715155
"Region1","BIO_RESPRD",2033,2135.65465253556
"Region1","BIO_RESPRD",2034,2251.423769287
"Region1","BIO_RESPRD",2035,2689.7001
"Region1","BIODSL_PROD_001",2018,449.10907598306
"Region1","BIODSL_PROD_001",2019,470.554358507687
"Region1","BIODSL_PROD_001",2020,493.023651149026
"Region1","BIODSL_PROD_001",2021,516.565878945763
"Region1","BIODSL_PROD_001",2022,541.232260800556
"Region1","BIODSL_PROD_001",2023,567.076475662712
"Region1","BIODSL_PROD_001",2024,598.444347108709
"Region1","BIODSL_PROD_001",2025,671.115041669395
"Region1","BIODSL_PROD_001",2026,702.361861136556
"Region1","BIODSL_PROD_001",2027,735.075721197313
"Region1","BIODSL_PROD_001",2028,716.03035120222
"Region1","BIODSL_PROD_001",2029,750.22130220588
"Region1","BIODSL_PROD_001",2030,899.41266231143
"Region1","BIODSL_PROD_001",2031,918.229227669204
"Region1","BIODSL_PROD_001",2032,918.229227669204
"Region1","BIODSL_PROD_001",2033,904.10991420796
"Region1","BIODSL_PROD_001",2034,953.11971365742
"Region1","BIODSL_PROD_001",2035,1138.66
"Region1","COM_CWH_BIO_001",2018,0.0025352774649
"Region1","COM_CWH_BIO_001",2019,0.0027436884248
"Region1","COM_CWH_BIO_001",2020,0.0029692316899
"Region1","COM_CWH_BIO_001",2021,0.0032133155946
"Region1","COM_CWH_BIO_001",2022,0.0034774642756
"Region1","COM_CWH_BIO_001",2023,0.0037633271464
"Region1","COM_CWH_BIO_001",2024,0.0040726891971
"Region1","COM_CWH_BIO_001",2025,0.0044074821674
"Region1","COM_CWH_BIO_001",2026,0.0047697965903
"Region1","COM_CWH_BIO_001",2027,0.005161894862
"Region1","COM_CWH_BIO_001",2028,0.0055862253301
"Region1","COM_CWH_BIO_001",2029,0.0060454376335
"Region1","COM_CWH_BIO_001",2030,0.0065423991954
"Region1","COM_CWH_BIO_001",2031,0.0070802131982
"Region1","COM_CWH_BIO_001",2032,0.00766223787320002
"Region1","COM_CWH_BIO_001",2033,0.0082921075513
"Region1","COM_CWH_BIO_001",2034,0.00897375527500001
"Region1","COM_CWH_BIO_001",2035,0.009711437449
"Region1","COM_CWH_DSL_001",2018,0.004178543002
"Region1","COM_CWH_DSL_001",2019,0.004522037622
"Region1","COM_CWH_DSL_001",2020,0.004893769012
"Region1","COM_CWH_DSL_001",2021,0.005296058357
"Region1","COM_CWH_DSL_001",2022,0.005731417657
"Region1","COM_CWH_DSL_001",2023,0.006202565406
"Region1","COM_CWH_DSL_001",2024,0.006712443574
"Region1","COM_CWH_DSL_001",2025,0.007264235971
"Region1","COM_CWH_DSL_001",2026,0.00786138813
"Region1","COM_CWH_DSL_001",2027,0.008507628824
"Region1","COM_CWH_DSL_001",2028,0.009206993347
"Region1","COM_CWH_DSL_001",2029,0.009963848711
"Region1","COM_CWH_DSL_001",2030,0.01078292092
