REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,0.0298866133366079
"Region1","BIO_RESPRD",2019,0.0313137206942245
"Region1","BIO_RESPRD",2020,0.0328089722868334
"Region1","BIO_RESPRD",2021,0.0343756239019301
"Region1","BIO_RESPRD",2022,0.0360170839755072
"Region1","BIO_RESPRD",2023,0.0377369246509217
"Region1","BIO_RESPRD",2024,0.039824345046617
"Region1","BIO_RESPRD",2025,0.0446603215729963
"Region1","BIO_RESPRD",2026,0.0467396863895939
"Region1","BIO_RESPRD",2027,0.0489166775453474
"Region1","BIO_RESPRD",2028,0.0489166775453474
"Region1","BIO_RESPRD",2029,0.0579113337511503
"Region1","BIO_RESPRD",2030,0.0598527170926394
"Region1","BIO_RESPRD",2031,0.0611048926625493
"Region1","BIO_RESPRD",2032,0.0611048926625493
"Region1","BIO_RESPRD",2033,0.0697903549732218
"Region1","BIO_RESPRD",2034,0.0735735358088624
"Region1","BIO_RESPRD",2035,0.0757737773777378
"Region1","BIODSL_PROD_001",2018,3885.41515036504
"Region1","BIODSL_PROD_001",2019,185.531377745275
"Region1","BIODSL_PROD_001",2020,194.390482658466
"Region1","BIODSL_PROD_001",2021,203.672856876839
"Region1","BIODSL_PROD_001",2022,213.398345498851
"Region1","BIODSL_PROD_001",2023,223.588231333133
"Region1","BIODSL_PROD_001",2024,271.375506460645
"Region1","BIODSL_PROD_001",2025,628.702096513167
"Region1","BIODSL_PROD_001",2026,270.328239287261
"Region1","BIODSL_PROD_001",2027,283.020171054798
"Region1","BIODSL_PROD_001",2029,1169.35208083762
"Region1","BIODSL_PROD_001",2030,252.389929990771
"Region1","BIODSL_PROD_001",2031,162.789335661715
"Region1","BIODSL_PROD_001",2033,1129.15526659809
"Region1","BIODSL_PROD_001",2034,491.833181960559
"Region1","BIODSL_PROD_001",2035,286.042845667625
"Region1","COM_CWH_BIO_001",2018,0.00432493596878199
"Region1","COM_CWH_BIO_001",2019,0.00468046473012624
