REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,298.866133366079
"Region1","BIO_RESPRD",2019,313.137206942245
"Region1","BIO_RESPRD",2020,328.089722868334
"Region1","BIO_RESPRD",2021,343.756239019301
"Region1","BIO_RESPRD",2022,360.170839755073
"Region1","BIO_RESPRD",2023,377.369246509217
"Region1","BIO_RESPRD",2024,398.24345046617
"Region1","BIO_RESPRD",2025,446.603215729963
"Region1","BIO_RESPRD",2026,467.396863895939
"Region1","BIO_RESPRD",2027,489.166775453474
"Region1","BIO_RESPRD",2028,489.166775453474
"Region1","BIO_RESPRD",2029,579.113337511503
"Region1","BIO_RESPRD",2030,598.527170926394
"Region1","BIO_RESPRD",2031,611.048926625493
"Region1","BIO_RESPRD",2032,611.048926625493
"Region1","BIO_RESPRD",2033,697.903549732218
"Region1","BIO_RESPRD",2034,735.735358088624
"Region1","BIO_RESPRD",2035,757.737773777378
"Region1","BIODSL_PROD_001",2018,155.416606014601
"Region1","BIODSL_PROD_001",2019,7.421255109811
"Region1","BIODSL_PROD_001",2020,7.77561930633865
"Region1","BIODSL_PROD_001",2021,8.14691427507356
"Region1","BIODSL_PROD_001",2022,8.53593381995404
"Region1","BIODSL_PROD_001",2023,8.94352925332534
"Region1","BIODSL_PROD_001",2024,10.8550202584258
"Region1","BIODSL_PROD_001",2025,25.1480838605267
"Region1","BIODSL_PROD_001",2026,10.8131295714904
"Region1","BIODSL_PROD_001",2027,11.3208068421919
"Region1","BIODSL_PROD_001",2029,46.7740832335048
"Region1","BIODSL_PROD_001",2030,10.0955971996308
"Region1","BIODSL_PROD_001",2031,6.51157342646861
"Region1","BIODSL_PROD_001",2033,45.1662106639236
"Region1","BIODSL_PROD_001",2034,19.6733272784224
"Region1","BIODSL_PROD_001",2035,11.441713826705
"Region1","COM_CWH_BIO_001",2018,43.2493596878199
"Region1","COM_CWH_BIO_001",2019,46.8046473012624
"Region1","COM_CWH_BIO_001",2020,36.9077898060907
"Region1","COM_CWH_BIO_001",2021,37.2774430928074
"Region1","COM_CWH_BIO_001",2022,57.0918449450008
"Region1","COM_CWH_BIO_001",2023,96.2980334288639
"Region1","COM_CWH_BIO_001",2024,66.8640485486784
"Region1","COM_CWH_BIO_001",2025,54.7853594456184
"Region1","COM_CWH_BIO_001",2026,172.944038807107
"Region1","COM_CWH_BIO_001",2027,84.7462627154818
"Region1","COM_CWH_BIO_001",2028,91.7127783631588
"Region1","COM_CWH_BIO_001",2029,181.381267131713
"Region1","COM_CWH_BIO_001",2030,107.410920955508
"Region1","COM_CWH_BIO_001",2031,181.172292686796
"Region1","COM_CWH_BIO_001",2032,95.2422358384092
"Region1","COM_CWH_BIO_001",2033,212.182895376152
"Region1","COM_CWH_BIO_001",2034,153.083508614807
"Region1","COM_CWH_BIO_001",2035,248.501470035824
"Region1","COM_CWH_DSL_001",2018,41.7896089808981
"Region1","COM_CWH_DSL_001",2019,130.17011670167
"Region1","COM_CWH_DSL_001",2026,29.2016901311472
"Region1","COM_CWH_DSL_001",2027,16.5363534800409
"Region1","COM_CWH_DSL_001",2029,85.0448654707603
"Region1","COM_CWH_KER_001",2018,5.06443099795292
"Region1","COM_CWH_KER_001",2019,13.0499778684749
"Region1","COM_CWH_KER_001",2032,14.4177096179811
"Region1","COM_CWH_LPG_001",2018,18.6877503752985
"Region1","COM_CWH_LPG_001",2019,14.1419466052542
"Region1","COM_CWH_LPG_001",2024,12.2005216479017
"Region1","COM_CWH_LPG_001",2025,3.70168211361311
"Region1","COM_CWH_LPG_001",2026,6.70511014502921
"Region1","COM_CWH_LPG_001",2030,16.8998782121867
"Region1","COM_CWH_LPG_001",2033,14.2708592449272
"Region1","COM_CWH_LPG_001",2034,7.11953797437757
"Region1","COM_CWH_NGS_001",2018,15.1298380981976
"Region1","COM_CWH_NGS_001",2019,22.259925472888
"Region1","COM_CWH_NGS_001",2020,14.2568096609661
"Region1","COM_CWH_NGS_001",2021,25.3279252339517
"Region1","COM_CWH_NGS_001",2022,40.3563601885424
"Region1","COM_CWH_NGS_001",2023,54.2090120312031
"Region1","COM_CWH_NGS_001",2024,29.3326156615662
"Region1","COM_CWH_NGS_001",2025,26.3026404350528
"Region1","COM_CWH_NGS_001",2026,68.7067456345635
"Region1","COM_CWH_NGS_001",2027,28.7499253480278
"Region1","COM_CWH_NGS_001",2028,56.917786311545
"Region1","COM_CWH_NGS_001",2029,43.5408866486649
"Region1","COM_CWH_NGS_001",2030,59.4104118214488
"Region1","COM_CWH_NGS_001",2031,50.9936218721872
"Region1","COM_CWH_NGS_001",2032,60.3951222131013
"Region1","COM_CWH_NGS_001",2033,39.8146764576458
"Region1","COM_CWH_NGS_001",2034,49.9806372157773
"Region1","COM_CWH_NGS_001",2035,88.1879078305277
"Region1","COM_EL_APP_001",2018,524.818709209572
"Region1","COM_EL_APP_001",2021,198.821609862219
"Region1","COM_EL_APP_001",2025,126.10587382161
"Region1","COM_EL_APP_001",2027,71.0478607686728
"Region1","COM_EL_APP_001",2028,601.831036983321
"Region1","COM_EL_APP_001",2029,173.857868020304
"Region1","COM_EL_APP_001",2031,903.897751994199
"Region1","IMP_DSL",2018,2136.40426859647
"Region1","IMP_DSL",2019,3044.66912686728
"Region1","IMP_DSL",2020,2847.14686114756
"Region1","IMP_DSL",2021,2300.03749500081
"Region1","IMP_DSL",2022,2427.37563535445
"Region1","IMP_DSL",2023,3448.605561017
"Region1","IMP_DSL",2024,3079.15669849257
"Region1","IMP_DSL",2025,2634.29055543063
"Region1","IMP_DSL",2026,3527.19084871877
"Region1","IMP_DSL",2027,3397.82920810548
"Region1","IMP_DSL",2028,3315.41503674125
"Region1","IMP_DSL",2029,3307.70049618801
"Region1","IMP_DSL",2030,4132.45313470487
"Region1","IMP_DSL",2031,3491.98414032059
"Region1","IMP_DSL",2032,4404.64919885727
"Region1","IMP_DSL",2033,4312.2611104243
"Region1","IMP_DSL",2034,4958.33286735527
"Region1","IMP_DSL",2035,4448.69060483087
"Region1","IMP_GSL",2018,1230.78234459887
"Region1","IMP_GSL",2019,1299.01389974565
"Region1","IMP_GSL",2020,1359.04420516038
"Region1","IMP_GSL",2021,1398.4533006875
"Region1","IMP_GSL",2022,1312.13222910951
"Region1","IMP_GSL",2023,1570.09623185003
"Region1","IMP_GSL",2024,1628.27973431436
"Region1","IMP_GSL",2025,1725.85691359151
"Region1","IMP_GSL",2026,1579.55917470192
