REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2018,41.2136397911822
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2019,43.1816208373356
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2020,45.2435727835433
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2021,47.4039853607616
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2022,49.6675588022245
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2023,52.039219093621
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2024,54.9177718192848
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2025,61.5865834491619
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2026,64.45402753125
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2027,67.456098335034
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2028,67.456098335034
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2029,79.8597292428363
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2030,82.5368968707497
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2031,84.2636469816555
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2032,84.2636469816554
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2033,96.2408995080728
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2034,101.457905880421
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2035,104.4920390039
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2018,21.4319499694135
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2019,22.4553410490565
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2020,23.5275989514006
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2021,24.6510584299332
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2022,25.8281637037049
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2023,27.0614763877384
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2024,28.5583836813754
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2025,32.026304445742
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2026,33.5174350136505
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2027,35.0785742771888
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2028,35.0785742771888
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2029,41.5287203550891
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2030,42.9209032089182
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2031,43.8188491844282
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2032,43.8188491844282
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2033,50.0472696349833
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2034,52.7602214666777
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2035,54.3380338033803
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2020,5.08958421425991
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2021,5.14055940249814
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2022,7.87296541791561
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2024,9.22055229486275
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2025,7.55490106755078
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2026,23.8489829515
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2027,11.6865096284649
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2028,12.6471921362796
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2030,14.8119659997646
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2032,13.1339043221166
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2018,5.76278707846585
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2021,23.7132461716262
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2022,23.7132461716262
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2031,41.7482093340269
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2035,41.7482093340269
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2030,1.3738298545
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2031,2.4979769826804
