REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2018,298.866133366079
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2019,313.137206942245
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2020,328.089722868334
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2021,343.756239019301
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2022,360.170839755073
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2023,377.369246509217
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2024,398.24345046617
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2025,446.603215729963
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2026,467.396863895939
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2027,489.166775453474
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2028,489.166775453474
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2029,579.113337511504
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2030,598.527170926394
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2031,611.048926625493
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2032,611.048926625493
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2033,697.903549732218
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2034,735.735358088624
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2035,757.737773777378
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2018,155.416606014601
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2019,162.837861124412
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2020,170.613480430751
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2021,178.760394705825
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2022,187.296328525779
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2023,196.239857779104
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2024,207.09487803753
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2025,232.242961898056
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2026,243.056091469547
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2027,254.376898311739
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2028,254.376898311739
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2029,301.150981545244
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2030,311.246578744874
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2031,317.758152171343
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2032,317.758152171343
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2033,362.924362835267
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2034,382.597690113689
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2035,394.039403940394
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2020,36.9077898060907
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2021,37.2774430928074
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2022,57.0918449450008
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2024,66.8640485486784
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2025,54.7853594456184
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2026,172.944038807107
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2027,84.7462627154818
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2028,91.7127783631588
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2030,107.410920955508
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2032,95.2422358384092
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2018,41.7896089808981
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2021,171.959725682568
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2022,171.959725682568
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2031,302.742634764517
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2035,302.742634764517
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2030,9.96250800942713
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2031,18.1144088664278
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2033,15.4108589569006
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2019,6.62183238855531
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2021,32.8296969805527
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2029,55.4370108870968
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2032,72.3368890992835
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2033,86.6077483442108
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2034,93.7272863185883
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2018,15.1298380981976
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2019,22.259925472888
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2020,14.2568096609661
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2021,25.3279252339517
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2022,40.3563601885424
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2024,29.3326156615662
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2025,26.3026404350528
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2026,68.7067456345634
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2027,28.7499253480278
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2031,50.9936218721872
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2032,60.3951222131013
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2033,39.8146764576458
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2034,49.9806372157773
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2035,88.1879078305277
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2018,89.3908629441624
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2019,96.8636693255983
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2020,104.963741841914
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2021,113.741841914431
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2022,123.252356780276
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2023,133.560551124003
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2024,144.728063814358
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2025,156.83466279913
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2026,169.94923857868
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2027,184.158810732415
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2028,199.561276287165
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2029,216.247280638144
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2030,234.332849891226
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2031,253.926758520667
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2032,275.163161711385
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2033,298.172588832487
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2034,323.107324147933
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2035,350.126903553299
"Region1","S1D1B1","IMP_DSL","DSL",2018,732.064183953322
"Region1","S1D1B1","IMP_DSL","DSL",2019,650.326891661967
"Region1","S1D1B1","IMP_DSL","DSL",2020,2847.14686114756
"Region1","S1D1B1","IMP_DSL","DSL",2021,2245.14187520602
"Region1","S1D1B1","IMP_DSL","DSL",2022,2427.37563535445
"Region1","S1D1B1","IMP_DSL","DSL",2023,484.71441353721
"Region1","S1D1B1","IMP_DSL","DSL",2024,650.708477844374
"Region1","S1D1B1","IMP_DSL","DSL",2025,2634.29055543063
"Region1","S1D1B1","IMP_DSL","DSL",2026,601.400261383137
"Region1","S1D1B1","IMP_DSL","DSL",2027,1023.98084748986
"Region1","S1D1B1","IMP_DSL","DSL",2028,1320.13740705288
"Region1","S1D1B1","IMP_DSL","DSL",2029,851.892759913567
