REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,2600.93757437326
"Region1","BIODSL_PROD_001",2019,130.2564097336
"Region1","BIODSL_PROD_001",2020,142.354951896174
"Region1","BIODSL_PROD_001",2021,154.855838366319
"Region1","BIODSL_PROD_001",2022,167.783254980978
"Region1","BIODSL_PROD_001",2023,181.162744834226
"Region1","BIODSL_PROD_001",2024,225.914866232513
"Region1","BIODSL_PROD_001",2025,536.322539447919
"Region1","BIODSL_PROD_001",2026,235.758889723065
"Region1","BIODSL_PROD_001",2027,251.82198448453
"Region1","BIODSL_PROD_001",2029,1077.24753530902
"Region1","BIODSL_PROD_001",2030,236.045808052335
"Region1","BIODSL_PROD_001",2031,154.358959584941
"Region1","BIODSL_PROD_001",2033,1096.79663532824
"Region1","BIODSL_PROD_001",2034,482.802602685633
"Region1","BIODSL_PROD_001",2035,283.517821501589
"Region1","COM_CWH_DSL_001",2018,0.0027974401707517
"Region1","COM_CWH_DSL_001",2019,0.00913888112200745
"Region1","COM_CWH_DSL_001",2026,0.00254674023753784
"Region1","COM_CWH_DSL_001",2027,0.00147135002214217
"Region1","COM_CWH_DSL_001",2029,0.0078346268177365
"Region1","COM_CWH_KER_001",2018,0.000339018312474508
"Region1","COM_CWH_KER_001",2019,0.000916202577110314
"Region1","COM_CWH_KER_001",2032,0.00138442105647361
"Region1","COM_CWH_LPG_001",2018,0.00125097757255246
"Region1","COM_CWH_LPG_001",2019,0.000992866658907563
"Region1","COM_CWH_LPG_001",2024,0.00101566985613432
"Region1","COM_CWH_LPG_001",2025,0.000315776830141419
"Region1","COM_CWH_LPG_001",2026,0.000584766625725381
"Region1","COM_CWH_LPG_001",2030,0.00158054856179387
"Region1","COM_CWH_LPG_001",2033,0.00138618938122088
"Region1","COM_CWH_LPG_001",2034,0.000698881570016626
"Region1","COM_EL_APP_001",2027,0.000980391329942251
"Region1","COM_EL_APP_001",2028,0.0159942034623802
"Region1","COM_EL_APP_001",2029,0.00667724519638686
"Region1","COM_EL_APP_001",2031,0.0537847667160773
"Region1","IND_CHEM_BIO_001",2018,0.0169704594532792
"Region1","IND_CHEM_BIO_001",2025,0.00332484025606374
"Region1","IND_CHEM_BIO_001",2027,0.00103328588994596
"Region1","IND_CHEM_BIO_001",2030,0.0011865273320677
"Region1","IND_CHEM_BIO_001",2031,0.00396139384351831
"Region1","IND_CHEM_COA_001",2018,0.0471004124802838
"Region1","IND_CHEM_COA_001",2022,0.0204971303464197
"Region1","IND_CHEM_COA_001",2023,0.0255242348451861
"Region1","IND_CHEM_COA_001",2026,0.0160888406606617
"Region1","IND_CHEM_COA_001",2032,0.00557569278767338
"Region1","IND_CHEM_COA_001",2033,0.0281145047268543
"Region1","IND_CHEM_DSL_001",2018,0.008871550698994
"Region1","IND_CHEM_DSL_001",2019,0.0104720566854681
"Region1","IND_CHEM_DSL_001",2034,0.00344909497683008
"Region1","IND_CHEM_DSL_001",2035,0.0444544322675943
"Region1","IND_CHEM_ELC_001",2018,0.00972830458580908
"Region1","IND_CHEM_ELC_001",2023,0.000751827975380642
"Region1","IND_CHEM_ELC_001",2026,0.000344945236640273
"Region1","IND_CHEM_ELC_001",2030,0.00861959321833527
"Region1","IND_CHEM_ELC_001",2033,0.00352076788692186
"Region1","IND_CHEM_NGS_001",2018,0.0258570690781762
"Region1","IND_CHEM_NGS_001",2019,0.00324555626078702
"Region1","IND_CHEM_NGS_001",2021,0.0035834907647262
"Region1","IND_CHEM_NGS_001",2022,0.0125301611943807
"Region1","IND_CHEM_NGS_001",2026,0.020399477537506
"Region1","IND_CHEM_NGS_001",2033,0.00963896937060469
"Region1","IND_CHEM_NGS_001",2034,0.0131445182686917
"Region1","IND_CMNT_COA_001",2018,0.107303586601257
"Region1","IND_CMNT_COA_001",2020,0.0367186762032249
"Region1","IND_CMNT_COA_001",2022,0.00196693439220167
"Region1","IND_CMNT_COA_001",2026,0.00535585024185949
"Region1","IND_CMNT_COA_001",2029,0.00567276980400499
