REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,298.866133366079
"Region1","BIO_RESPRD",2019,313.137206942245
"Region1","BIO_RESPRD",2020,328.089722868334
"Region1","BIO_RESPRD",2021,343.756239019301
"Region1","BIO_RESPRD",2022,360.170839755073
"Region1","BIO_RESPRD",2023,377.369246509217
"Region1","BIO_RESPRD",2024,398.24345046617
"Region1","BIO_RESPRD",2025,446.603215729963
"Region1","BIO_RESPRD",2026,467.396863895939
"Region1","BIO_RESPRD",2027,489.166775453474
"Region1","BIO_RESPRD",2028,489.166775453474
"Region1","BIO_RESPRD",2029,579.113337511503
"Region1","BIO_RESPRD",2030,598.527170926394
"Region1","BIO_RESPRD",2031,611.048926625493
"Region1","BIO_RESPRD",2032,611.048926625493
"Region1","BIO_RESPRD",2033,697.903549732218
"Region1","BIO_RESPRD",2034,735.735358088624
"Region1","BIO_RESPRD",2035,757.737773777378
"Region1","BIODSL_PROD_001",2018,155.416606014601
"Region1","BIODSL_PROD_001",2019,162.837861124412
"Region1","BIODSL_PROD_001",2020,170.613480430751
"Region1","BIODSL_PROD_001",2021,178.760394705825
"Region1","BIODSL_PROD_001",2022,187.296328525779
"Region1","BIODSL_PROD_001",2023,196.239857779104
"Region1","BIODSL_PROD_001",2024,207.09487803753
"Region1","BIODSL_PROD_001",2025,232.242961898056
"Region1","BIODSL_PROD_001",2026,243.056091469547
"Region1","BIODSL_PROD_001",2027,254.376898311739
"Region1","BIODSL_PROD_001",2028,254.376898311739
"Region1","BIODSL_PROD_001",2029,301.150981545244
"Region1","BIODSL_PROD_001",2030,311.246578744874
"Region1","BIODSL_PROD_001",2031,317.758152171343
"Region1","BIODSL_PROD_001",2032,317.758152171343
"Region1","BIODSL_PROD_001",2033,362.924362835267
"Region1","BIODSL_PROD_001",2034,382.597690113689
"Region1","BIODSL_PROD_001",2035,394.039403940394
"Region1","COM_CWH_BIO_001",2018,43.2493596878199
"Region1","COM_CWH_BIO_001",2019,46.8046473012624
"Region1","COM_CWH_BIO_001",2020,36.9077898060907
"Region1","COM_CWH_BIO_001",2021,37.2774430928074
"Region1","COM_CWH_BIO_001",2022,57.0918449450008
"Region1","COM_CWH_BIO_001",2023,96.2980334288639
"Region1","COM_CWH_BIO_001",2024,66.8640485486784
"Region1","COM_CWH_BIO_001",2025,54.7853594456184
"Region1","COM_CWH_BIO_001",2026,172.944038807107
"Region1","COM_CWH_BIO_001",2027,84.7462627154818
"Region1","COM_CWH_BIO_001",2028,91.7127783631588
"Region1","COM_CWH_BIO_001",2029,181.381267131713
"Region1","COM_CWH_BIO_001",2030,107.410920955508
"Region1","COM_CWH_BIO_001",2031,181.172292686796
"Region1","COM_CWH_BIO_001",2032,95.2422358384092
"Region1","COM_CWH_BIO_001",2033,212.182895376152
"Region1","COM_CWH_BIO_001",2034,153.083508614807
"Region1","COM_CWH_BIO_001",2035,248.501470035824
"Region1","COM_CWH_DSL_001",2018,41.7896089808981
"Region1","COM_CWH_DSL_001",2019,171.959725682568
"Region1","COM_CWH_DSL_001",2020,171.959725682568
"Region1","COM_CWH_DSL_001",2021,171.959725682568
"Region1","COM_CWH_DSL_001",2022,171.959725682568
"Region1","COM_CWH_DSL_001",2023,171.959725682568
"Region1","COM_CWH_DSL_001",2024,171.959725682568
"Region1","COM_CWH_DSL_001",2025,171.959725682568
"Region1","COM_CWH_DSL_001",2026,201.161415813716
"Region1","COM_CWH_DSL_001",2027,217.697769293756
"Region1","COM_CWH_DSL_001",2028,217.697769293756
"Region1","COM_CWH_DSL_001",2029,302.742634764517
"Region1","COM_CWH_DSL_001",2030,302.742634764517
"Region1","COM_CWH_DSL_001",2031,302.742634764517
"Region1","COM_CWH_DSL_001",2032,302.742634764517
"Region1","COM_CWH_DSL_001",2033,302.742634764517
"Region1","COM_CWH_DSL_001",2034,302.742634764517
"Region1","COM_CWH_DSL_001",2035,302.742634764517
"Region1","COM_CWH_KER_001",2018,5.06443099795292
"Region1","COM_CWH_KER_001",2019,18.1144088664278
"Region1","COM_CWH_KER_001",2020,18.1144088664278
"Region1","COM_CWH_KER_001",2021,18.1144088664278
"Region1","COM_CWH_KER_001",2022,18.1144088664278
"Region1","COM_CWH_KER_001",2023,18.1144088664278
"Region1","COM_CWH_KER_001",2024,18.1144088664278
"Region1","COM_CWH_KER_001",2025,18.1144088664278
"Region1","COM_CWH_KER_001",2026,18.1144088664278
"Region1","COM_CWH_KER_001",2027,18.1144088664278
"Region1","COM_CWH_KER_001",2028,18.1144088664278
"Region1","COM_CWH_KER_001",2029,18.1144088664278
"Region1","COM_CWH_KER_001",2030,18.1144088664278
"Region1","COM_CWH_KER_001",2031,18.1144088664278
"Region1","COM_CWH_KER_001",2032,32.532118484409
"Region1","COM_CWH_KER_001",2033,32.532118484409
"Region1","COM_CWH_KER_001",2034,32.532118484409
"Region1","COM_CWH_KER_001",2035,32.532118484409
"Region1","COM_CWH_LPG_001",2018,18.6877503752985
"Region1","COM_CWH_LPG_001",2019,32.8296969805527
"Region1","COM_CWH_LPG_001",2020,32.8296969805527
"Region1","COM_CWH_LPG_001",2021,32.8296969805527
"Region1","COM_CWH_LPG_001",2022,32.8296969805527
"Region1","COM_CWH_LPG_001",2023,32.8296969805527
"Region1","COM_CWH_LPG_001",2024,45.0302186284544
"Region1","COM_CWH_LPG_001",2025,48.7319007420676
"Region1","COM_CWH_LPG_001",2026,55.4370108870968
"Region1","COM_CWH_LPG_001",2027,55.4370108870968
"Region1","COM_CWH_LPG_001",2028,55.4370108870968
"Region1","COM_CWH_LPG_001",2029,55.4370108870968
"Region1","COM_CWH_LPG_001",2030,72.3368890992835
"Region1","COM_CWH_LPG_001",2031,72.3368890992835
"Region1","COM_CWH_LPG_001",2032,72.3368890992835
"Region1","COM_CWH_LPG_001",2033,86.6077483442108
"Region1","COM_CWH_LPG_001",2034,93.7272863185883
"Region1","COM_CWH_LPG_001",2035,93.7272863185883
"Region1","COM_CWH_NGS_001",2018,15.1298380981976
"Region1","COM_CWH_NGS_001",2019,22.259925472888
"Region1","COM_CWH_NGS_001",2020,14.2568096609661
"Region1","COM_CWH_NGS_001",2021,25.3279252339517
"Region1","COM_CWH_NGS_001",2022,40.3563601885424
"Region1","COM_CWH_NGS_001",2023,54.2090120312031
"Region1","COM_CWH_NGS_001",2024,29.3326156615662
"Region1","COM_CWH_NGS_001",2025,26.3026404350528
"Region1","COM_CWH_NGS_001",2026,68.7067456345635
