REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,298.836246752742
"Region1","BIO_RESPRD",2019,313.105893221551
"Region1","BIO_RESPRD",2020,328.056913896047
"Region1","BIO_RESPRD",2021,343.721863395399
"Region1","BIO_RESPRD",2022,360.134822671097
"Region1","BIO_RESPRD",2023,377.331509584566
"Region1","BIO_RESPRD",2024,398.203626121123
"Region1","BIO_RESPRD",2025,446.55855540839
"Region1","BIO_RESPRD",2026,467.350124209549
"Region1","BIO_RESPRD",2027,489.117858775928
"Region1","BIO_RESPRD",2028,476.445109121754
"Region1","BIO_RESPRD",2029,499.195696934916
"Region1","BIO_RESPRD",2030,598.467318209301
"Region1","BIO_RESPRD",2031,610.98782173283
"Region1","BIO_RESPRD",2032,610.98782173283
"Region1","BIO_RESPRD",2033,601.592859869172
"Region1","BIO_RESPRD",2034,634.203878672394
"Region1","BIO_RESPRD",2035,757.662
"Region1","BIODSL_PROD_001",2018,155.401064354
"Region1","BIODSL_PROD_001",2019,162.8215773383
"Region1","BIODSL_PROD_001",2020,170.596419082708
"Region1","BIODSL_PROD_001",2021,178.742518666354
"Region1","BIODSL_PROD_001",2022,187.277598892926
"Region1","BIODSL_PROD_001",2023,196.220233793326
"Region1","BIODSL_PROD_001",2024,207.074168549726
"Region1","BIODSL_PROD_001",2025,232.219737601867
"Region1","BIODSL_PROD_001",2026,243.0317858604
"Region1","BIODSL_PROD_001",2027,254.351460621908
"Region1","BIODSL_PROD_001",2028,247.761367198
"Region1","BIODSL_PROD_001",2029,259.592146092
"Region1","BIODSL_PROD_001",2030,311.215454087
"Region1","BIODSL_PROD_001",2031,317.726376356126
"Region1","BIODSL_PROD_001",2032,317.726376356126
"Region1","BIODSL_PROD_001",2033,312.840800764
"Region1","BIODSL_PROD_001",2034,329.799208878
"Region1","BIODSL_PROD_001",2035,394
"Region1","COM_CWH_BIO_001",2018,25.352774649
"Region1","COM_CWH_BIO_001",2019,27.436884248
"Region1","COM_CWH_BIO_001",2020,29.692316899
"Region1","COM_CWH_BIO_001",2021,32.133155946
"Region1","COM_CWH_BIO_001",2022,34.774642756
"Region1","COM_CWH_BIO_001",2023,37.633271464
"Region1","COM_CWH_BIO_001",2024,40.726891971
"Region1","COM_CWH_BIO_001",2025,44.074821674
"Region1","COM_CWH_BIO_001",2026,47.697965903
"Region1","COM_CWH_BIO_001",2027,51.61894862
"Region1","COM_CWH_BIO_001",2028,55.862253301
"Region1","COM_CWH_BIO_001",2029,60.454376335
"Region1","COM_CWH_BIO_001",2030,65.423991954
"Region1","COM_CWH_BIO_001",2031,70.802131982
"Region1","COM_CWH_BIO_001",2032,76.6223787320002
"Region1","COM_CWH_BIO_001",2033,82.921075513
"Region1","COM_CWH_BIO_001",2034,89.73755275
"Region1","COM_CWH_BIO_001",2035,97.11437449
"Region1","COM_CWH_DSL_001",2018,41.78543002
"Region1","COM_CWH_DSL_001",2019,45.22037622
"Region1","COM_CWH_DSL_001",2020,48.93769012
"Region1","COM_CWH_DSL_001",2021,52.96058357
"Region1","COM_CWH_DSL_001",2022,57.31417657
"Region1","COM_CWH_DSL_001",2023,62.02565406
"Region1","COM_CWH_DSL_001",2024,67.12443574
"Region1","COM_CWH_DSL_001",2025,72.64235971
"Region1","COM_CWH_DSL_001",2026,78.6138813
"Region1","COM_CWH_DSL_001",2027,85.07628824
"Region1","COM_CWH_DSL_001",2028,92.06993347
"Region1","COM_CWH_DSL_001",2029,99.63848711
"Region1","COM_CWH_DSL_001",2030,107.8292092
"Region1","COM_CWH_DSL_001",2031,116.6932446
"Region1","COM_CWH_DSL_001",2032,126.2859428
"Region1","COM_CWH_DSL_001",2033,136.6672029
"Region1","COM_CWH_DSL_001",2034,147.9018483
"Region1","COM_CWH_DSL_001",2035,160.060031
"Region1","COM_CWH_KER_001",2018,2.968769451
"Region1","COM_CWH_KER_001",2019,3.212815362
"Region1","COM_CWH_KER_001",2020,3.476922921
"Region1","COM_CWH_KER_001",2021,3.762741284
"Region1","COM_CWH_KER_001",2022,4.072055174
"Region1","COM_CWH_KER_001",2023,4.406796026
"Region1","COM_CWH_KER_001",2024,4.769054049
"Region1","COM_CWH_KER_001",2025,5.161091276
"Region1","COM_CWH_KER_001",2026,5.585355687
"Region1","COM_CWH_KER_001",2027,6.0444965
"Region1","COM_CWH_KER_001",2028,6.541380709
"Region1","COM_CWH_KER_001",2029,7.079110985
"Region1","COM_CWH_KER_001",2030,7.661045056
"Region1","COM_CWH_KER_001",2031,8.290816668
"Region1","COM_CWH_KER_001",2032,8.972358278
"Region1","COM_CWH_KER_001",2033,9.709925607
"Region1","COM_CWH_KER_001",2034,10.50812422
"Region1","COM_CWH_KER_001",2035,11.37193826
"Region1","COM_CWH_LPG_001",2018,10.95475927
"Region1","COM_CWH_LPG_001",2019,11.85528869
"Region1","COM_CWH_LPG_001",2020,12.82984558
