REGION,TECHNOLOGY,VALUE
"Region1","BIO_RESPRD",8611.95992030959
"Region1","BIODSL_PROD_001",4478.39829449277
"Region1","COM_CWH_BIO_001",970.079809187001
"Region1","COM_CWH_DSL_001",1598.84677493
"Region1","COM_CWH_KER_001",113.594797513
"Region1","COM_CWH_LPG_001",419.16480282
"Region1","COM_CWH_NGS_001",465.73866979
"Region1","COM_EL_APP_001",9564.97
"Region1","IMP_DSL",41992.5530913653
"Region1","IMP_GSL",19876.2991498885
"Region1","IMP_KER",4753.1905130981
"Region1","IMP_LPG",8116.799820262
"Region1","IMP_OIL",2210.63701215
"Region1","IND_BIO_AUTOPRD",1770.27792099266
"Region1","IND_CHEM_BIO_001",1450.06268903
"Region1","IND_CHEM_COA_001",6605.84114025
"Region1","IND_CHEM_DSL_001",1611.18076553
"Region1","IND_CHEM_ELC_001",1593.47548246
"Region1","IND_CHEM_NGS_001",6444.7230623
"Region1","IND_CMNT_COA_001",11973.33640016
"Region1","IND_CMNT_DSL_001",310.99575063
"Region1","IND_CMNT_ELC_001",480.92126388
"Region1","IND_CMNT_NGS_001",3265.4553817
"Region1","IND_FOOD_BIO_001",4825.0689929
"Region1","IND_FOOD_COA_001",4303.4399139
"Region1","IND_FOOD_DSL_001",2477.73813165
"Region1","IND_FOOD_ELC_001",1133.97626156
"Region1","IND_FOOD_NGS_001",1434.47997085
"Region1","IND_OTH_BIO",3370.03956414
"Region1","IND_OTH_COA_001",6454.8641987
"Region1","IND_OTH_DSL_001",3350.0244816
"Region1","IND_OTH_ELC_001",3284.9754624
"Region1","IND_OTH_LPG_001",60.04524836
"Region1","IND_OTH_NGS_001",8498.9045283
"Region1","IND_TEXT_COA_001",7914.87260581
"Region1","IND_TEXT_DSL_001",953.59910908
"Region1","IND_TEXT_ELC_001",2236.83741652
"Region1","IND_TEXT_NGS_001",667.51937638
"Region1","MIN_BIO",49969.9433671726
"Region1","MIN_COA",111495.420267213
"Region1","MIN_GEO",18911.9509533815
"Region1","MIN_HYD",1352.35309362975
"Region1","MIN_NGS",30724.3789979131
"Region1","MIN_SOL",1980.85405624526
"Region1","MIN_WND",1028.57811526166
"Region1","NGS_DISTRIB",22.3321338320889
"Region1","NGS_PIPELINE",30724.3789979131
"Region1","OTH_ALL_BIO_001",2.00000038683648e-07
"Region1","OTH_ALL_EL_001",271.74677071
"Region1","OTH_ALL_OILPRD_001",2210.63701215
"Region1","PWR_BIO_001",376.298817694265
"Region1","PWR_COA_001",24502.6620489745
"Region1","PWR_GEO_001",2835.37495552946
"Region1","PWR_HYD_001",1287.95532726643
"Region1","PWR_NGS_001",5201.52977363284
"Region1","PWR_OILPRD_001",142.522720150385
"Region1","PWR_SOL_003",872.716742914162
"Region1","PWR_SOL_E001",746.648193993244
"Region1","PWR_TRN_001",36121.5699525028
"Region1","PWR_WND_E001",1028.57811526166
"Region1","RES_CWH_BIO_001",9974.881669043
"Region1","RES_CWH_EL_001",3958.400202381
"Region1","RES_CWH_KER_001",477.58958957
"Region1","RES_CWH_LPG_001",4196.4778951
"Region1","RES_CWH_NGS_001",11.043362884
"Region1","RES_EL_APP_001",10719.26
"Region1","TRA_BUS_BIODSL_001",29101141.109
"Region1","TRA_BUS_DSL_001",17091146.3645
"Region1","TRA_BUS_ELC_001",2876323.44243369
"Region1","TRA_CAR",7449799.52259784
"Region1","TRA_CAR_BIODSL_001",453026.83552
"Region1","TRA_CAR_DSL_001",50336.315058
"Region1","TRA_CAR_ELC_001",11044.8101426858
"Region1","TRA_CAR_GSL_001",9563899.8608
"Region1","TRA_MCY",22693489.6121
"Region1","TRA_MCY_001",22693489.6121
"Region1","TRA_PLANE_FREIGHT_001",38713.5399777169
"Region1","TRA_PLANE_FREIGHT_BIO_001",0.0125492831362434
"Region1","TRA_PLANE_PSNG_001",3957358.8132
"Region1","TRA_RLW_FREIGHT_BIODSL_001",3400493.08462532
"Region1","TRA_RLW_FREIGHT_DSL_001",11826435.1283143
"Region1","TRA_RLW_PSNG_DSL_001",204238.125121
"Region1","TRA_RLW_PSNG_ELC_001",552199.37533
"Region1","TRA_SHIP_FREIGHT_001",25162927.4497
"Region1","TRA_SHIP_PSNG_001",1109542.06601
"Region1","TRA_TRAIN_FREIGHT",15153616.328
"Region1","TRA_TRAIN_PSNG",497577.864368467
"Region1","TRA_TRUCK",1450636.4737
"Region1","TRA_TRUCK_DSL_001",16389481.6224
