REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2018,41.2136397911822
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2019,43.1816208373356
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2020,45.2435727835433
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2021,47.4039853607616
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2022,49.6675588022245
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2023,52.039219093621
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2024,54.9177718192848
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2025,61.5865834491618
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2026,64.4540275312499
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2027,67.456098335034
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2028,67.456098335034
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2029,79.8597292428363
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2030,82.5368968707496
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2031,84.2636469816555
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2032,84.2636469816554
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2033,96.2408995080728
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2034,101.457905880421
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2035,104.4920390039
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2020,5.08958421425991
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2021,5.14055940249814
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2022,7.87296541791561
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2024,9.22055229486275
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2025,7.55490106755078
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2026,23.8489829515
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2027,11.6865096284649
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2028,12.6471921362796
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2030,14.8119659997646
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2032,13.1339043221166
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2018,5.76278707846585
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2021,23.7132461716262
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2022,23.7132461716262
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2031,41.7482093340269
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2035,41.7482093340269
"Region1","S1D1B1","COM_CWH_KER_001","KER",2030,1.3738298545
"Region1","S1D1B1","COM_CWH_KER_001","KER",2031,2.4979769826804
"Region1","S1D1B1","COM_CWH_KER_001","KER",2033,2.12515745015659
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2019,0.913150686381777
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2021,4.52721521361822
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2029,7.64476380133064
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2032,9.9752570067912
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2033,11.9432084966667
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2034,12.9249927833333
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2018,2.08640467374145
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2019,3.06964372271125
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2020,1.96601405224722
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2021,3.49272088976194
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2022,5.56514207
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2024,4.04496769972997
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2025,3.62713411599379
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2026,9.4746602230063
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2027,3.96461470549304
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2031,7.03202045617462
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2032,8.32848735318667
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2033,5.49044388350935
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2034,6.89232987205569
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2035,12.1611124898298
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2018,12.327
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2019,13.3575
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2020,14.4745
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2021,15.685
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2022,16.9965
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2023,18.418
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2024,19.958
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2025,21.6275
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2026,23.436
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2027,25.3955
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2028,27.5195
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2029,29.8205
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2030,32.3145
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2031,35.0165
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2032,37.945
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2033,41.118
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2034,44.5565
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2035,48.2825
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2018,25.036401075
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2020,20.0555765921827
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2025,29.7583427327753
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2026,29.7583427327753
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2027,31.2149455398234
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2028,31.2149455398234
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2018,69.4869117068281
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2019,69.4869117068281
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2020,69.4869117068281
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2021,69.4869117068281
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2025,135.565783539274
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2028,158.326969778278
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2029,46.8462417702269
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2031,33.1223328219021
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2033,205.067223752355
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2035,81.6153173941494
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2020,21.4147868331095
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2021,28.431636466219
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2022,28.431636466219
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2025,28.431636466219
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2026,3.58648105621902
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2027,28.431636466219
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2029,17.716747556219
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2031,28.431636466219
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2032,5.78781709999997
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2033,28.431636466219
