REGION,EMISSION,YEAR,VALUE
"Region1","CO2",2018,825.085334682442
"Region1","CO2",2019,869.518327425839
"Region1","CO2",2020,918.999448795834
"Region1","CO2",2021,966.095262999154
"Region1","CO2",2022,1017.12630877054
"Region1","CO2",2023,1071.55471899719
"Region1","CO2",2024,1119.32288786246
"Region1","CO2",2025,1166.83920023698
"Region1","CO2",2026,1238.20521515006
"Region1","CO2",2027,1314.58879358498
"Region1","CO2",2028,1393.77907906644
"Region1","CO2",2029,1465.66993219685
"Region1","CO2",2030,1541.34014482196
"Region1","CO2",2031,1615.67693715945
"Region1","CO2",2032,1695.01128859704
"Region1","CO2",2033,1773.53415479472
"Region1","CO2",2034,1859.93118575076
"Region1","CO2",2035,1946.31443078888
