REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,1060.86867597223
"Region1","BIO_RESPRD",2019,1111.5258991984
"Region1","BIO_RESPRD",2020,1164.60203939729
"Region1","BIO_RESPRD",2021,1220.21261504852
"Region1","BIO_RESPRD",2022,1278.47860973092
"Region1","BIO_RESPRD",2023,1339.52685901616
"Region1","BIO_RESPRD",2024,1403.49022806122
"Region1","BIO_RESPRD",2025,1470.50784699821
"Region1","BIO_RESPRD",2026,1540.72562692255
"Region1","BIO_RESPRD",2027,1614.29635868608
"Region1","BIO_RESPRD",2028,1691.38013738223
"Region1","BIO_RESPRD",2029,1772.14472411895
"Region1","BIO_RESPRD",2030,1856.76587699647
"Region1","BIO_RESPRD",2031,1945.42774904915
"Region1","BIO_RESPRD",2032,2038.32328691034
"Region1","BIO_RESPRD",2033,2135.65465253556
"Region1","BIO_RESPRD",2034,2237.63365920693
"Region1","BIO_RESPRD",2035,2344.48223997588
"Region1","BIODSL_PROD_001",2018,449.10907598306
"Region1","BIODSL_PROD_001",2019,470.55434930506
"Region1","BIODSL_PROD_001",2020,493.0236490604
"Region1","BIODSL_PROD_001",2021,516.565878943584
"Region1","BIODSL_PROD_001",2022,541.23225624902
"Region1","BIODSL_PROD_001",2023,567.07647565888
"Region1","BIODSL_PROD_001",2024,594.154784425294
"Region1","BIODSL_PROD_001",2025,622.52608202044
"Region1","BIODSL_PROD_001",2026,652.25213857546
"Region1","BIODSL_PROD_001",2027,683.39763670362
"Region1","BIODSL_PROD_001",2028,716.03035120222
"Region1","BIODSL_PROD_001",2029,750.22130220588
"Region1","BIODSL_PROD_001",2030,786.04489530294
"Region1","BIODSL_PROD_001",2031,823.57909000052
"Region1","BIODSL_PROD_001",2032,862.90556849566
"Region1","BIODSL_PROD_001",2033,904.10991420796
"Region1","BIODSL_PROD_001",2034,947.2817963581
"Region1","BIODSL_PROD_001",2035,992.515168278772
"Region1","COM_CWH_BIO_001",2018,0.0025352774649
"Region1","COM_CWH_BIO_001",2019,0.0027436884248
"Region1","COM_CWH_BIO_001",2020,0.0029692316899
"Region1","COM_CWH_BIO_001",2021,0.0032133155946
"Region1","COM_CWH_BIO_001",2022,0.00347746427560001
"Region1","COM_CWH_BIO_001",2023,0.0037633271464
"Region1","COM_CWH_BIO_001",2024,0.0040726891971
"Region1","COM_CWH_BIO_001",2025,0.00440748216739999
"Region1","COM_CWH_BIO_001",2026,0.0047697965903
"Region1","COM_CWH_BIO_001",2027,0.005161894862
"Region1","COM_CWH_BIO_001",2028,0.0055862253301
"Region1","COM_CWH_BIO_001",2029,0.0060454376335
"Region1","COM_CWH_BIO_001",2030,0.0065423991954
"Region1","COM_CWH_BIO_001",2031,0.00708021319820001
"Region1","COM_CWH_BIO_001",2032,0.0076622378732
"Region1","COM_CWH_BIO_001",2033,0.00829210755130001
"Region1","COM_CWH_BIO_001",2034,0.008973755275
"Region1","COM_CWH_BIO_001",2035,0.00971143744900001
"Region1","COM_CWH_DSL_001",2018,0.004178543002
"Region1","COM_CWH_DSL_001",2019,0.004522037622
"Region1","COM_CWH_DSL_001",2020,0.004893769012
"Region1","COM_CWH_DSL_001",2021,0.005296058357
"Region1","COM_CWH_DSL_001",2022,0.005731417657
"Region1","COM_CWH_DSL_001",2023,0.006202565406
"Region1","COM_CWH_DSL_001",2024,0.006712443574
"Region1","COM_CWH_DSL_001",2025,0.007264235971
"Region1","COM_CWH_DSL_001",2026,0.00786138813
"Region1","COM_CWH_DSL_001",2027,0.008507628824
"Region1","COM_CWH_DSL_001",2028,0.009206993347
"Region1","COM_CWH_DSL_001",2029,0.009963848711
"Region1","COM_CWH_DSL_001",2030,0.01078292092
"Region1","COM_CWH_DSL_001",2031,0.01166932446
"Region1","COM_CWH_DSL_001",2032,0.01262859428
"Region1","COM_CWH_DSL_001",2033,0.01366672029
"Region1","COM_CWH_DSL_001",2034,0.01479018483
"Region1","COM_CWH_DSL_001",2035,0.0160060031
"Region1","COM_CWH_KER_001",2018,0.0002968769451
"Region1","COM_CWH_KER_001",2019,0.0003212815362
"Region1","COM_CWH_KER_001",2020,0.0003476922921
"Region1","COM_CWH_KER_001",2021,0.0003762741284
"Region1","COM_CWH_KER_001",2022,0.0004072055174
"Region1","COM_CWH_KER_001",2023,0.0004406796026
"Region1","COM_CWH_KER_001",2024,0.0004769054049
"Region1","COM_CWH_KER_001",2025,0.0005161091276
"Region1","COM_CWH_KER_001",2026,0.0005585355687
"Region1","COM_CWH_KER_001",2027,0.00060444965
"Region1","COM_CWH_KER_001",2028,0.0006541380709
"Region1","COM_CWH_KER_001",2029,0.0007079110985
"Region1","COM_CWH_KER_001",2030,0.0007661045056
"Region1","COM_CWH_KER_001",2031,0.000829081666799995
"Region1","COM_CWH_KER_001",2032,0.000897235827800001
"Region1","COM_CWH_KER_001",2033,0.0009709925607
"Region1","COM_CWH_KER_001",2034,0.001050812422
"Region1","COM_CWH_KER_001",2035,0.001137193826
"Region1","COM_CWH_LPG_001",2018,0.001095475927
"Region1","COM_CWH_LPG_001",2019,0.001185528869
"Region1","COM_CWH_LPG_001",2020,0.001282984558
"Region1","COM_CWH_LPG_001",2021,0.001388451534
"Region1","COM_CWH_LPG_001",2022,0.001502588359
"Region1","COM_CWH_LPG_001",2023,0.001626107734
"Region1","COM_CWH_LPG_001",2024,0.001759780944
"Region1","COM_CWH_LPG_001",2025,0.00190444268099999
"Region1","COM_CWH_LPG_001",2026,0.002060996249
"Region1","COM_CWH_LPG_001",2027,0.002230419209
"Region1","COM_CWH_LPG_001",2028,0.002413769481
"Region1","COM_CWH_LPG_001",2029,0.002612191953
"Region1","COM_CWH_LPG_001",2030,0.002826925626
"Region1","COM_CWH_LPG_001",2031,0.003059311351
"Region1","COM_CWH_LPG_001",2032,0.003310800205
"Region1","COM_CWH_LPG_001",2033,0.003582962549
"Region1","COM_CWH_LPG_001",2034,0.003877497835
"Region1","COM_CWH_LPG_001",2035,0.004196245218
"Region1","COM_CWH_NGS_001",2018,0.001217195475
"Region1","COM_CWH_NGS_001",2019,0.001317254298
"Region1","COM_CWH_NGS_001",2020,0.001425538398
"Region1","COM_CWH_NGS_001",2021,0.001542723926
"Region1","COM_CWH_NGS_001",2022,0.001669542621
"Region1","COM_CWH_NGS_001",2023,0.001806786371
