REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,0.0298866133366079
"Region1","BIO_RESPRD",2019,0.0313137200818224
"Region1","BIO_RESPRD",2020,0.0328089721478428
"Region1","BIO_RESPRD",2021,0.0343756239017851
"Region1","BIO_RESPRD",2022,0.0360170836726186
"Region1","BIO_RESPRD",2023,0.0377369246506667
"Region1","BIO_RESPRD",2024,0.0395388898907137
"Region1","BIO_RESPRD",2025,0.0414268989433651
"Region1","BIO_RESPRD",2026,0.0434050623913813
"Region1","BIO_RESPRD",2027,0.0454776846328599
"Region1","BIO_RESPRD",2028,0.0476492758397594
"Region1","BIO_RESPRD",2029,0.0499245621497066
"Region1","BIO_RESPRD",2030,0.0523084949902448
"Region1","BIO_RESPRD",2031,0.0548062622895854
"Region1","BIO_RESPRD",2032,0.057423299707727
"Region1","BIO_RESPRD",2033,0.0601653025171689
"Region1","BIO_RESPRD",2034,0.0630382378859556
"Region1","BIO_RESPRD",2035,0.0660483580745645
"Region1","BIODSL_PROD_001",2018,3885.41515036504
"Region1","BIODSL_PROD_001",2019,185.531298129813
"Region1","BIODSL_PROD_001",2020,194.390544204422
"Region1","BIODSL_PROD_001",2021,203.672874927493
"Region1","BIODSL_PROD_001",2022,213.398306140612
"Region1","BIODSL_PROD_001",2023,223.588270677069
"Region1","BIODSL_PROD_001",2024,234.264851800181
"Region1","BIODSL_PROD_001",2025,245.450994884488
"Region1","BIODSL_PROD_001",2026,257.171535103509
"Region1","BIODSL_PROD_001",2027,269.451669458989
"Region1","BIODSL_PROD_001",2028,282.318149622919
"Region1","BIODSL_PROD_001",2029,295.799052255224
"Region1","BIODSL_PROD_001",2030,309.923666216623
"Region1","BIODSL_PROD_001",2031,324.722737823782
"Region1","BIODSL_PROD_001",2032,340.228473497352
"Region1","BIODSL_PROD_001",2033,356.474624212418
"Region1","BIODSL_PROD_001",2034,373.496537803786
"Region1","BIODSL_PROD_001",2035,391.331277770267
"Region1","COM_CWH_BIO_001",2018,0.0025355310180018
"Region1","COM_CWH_BIO_001",2019,0.00274396282108211
"Region1","COM_CWH_BIO_001",2020,0.00296952864276428
"Region1","COM_CWH_BIO_001",2021,0.00321363695829583
"Region1","COM_CWH_BIO_001",2022,0.00347781205680569
"Region1","COM_CWH_BIO_001",2023,0.00376370351675168
"Region1","COM_CWH_BIO_001",2024,0.007703213915453
"Region1","COM_CWH_BIO_001",2025,0.00547853594456183
"Region1","COM_CWH_BIO_001",2026,0.00592889569956495
"Region1","COM_CWH_BIO_001",2027,0.00641627701926662
"Region1","COM_CWH_BIO_001",2028,0.00648053982610209
"Region1","COM_CWH_BIO_001",2029,0.00906906335658566
"Region1","COM_CWH_BIO_001",2030,0.00813225505954008
"Region1","COM_CWH_BIO_001",2031,0.0106213819354936
"Region1","COM_CWH_BIO_001",2032,0.0144926004789105
"Region1","COM_CWH_BIO_001",2033,0.00829293684498451
"Region1","COM_CWH_BIO_001",2034,0.013461979110411
"Region1","COM_CWH_BIO_001",2035,0.0120713952131759
"Region1","COM_CWH_DSL_001",2018,0.00562092930018645
"Region1","COM_CWH_DSL_001",2020,0.000462065121193287
"Region1","COM_CWH_DSL_001",2021,0.00393413884323157
"Region1","COM_CWH_DSL_001",2023,0.00133393372967699
"Region1","COM_CWH_DSL_001",2026,0.000442194526863817
"Region1","COM_CWH_DSL_001",2027,0.00997651540822353
"Region1","COM_CWH_DSL_001",2029,0.00810955227603437
"Region1","COM_CWH_DSL_001",2030,0.00760042549480318
"Region1","COM_CWH_DSL_001",2033,0.00771581417005847
"Region1","COM_CWH_DSL_001",2035,0.0307996990158123
"Region1","COM_CWH_KER_001",2018,0.000487402635199475
"Region1","COM_CWH_KER_001",2019,0.00033470979110554
"Region1","COM_CWH_KER_001",2022,4.20758534063598e-05
"Region1","COM_CWH_KER_001",2023,7.10400789473683e-05
"Region1","COM_CWH_KER_001",2024,7.68798860356643e-05
"Region1","COM_CWH_KER_001",2026,4.43236991300668e-05
"Region1","COM_CWH_KER_001",2028,1.75100540412292e-05
"Region1","COM_CWH_KER_001",2029,8.82827575110815e-05
"Region1","COM_CWH_KER_001",2030,0.000417895780593602
"Region1","COM_CWH_KER_001",2031,0.000210890320459501
"Region1","COM_CWH_KER_001",2032,0.000377797042530712
"Region1","COM_CWH_KER_001",2034,0.000983944642293526
"Region1","COM_CWH_KER_001",2035,0.0002591701290129
"Region1","COM_CWH_LPG_001",2018,0.00179851572319816
"Region1","COM_CWH_LPG_001",2020,0.000315555010717292
"Region1","COM_CWH_LPG_001",2021,0.000415527463834583
"Region1","COM_CWH_LPG_001",2024,0.0038510433686024
"Region1","COM_CWH_LPG_001",2027,0.000311285253329537
"Region1","COM_CWH_LPG_001",2030,0.000141347596561685
"Region1","COM_CWH_LPG_001",2032,0.00310011953815179
"Region1","COM_CWH_LPG_001",2033,0.000816568688868885
"Region1","COM_CWH_NGS_001",2018,0.00121731720672067
"Region1","COM_CWH_NGS_001",2019,0.00131738603660366
"Region1","COM_CWH_NGS_001",2020,0.00142568096609661
"Region1","COM_CWH_NGS_001",2021,0.00154287821382138
"Region1","COM_CWH_NGS_001",2022,0.0016697095919592
"Region1","COM_CWH_NGS_001",2023,0.00180696706770677
"Region1","COM_CWH_NGS_001",2024,0.00195550771077108
"Region1","COM_CWH_NGS_001",2025,0.00211625904890489
"Region1","COM_CWH_NGS_001",2026,0.00229022485448545
"Region1","COM_CWH_NGS_001",2027,0.00308047677439403
"Region1","COM_CWH_NGS_001",2028,0.00268223431443144
"Region1","COM_CWH_NGS_001",2029,0.00290272577657766
"Region1","COM_CWH_NGS_001",2030,0.00364388453944316
"Region1","COM_CWH_NGS_001",2031,0.00339957479147915
"Region1","COM_CWH_NGS_001",2032,0.00551855219621962
"Region1","COM_CWH_NGS_001",2033,0.00549795539152051
"Region1","COM_CWH_NGS_001",2034,0.00430876180418042
"Region1","COM_CWH_NGS_001",2035,0.00881879078305277
"Region1","COM_EL_APP_001",2018,0.0446954314720812
"Region1","COM_EL_APP_001",2019,0.00373640319071791
"Region1","COM_EL_APP_001",2020,0.00405003625815807
"Region1","COM_EL_APP_001",2021,0.00438905003625817
"Region1","COM_EL_APP_001",2022,0.00475525743292242
"Region1","COM_EL_APP_001",2023,0.00515409717186366
"Region1","COM_EL_APP_001",2024,0.00558375634517768
"Region1","COM_EL_APP_001",2025,0.00605329949238578
"Region1","COM_EL_APP_001",2026,0.00655728788977519
"Region1","COM_EL_APP_001",2027,0.00710478607686727
"Region1","COM_EL_APP_001",2028,0.0523966642494561
"Region1","COM_EL_APP_001",2029,0.0120794053662075
"Region1","COM_EL_APP_001",2030,0.013092820884699
"Region1","COM_EL_APP_001",2031,0.014186004350979
"Region1","COM_EL_APP_001",2032,0.0153734590282814
"Region1","COM_EL_APP_001",2033,0.0166588107324148
"Region1","COM_EL_APP_001",2034,0.0180511240029007
"Region1","COM_EL_APP_001",2035,0.0195630891950689
"Region1","IMP_DSL",2018,0.150820878405508
"Region1","IMP_DSL",2019,0.156389047430322
"Region1","IMP_DSL",2020,0.161580793615728
"Region1","IMP_DSL",2021,0.167337389669909
"Region1","IMP_DSL",2022,0.172788434510059
"Region1","IMP_DSL",2023,0.17878511059093
"Region1","IMP_DSL",2024,0.187067894392949
"Region1","IMP_DSL",2025,0.195936703855167
"Region1","IMP_DSL",2026,0.205246937525138
"Region1","IMP_DSL",2027,0.238617453748022
"Region1","IMP_DSL",2028,0.225285215605585
"Region1","IMP_DSL",2029,0.236063276069079
"Region1","IMP_DSL",2030,0.247382945206736
"Region1","IMP_DSL",2031,0.259272829103411
"Region1","IMP_DSL",2032,0.271763127223843
"Region1","IMP_DSL",2033,0.291282353938454
"Region1","IMP_DSL",2034,0.337022827398804
"Region1","IMP_DSL",2035,0.33669344763373
"Region1","IMP_GSL",2018,0.0721556766080468
"Region1","IMP_GSL",2019,0.075601160729969
"Region1","IMP_GSL",2020,0.0792111691429783
"Region1","IMP_GSL",2021,0.0829935579812142
"Region1","IMP_GSL",2022,0.0869565585344054
"Region1","IMP_GSL",2023,0.0911087951651325
"Region1","IMP_GSL",2024,0.0954593039559037
"Region1","IMP_GSL",2025,0.100017552608669
"Region1","IMP_GSL",2026,0.111317729290691
"Region1","IMP_GSL",2027,0.116633228900966
"Region1","IMP_GSL",2028,0.115040325891301
"Region1","IMP_GSL",2029,0.120533582094237
"Region1","IMP_GSL",2030,0.126289145091869
"Region1","IMP_GSL",2031,0.132319540293237
"Region1","IMP_GSL",2032,0.138637891058026
"Region1","IMP_GSL",2033,0.145257947486645
"Region1","IMP_GSL",2034,0.161669471568548
"Region1","IMP_GSL",2035,0.169389302104266
"Region1","IMP_KER",2018,0.0164605896565169
"Region1","IMP_KER",2019,0.0289674527667425
"Region1","IMP_KER",2020,0.0309312814870571
"Region1","IMP_KER",2021,0.0310170367349466
"Region1","IMP_KER",2022,0.0311084501288193
"Region1","IMP_KER",2023,0.0504594858399181
"Region1","IMP_KER",2024,0.0357907623731139
"Region1","IMP_KER",2025,0.0387747382982954
"Region1","IMP_KER",2026,0.0399345040758443
"Region1","IMP_KER",2027,0.0402078241218037
"Region1","IMP_KER",2028,0.0359604943477599
"Region1","IMP_KER",2029,0.0348934361917927
"Region1","IMP_KER",2030,0.0338275288104307
"Region1","IMP_KER",2031,0.0374659278331479
"Region1","IMP_KER",2032,0.0472327572663425
"Region1","IMP_KER",2033,0.0485244919788875
"Region1","IMP_KER",2034,0.0774262741831628
"Region1","IMP_KER",2035,0.0835464475926542
"Region1","IMP_LPG",2018,0.0327732391587159
"Region1","IMP_LPG",2019,0.0339434044482448
"Region1","IMP_LPG",2020,0.035157876759876
"Region1","IMP_LPG",2021,0.0417347106496209
"Region1","IMP_LPG",2022,0.0565909949974497
"Region1","IMP_LPG",2023,0.0390863442726272
"Region1","IMP_LPG",2024,0.040497743919892
"Region1","IMP_LPG",2025,0.0629457182439244
"Region1","IMP_LPG",2026,0.0504438538437355
"Region1","IMP_LPG",2027,0.0450696872691269
"Region1","IMP_LPG",2028,0.0535288582903344
"Region1","IMP_LPG",2029,0.0565406597919862
"Region1","IMP_LPG",2030,0.0502028208591859
"Region1","IMP_LPG",2031,0.079148148378946
"Region1","IMP_LPG",2032,0.0539756693694369
"Region1","IMP_LPG",2033,0.0559771983308331
