REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,650.882102778471
"Region1","BIODSL_PROD_001",2019,32.5965260841122
"Region1","BIODSL_PROD_001",2020,35.6241997808572
"Region1","BIODSL_PROD_001",2021,38.7525266385999
"Region1","BIODSL_PROD_001",2022,41.9875889169225
"Region1","BIODSL_PROD_001",2023,45.3358089843327
"Region1","BIODSL_PROD_001",2024,48.8038066967706
"Region1","BIODSL_PROD_001",2025,52.3984377044558
"Region1","BIODSL_PROD_001",2026,56.127016880818
"Region1","BIODSL_PROD_001",2027,59.9969996961338
"Region1","BIODSL_PROD_001",2028,64.0162378917916
"Region1","BIODSL_PROD_001",2029,68.1929370400199
"Region1","BIODSL_PROD_001",2030,72.5356339562647
"Region1","BIODSL_PROD_001",2031,77.0532556175369
"Region1","BIODSL_PROD_001",2032,81.755123638959
"Region1","BIODSL_PROD_001",2033,86.6509774555169
"Region1","BIODSL_PROD_001",2034,91.750989953443
"Region1","BIODSL_PROD_001",2035,97.0657993692246
"Region1","COM_CWH_DSL_001",2018,0.000941614252502916
"Region1","COM_CWH_DSL_001",2020,8.46785025296574e-05
"Region1","COM_CWH_DSL_001",2021,0.000748542585145699
"Region1","COM_CWH_DSL_001",2023,0.000270474674647576
"Region1","COM_CWH_DSL_001",2026,9.65078023269617e-05
"Region1","COM_CWH_DSL_001",2027,0.00222140390934473
"Region1","COM_CWH_DSL_001",2029,0.00186956037744572
"Region1","COM_CWH_DSL_001",2030,0.00177883053699284
"Region1","COM_CWH_DSL_001",2033,0.0018755411866352
"Region1","COM_CWH_DSL_001",2035,0.00763955649631562
"Region1","COM_CWH_KER_001",2018,8.16493578732757e-05
"Region1","COM_CWH_KER_001",2019,5.88061235293342e-05
"Region1","COM_CWH_KER_001",2022,8.27871442892727e-06
"Region1","COM_CWH_KER_001",2023,1.44044204091611e-05
"Region1","COM_CWH_KER_001",2024,1.60161930743015e-05
"Region1","COM_CWH_KER_001",2026,9.67353174717511e-06
"Region1","COM_CWH_KER_001",2028,3.97044181005945e-06
"Region1","COM_CWH_KER_001",2029,2.03525348670761e-05
"Region1","COM_CWH_KER_001",2030,9.78058105179292e-05
"Region1","COM_CWH_KER_001",2031,5.00420324075012e-05
"Region1","COM_CWH_KER_001",2032,9.07826543881895e-05
"Region1","COM_CWH_KER_001",2034,0.000241710125402138
"Region1","COM_CWH_KER_001",2035,6.4284551668345e-05
"Region1","COM_CWH_LPG_001",2018,0.000301286130437151
"Region1","COM_CWH_LPG_001",2020,5.7828917500338e-05
"Region1","COM_CWH_LPG_001",2021,7.90617754919603e-05
"Region1","COM_CWH_LPG_001",2024,0.000802278168055966
"Region1","COM_CWH_LPG_001",2027,6.93118038085331e-05
"Region1","COM_CWH_LPG_001",2030,3.30814927751595e-05
"Region1","COM_CWH_LPG_001",2032,0.000744942519160215
"Region1","COM_CWH_LPG_001",2033,0.000198489514383767
"Region1","COM_EL_APP_001",2027,0.000245341978471882
"Region1","COM_EL_APP_001",2028,0.0034846894125798
"Region1","COM_EL_APP_001",2029,0.00116096982398036
"Region1","COM_EL_APP_001",2030,0.00161727844853602
"Region1","COM_EL_APP_001",2031,0.00211238207197061
"Region1","COM_EL_APP_001",2032,0.00265050602692351
"Region1","COM_EL_APP_001",2033,0.0032346227774552
"Region1","COM_EL_APP_001",2034,0.00386867969402356
"Region1","COM_EL_APP_001",2035,0.00455770027005945
"Region1","IND_CHEM_BIO_001",2018,0.00221539388747244
"Region1","IND_CHEM_BIO_001",2019,0.00149563323178331
"Region1","IND_CHEM_BIO_001",2022,0.000139221129569104
"Region1","IND_CHEM_BIO_001",2023,0.000736245194861638
"Region1","IND_CHEM_BIO_001",2024,0.000250000728230604
"Region1","IND_CHEM_BIO_001",2025,0.000264381424647814
"Region1","IND_CHEM_BIO_001",2027,0.000575887711745241
"Region1","IND_CHEM_BIO_001",2029,0.000642723045065154
"Region1","IND_CHEM_BIO_001",2030,0.000348152396848057
"Region1","IND_CHEM_BIO_001",2031,0.0055127960482531
"Region1","IND_CHEM_BIO_001",2032,0.00066188257457321
"Region1","IND_CHEM_BIO_001",2033,0.00647571226447993
"Region1","IND_CHEM_BIO_001",2034,0.00104453920221786
"Region1","IND_CHEM_COA_001",2018,0.00556207340064005
"Region1","IND_CHEM_COA_001",2019,0.000358472967033402
"Region1","IND_CHEM_COA_001",2021,0.000320265031099048
"Region1","IND_CHEM_COA_001",2022,0.00141495917353466
"Region1","IND_CHEM_COA_001",2023,0.000416261913258065
"Region1","IND_CHEM_COA_001",2024,0.00106460463642197
"Region1","IND_CHEM_COA_001",2025,0.00254627530732349
"Region1","IND_CHEM_COA_001",2026,0.00182861708825977
"Region1","IND_CHEM_COA_001",2028,0.00436099586099244
"Region1","IND_CHEM_COA_001",2029,0.00273907095900538
"Region1","IND_CHEM_COA_001",2030,0.000827476188289136
"Region1","IND_CHEM_COA_001",2031,0.00247671636543462
"Region1","IND_CHEM_COA_001",2033,0.0109994759500289
"Region1","IND_CHEM_DSL_001",2018,0.00130155098670648
"Region1","IND_CHEM_DSL_001",2019,0.000759642465532061
"Region1","IND_CHEM_DSL_001",2020,0.000110616773527632
"Region1","IND_CHEM_DSL_001",2024,4.27554464571337e-05
"Region1","IND_CHEM_DSL_001",2025,0.000178645267350006
"Region1","IND_CHEM_DSL_001",2026,0.000599388571409283
