REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,298.866133366079
"Region1","BIO_RESPRD",2019,313.137200818224
"Region1","BIO_RESPRD",2020,328.089721478428
"Region1","BIO_RESPRD",2021,343.756239017851
"Region1","BIO_RESPRD",2022,360.170836726186
"Region1","BIO_RESPRD",2023,377.369246506667
"Region1","BIO_RESPRD",2024,395.388898907137
"Region1","BIO_RESPRD",2025,414.268989433651
"Region1","BIO_RESPRD",2026,434.050623913813
"Region1","BIO_RESPRD",2027,454.776846328599
"Region1","BIO_RESPRD",2028,476.492758397594
"Region1","BIO_RESPRD",2029,499.245621497066
"Region1","BIO_RESPRD",2030,523.084949902448
"Region1","BIO_RESPRD",2031,548.062622895853
"Region1","BIO_RESPRD",2032,574.23299707727
"Region1","BIO_RESPRD",2033,601.653025171689
"Region1","BIO_RESPRD",2034,630.382378859556
"Region1","BIO_RESPRD",2035,660.483580745645
"Region1","BIODSL_PROD_001",2018,155.416606014601
"Region1","BIODSL_PROD_001",2019,7.4212519251925
"Region1","BIODSL_PROD_001",2020,7.77562176817689
"Region1","BIODSL_PROD_001",2021,8.1469149970997
"Region1","BIODSL_PROD_001",2022,8.5359322456245
"Region1","BIODSL_PROD_001",2023,8.94353082708276
"Region1","BIODSL_PROD_001",2024,9.37059407200725
"Region1","BIODSL_PROD_001",2025,9.81803979537953
"Region1","BIODSL_PROD_001",2026,10.2868614041404
"Region1","BIODSL_PROD_001",2027,10.7780667783595
"Region1","BIODSL_PROD_001",2028,11.2927259849168
"Region1","BIODSL_PROD_001",2029,11.831962090209
"Region1","BIODSL_PROD_001",2030,12.3969466486649
"Region1","BIODSL_PROD_001",2031,12.9889095129513
"Region1","BIODSL_PROD_001",2032,13.6091389398941
"Region1","BIODSL_PROD_001",2033,14.2589849684967
"Region1","BIODSL_PROD_001",2034,14.9398615121514
"Region1","BIODSL_PROD_001",2035,15.6532511108107
"Region1","COM_CWH_BIO_001",2018,25.355310180018
"Region1","COM_CWH_BIO_001",2019,27.4396282108211
"Region1","COM_CWH_BIO_001",2020,29.6952864276428
"Region1","COM_CWH_BIO_001",2021,32.1363695829583
"Region1","COM_CWH_BIO_001",2022,34.7781205680569
"Region1","COM_CWH_BIO_001",2023,37.6370351675168
"Region1","COM_CWH_BIO_001",2024,77.03213915453
"Region1","COM_CWH_BIO_001",2025,54.7853594456183
"Region1","COM_CWH_BIO_001",2026,59.2889569956495
"Region1","COM_CWH_BIO_001",2027,64.1627701926662
"Region1","COM_CWH_BIO_001",2028,64.8053982610209
"Region1","COM_CWH_BIO_001",2029,90.6906335658566
"Region1","COM_CWH_BIO_001",2030,81.3225505954008
"Region1","COM_CWH_BIO_001",2031,106.213819354936
"Region1","COM_CWH_BIO_001",2032,144.926004789105
"Region1","COM_CWH_BIO_001",2033,82.9293684498451
"Region1","COM_CWH_BIO_001",2034,134.61979110411
"Region1","COM_CWH_BIO_001",2035,120.713952131759
"Region1","COM_CWH_DSL_001",2018,56.2092930018645
"Region1","COM_CWH_DSL_001",2020,4.62065121193287
"Region1","COM_CWH_DSL_001",2021,39.3413884323157
"Region1","COM_CWH_DSL_001",2023,13.3393372967699
"Region1","COM_CWH_DSL_001",2026,4.42194526863817
"Region1","COM_CWH_DSL_001",2027,99.7651540822353
"Region1","COM_CWH_DSL_001",2029,81.0955227603437
"Region1","COM_CWH_DSL_001",2030,76.0042549480318
"Region1","COM_CWH_DSL_001",2033,77.1581417005847
"Region1","COM_CWH_DSL_001",2035,307.996990158123
"Region1","COM_CWH_KER_001",2018,4.87402635199475
"Region1","COM_CWH_KER_001",2019,3.3470979110554
"Region1","COM_CWH_KER_001",2022,0.420758534063598
"Region1","COM_CWH_KER_001",2023,0.710400789473683
"Region1","COM_CWH_KER_001",2024,0.768798860356643
"Region1","COM_CWH_KER_001",2026,0.443236991300668
"Region1","COM_CWH_KER_001",2028,0.175100540412292
"Region1","COM_CWH_KER_001",2029,0.882827575110815
"Region1","COM_CWH_KER_001",2030,4.17895780593602
"Region1","COM_CWH_KER_001",2031,2.10890320459501
"Region1","COM_CWH_KER_001",2032,3.77797042530712
"Region1","COM_CWH_KER_001",2034,9.83944642293526
"Region1","COM_CWH_KER_001",2035,2.591701290129
"Region1","COM_CWH_LPG_001",2018,17.9851572319816
"Region1","COM_CWH_LPG_001",2020,3.15555010717292
"Region1","COM_CWH_LPG_001",2021,4.15527463834583
"Region1","COM_CWH_LPG_001",2024,38.510433686024
"Region1","COM_CWH_LPG_001",2027,3.11285253329537
"Region1","COM_CWH_LPG_001",2030,1.41347596561685
"Region1","COM_CWH_LPG_001",2032,31.0011953815179
"Region1","COM_CWH_LPG_001",2033,8.16568688868885
"Region1","COM_CWH_NGS_001",2018,12.1731720672067
"Region1","COM_CWH_NGS_001",2019,13.1738603660366
"Region1","COM_CWH_NGS_001",2020,14.2568096609661
"Region1","COM_CWH_NGS_001",2021,15.4287821382138
"Region1","COM_CWH_NGS_001",2022,16.697095919592
"Region1","COM_CWH_NGS_001",2023,18.0696706770677
"Region1","COM_CWH_NGS_001",2024,19.5550771077108
"Region1","COM_CWH_NGS_001",2025,21.1625904890489
"Region1","COM_CWH_NGS_001",2026,22.9022485448545
"Region1","COM_CWH_NGS_001",2027,30.8047677439403
"Region1","COM_CWH_NGS_001",2028,26.8223431443144
"Region1","COM_CWH_NGS_001",2029,29.0272577657766
"Region1","COM_CWH_NGS_001",2030,36.4388453944316
"Region1","COM_CWH_NGS_001",2031,33.9957479147915
"Region1","COM_CWH_NGS_001",2032,55.1855219621962
"Region1","COM_CWH_NGS_001",2033,54.9795539152051
"Region1","COM_CWH_NGS_001",2034,43.0876180418042
"Region1","COM_CWH_NGS_001",2035,88.1879078305277
"Region1","COM_EL_APP_001",2018,446.954314720812
"Region1","COM_EL_APP_001",2019,37.3640319071791
"Region1","COM_EL_APP_001",2020,40.5003625815807
"Region1","COM_EL_APP_001",2021,43.8905003625817
"Region1","COM_EL_APP_001",2022,47.5525743292242
"Region1","COM_EL_APP_001",2023,51.5409717186366
"Region1","COM_EL_APP_001",2024,55.8375634517768
"Region1","COM_EL_APP_001",2025,60.5329949238578
"Region1","COM_EL_APP_001",2026,65.5728788977519
"Region1","COM_EL_APP_001",2027,71.0478607686727
"Region1","COM_EL_APP_001",2028,523.966642494561
"Region1","COM_EL_APP_001",2029,120.794053662075
"Region1","COM_EL_APP_001",2030,130.92820884699
"Region1","COM_EL_APP_001",2031,141.86004350979
"Region1","COM_EL_APP_001",2032,153.734590282814
"Region1","COM_EL_APP_001",2033,166.588107324148
"Region1","COM_EL_APP_001",2034,180.511240029007
"Region1","COM_EL_APP_001",2035,195.630891950689
"Region1","IMP_DSL",2018,1508.20878405508
