REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2018,41.2136397911822
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2019,43.181619992833
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2020,45.2435725918752
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2021,47.4039853605616
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2022,49.6675583845411
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2023,52.0392190932693
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2024,54.5241291592941
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2025,57.1276936429006
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2026,59.8555810377148
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2027,62.7137271087138
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2028,65.7083513830282
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2029,68.8459712044453
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2030,72.1334145915476
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2031,75.5778356973382
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2032,79.1867302969555
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2033,82.9679521711759
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2034,86.9297300447328
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2035,91.0806857848245
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2018,21.4319499694135
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2019,22.4553406098976
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2020,23.5275988517292
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2021,24.6510584298292
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2022,25.8281634865008
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2023,27.0614763875556
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2024,28.3536813100853
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2025,29.7075889978682
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2026,31.1261471854991
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2027,32.6124425942349
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2028,34.169709507555
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2029,35.8013370797948
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2030,37.5108760226457
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2031,39.3020466444816
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2032,41.178746904293
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2033,43.1450609314487
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2034,45.2052678339744
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2035,47.3638511621552
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2018,3.49649727382449
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2019,3.78392473027223
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2020,4.09497999837194
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2021,4.43160536548995
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2022,4.79590282633504
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2023,5.19014714960056
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2025,7.55490106755076
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2026,8.17594716970007
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2027,8.84804600956867
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2029,12.5062383687316
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2030,11.2143797271058
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2032,19.9852960604176
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2033,11.4359599092336
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2034,18.5640691932568
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2035,16.6464539989696
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2018,4.11010522533233
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2019,7.75126150495712
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2020,8.38844930708266
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2021,13.813626771899
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2026,16.2629076376688
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2028,30.020522385609
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2030,51.684581731594
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2031,35.5089050006272
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2035,11.565277550592
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2018,0.672128233940076
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2024,1.39569726943359
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2026,1.45681965053395
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2027,1.45681965053395
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2028,1.4809660150568
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2029,1.60270793766459
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2030,2.17898621910316
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2031,2.46980397101682
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2032,2.99078609266667
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2033,2.99078609266667
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2034,4.34764575438944
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2018,2.48015318229026
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2019,1.84902258878023
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2021,0.67935388917144
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2022,2.72851380945812
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2028,9.22816708434143
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2029,9.22816708434144
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2030,9.42308542
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2031,7.13327171305431
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2035,14.8241984850615
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2018,1.6786804280678
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2019,1.81667534447645
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2020,1.96601405224722
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2021,2.12762905685968
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2022,2.30252952731173
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2023,2.49180758636764
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2024,2.69664513315331
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2025,2.91832122843984
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2026,3.15822007433543
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2027,4.24797747188937
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2028,3.69880111960096
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2029,4.00285884590058
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2030,5.02491677989211
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2031,4.68801363744974
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2033,7.58168048490678
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2034,5.9417825279648
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2035,12.1611124898298
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2018,12.327
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2019,13.3575
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2020,14.4745
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2021,15.685
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2022,16.9965
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2023,18.418
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2024,19.958
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2025,21.6275
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2026,23.436
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2027,25.3955
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2028,27.5195
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2029,29.8205
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2030,32.3145
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2031,35.0165
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2032,37.945
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2033,41.118
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2034,44.5565
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2035,48.2825
"Region1","S1D1B1","IMP_DSL","DSL",2018,207.981991321196
"Region1","S1D1B1","IMP_DSL","DSL",2019,215.660496406414
"Region1","S1D1B1","IMP_DSL","DSL",2020,222.819914396089
"Region1","S1D1B1","IMP_DSL","DSL",2021,230.758260354804
"Region1","S1D1B1","IMP_DSL","DSL",2022,238.275251189372
"Region1","S1D1B1","IMP_DSL","DSL",2023,246.544667504893
"Region1","S1D1B1","IMP_DSL","DSL",2024,257.966626367876
"Region1","S1D1B1","IMP_DSL","DSL",2025,270.196714616276
"Region1","S1D1B1","IMP_DSL","DSL",2026,283.035526847165
"Region1","S1D1B1","IMP_DSL","DSL",2027,243.209321877153
"Region1","S1D1B1","IMP_DSL","DSL",2028,310.668312320102
"Region1","S1D1B1","IMP_DSL","DSL",2029,325.53125769926
"Region1","S1D1B1","IMP_DSL","DSL",2030,341.141081440089
"Region1","S1D1B1","IMP_DSL","DSL",2031,357.537231333603
"Region1","S1D1B1","IMP_DSL","DSL",2032,374.76135244168
"Region1","S1D1B1","IMP_DSL","DSL",2033,401.678366081128
"Region1","S1D1B1","IMP_DSL","DSL",2034,267.4094726759
"Region1","S1D1B1","IMP_DSL","DSL",2035,448.233666784412
"Region1","S1D1B1","IMP_GSL","GSL",2018,99.5026780424966
"Region1","S1D1B1","IMP_GSL","GSL",2019,104.254000646627
"Region1","S1D1B1","IMP_GSL","GSL",2020,109.232202248167
"Region1","S1D1B1","IMP_GSL","GSL",2021,114.448116456094
"Region1","S1D1B1","IMP_GSL","GSL",2022,119.913094218945
"Region1","S1D1B1","IMP_GSL","GSL",2023,125.639028532718
"Region1","S1D1B1","IMP_GSL","GSL",2024,131.638380155191
"Region1","S1D1B1","IMP_GSL","GSL",2025,137.924205047354
"Region1","S1D1B1","IMP_GSL","GSL",2026,88.2709885253231
"Region1","S1D1B1","IMP_GSL","GSL",2027,160.837222654432
"Region1","S1D1B1","IMP_GSL","GSL",2028,158.640609404104
"Region1","S1D1B1","IMP_GSL","GSL",2029,166.215809707953
"Region1","S1D1B1","IMP_GSL","GSL",2030,174.152731081688
"Region1","S1D1B1","IMP_GSL","GSL",2031,182.468646064374
"Region1","S1D1B1","IMP_GSL","GSL",2032,191.181651769018
"Region1","S1D1B1","IMP_GSL","GSL",2033,200.310709584083
"Region1","S1D1B1","IMP_GSL","GSL",2034,222.942201293027
"Region1","S1D1B1","IMP_GSL","GSL",2035,233.587847601783
"Region1","S1D1B1","IMP_KER","KER",2018,22.6991531363368
"Region1","S1D1B1","IMP_KER","KER",2019,1.57785376575573
"Region1","S1D1B1","IMP_KER","KER",2020,1.79286903767156
"Region1","S1D1B1","IMP_KER","KER",2021,13.185749721926
"Region1","S1D1B1","IMP_KER","KER",2022,15.5377106588
"Region1","S1D1B1","IMP_KER","KER",2024,6.42461600903822
"Region1","S1D1B1","IMP_KER","KER",2025,23.7597062998224
"Region1","S1D1B1","IMP_KER","KER",2026,7.17104350573432
"Region1","S1D1B1","IMP_KER","KER",2027,1.45681965053403
"Region1","S1D1B1","IMP_KER","KER",2028,33.3012058386846
"Region1","S1D1B1","IMP_KER","KER",2029,48.1180485084821
"Region1","S1D1B1","IMP_KER","KER",2030,34.1537607291605
"Region1","S1D1B1","IMP_KER","KER",2031,51.665514481911
"Region1","S1D1B1","IMP_KER","KER",2032,2.99078609266667
"Region1","S1D1B1","IMP_KER","KER",2033,66.9152744388858
"Region1","S1D1B1","IMP_KER","KER",2034,4.34764575438944
"Region1","S1D1B1","IMP_KER","KER",2035,1.01743103805176e-06
"Region1","S1D1B1","IMP_LPG","LPG",2018,45.1942967998692
"Region1","S1D1B1","IMP_LPG","LPG",2019,46.8079547341296
"Region1","S1D1B1","IMP_LPG","LPG",2020,48.482712051869
"Region1","S1D1B1","IMP_LPG","LPG",2021,57.5521659858272
"Region1","S1D1B1","IMP_LPG","LPG",2022,78.0389821014832
"Region1","S1D1B1","IMP_LPG","LPG",2023,53.900068751953
"Region1","S1D1B1","IMP_LPG","LPG",2024,55.8463888655311
"Region1","S1D1B1","IMP_LPG","LPG",2026,69.5620744505112
"Region1","S1D1B1","IMP_LPG","LPG",2027,62.151098744126
"Region1","S1D1B1","IMP_LPG","LPG",2028,73.8162955823712
"Region1","S1D1B1","IMP_LPG","LPG",2029,77.969569853149
"Region1","S1D1B1","IMP_LPG","LPG",2030,69.2296899648174
"Region1","S1D1B1","IMP_LPG","LPG",2031,109.145296614567
"Region1","S1D1B1","IMP_LPG","LPG",2032,74.4324480604535
"Region1","S1D1B1","IMP_LPG","LPG",2033,77.1925564982188
"Region1","S1D1B1","IMP_LPG","LPG",2034,99.511656760908
"Region1","S1D1B1","IMP_LPG","LPG",2035,83.0555225739746
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2018,8.02217630835593
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2019,8.44839495255255
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2020,8.89725863348252
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2021,9.36997045100045
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2022,9.86779748199639
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2024,13.6023755372784
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2025,11.5256717385244
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2026,15.086162206788
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2027,15.8876908228415
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2028,13.4620830825635
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2029,17.6207663609935
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2030,18.5569585656935
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2031,15.7238279941341
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2032,16.5592358083803
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2033,17.439028883634
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2034,22.8262633653269
"Region1","S1D1B1","IND_BIO_AUTOPRD","BIO_AUTOPRD",2035,24.0390239762527
"Region1","S1D1B1","IND_CHEM_BIO_001","IND_CHEM",2022,22.618188921177
"Region1","S1D1B1","IND_CHEM_BIO_001","IND_CHEM",2023,26.8331834930723
"Region1","S1D1B1","IND_CHEM_BIO_001","IND_CHEM",2024,28.2579381917582
"Region1","S1D1B1","IND_CHEM_BIO_001","IND_CHEM",2025,29.7583427327753
"Region1","S1D1B1","IND_CHEM_BIO_001","IND_CHEM",2028,4.23530048000001
"Region1","S1D1B1","IND_CHEM_BIO_001","IND_CHEM",2029,36.6000621571047
"Region1","S1D1B1","IND_CHEM_BIO_001","IND_CHEM",2030,38.5434063264837
"Region1","S1D1B1","IND_CHEM_BIO_001","IND_CHEM",2033,108.7992627
"Region1","S1D1B1","IND_CHEM_BIO_001","IND_CHEM",2035,114.5761494
"Region1","S1D1B1","IND_CHEM_COA_001","IND_CHEM",2018,32.7900904240997
"Region1","S1D1B1","IND_CHEM_COA_001","IND_CHEM",2019,34.8889164556956
"Region1","S1D1B1","IND_CHEM_COA_001","IND_CHEM",2020,34.8889164556956
"Region1","S1D1B1","IND_CHEM_COA_001","IND_CHEM",2021,36.7414043543196
"Region1","S1D1B1","IND_CHEM_COA_001","IND_CHEM",2023,47.2652104133156
"Region1","S1D1B1","IND_CHEM_COA_001","IND_CHEM",2024,53.3323945720186
"Region1","S1D1B1","IND_CHEM_COA_001","IND_CHEM",2025,67.7828917613622
