REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD",1,2018,298.866133366079
"Region1","S1D1B1","BIO_RESPRD",1,2019,313.137200818224
"Region1","S1D1B1","BIO_RESPRD",1,2020,328.089721478428
"Region1","S1D1B1","BIO_RESPRD",1,2021,343.75623901785
"Region1","S1D1B1","BIO_RESPRD",1,2022,360.170836726186
"Region1","S1D1B1","BIO_RESPRD",1,2023,377.369246506667
"Region1","S1D1B1","BIO_RESPRD",1,2024,395.388898907137
"Region1","S1D1B1","BIO_RESPRD",1,2025,414.268989433652
"Region1","S1D1B1","BIO_RESPRD",1,2026,434.050623913813
"Region1","S1D1B1","BIO_RESPRD",1,2027,454.776846328599
"Region1","S1D1B1","BIO_RESPRD",1,2028,476.492758397594
"Region1","S1D1B1","BIO_RESPRD",1,2029,499.245621497066
"Region1","S1D1B1","BIO_RESPRD",1,2030,523.084949902448
"Region1","S1D1B1","BIO_RESPRD",1,2031,548.062622895853
"Region1","S1D1B1","BIO_RESPRD",1,2032,574.23299707727
"Region1","S1D1B1","BIO_RESPRD",1,2033,601.653025171689
"Region1","S1D1B1","BIO_RESPRD",1,2034,630.382378859556
"Region1","S1D1B1","BIO_RESPRD",1,2035,660.483580745645
"Region1","S1D1B1","BIODSL_PROD_001",1,2018,155.416606014601
"Region1","S1D1B1","BIODSL_PROD_001",1,2019,162.837857939794
"Region1","S1D1B1","BIODSL_PROD_001",1,2020,170.613479707971
"Region1","S1D1B1","BIODSL_PROD_001",1,2021,178.76039470507
"Region1","S1D1B1","BIODSL_PROD_001",1,2022,187.296326950695
"Region1","S1D1B1","BIODSL_PROD_001",1,2023,196.239857777778
"Region1","S1D1B1","BIODSL_PROD_001",1,2024,205.610451849785
"Region1","S1D1B1","BIODSL_PROD_001",1,2025,215.428491645165
"Region1","S1D1B1","BIODSL_PROD_001",1,2026,225.715353049305
"Region1","S1D1B1","BIODSL_PROD_001",1,2027,236.493419827664
"Region1","S1D1B1","BIODSL_PROD_001",1,2028,247.786145812581
"Region1","S1D1B1","BIODSL_PROD_001",1,2029,259.61810790279
"Region1","S1D1B1","BIODSL_PROD_001",1,2030,272.015054551455
"Region1","S1D1B1","BIODSL_PROD_001",1,2031,285.003964064406
"Region1","S1D1B1","BIODSL_PROD_001",1,2032,298.6131030043
"Region1","S1D1B1","BIODSL_PROD_001",1,2033,312.872087972797
"Region1","S1D1B1","BIODSL_PROD_001",1,2034,327.811949484949
"Region1","S1D1B1","BIODSL_PROD_001",1,2035,343.465200595759
"Region1","S1D1B1","COM_CWH_BIO_001",1,2018,25.355310180018
"Region1","S1D1B1","COM_CWH_BIO_001",1,2019,27.4396282108211
