REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,2600.93757437326
"Region1","BIODSL_PROD_001",2019,130.256353837803
"Region1","BIODSL_PROD_001",2020,142.354996967165
"Region1","BIODSL_PROD_001",2021,154.855852090529
"Region1","BIODSL_PROD_001",2022,167.783224035784
"Region1","BIODSL_PROD_001",2023,181.162776712717
"Region1","BIODSL_PROD_001",2024,195.020963194748
"Region1","BIODSL_PROD_001",2025,209.385178793833
"Region1","BIODSL_PROD_001",2026,224.284653886831
"Region1","BIODSL_PROD_001",2027,239.749180678343
"Region1","BIODSL_PROD_001",2028,255.810134880061
"Region1","BIODSL_PROD_001",2029,272.50030611861
"Region1","BIODSL_PROD_001",2030,289.853807674974
"Region1","BIODSL_PROD_001",2031,307.906311923359
"Region1","BIODSL_PROD_001",2032,326.695068219555
"Region1","BIODSL_PROD_001",2033,346.25899553568
"Region1","BIODSL_PROD_001",2034,366.638744923479
"Region1","BIODSL_PROD_001",2035,387.876826983394
"Region1","COM_CWH_DSL_001",2018,0.0037627089137121
"Region1","COM_CWH_DSL_001",2020,0.000338376947270292
"Region1","COM_CWH_DSL_001",2021,0.00299119076621251
"Region1","COM_CWH_DSL_001",2023,0.00108082207392741
"Region1","COM_CWH_DSL_001",2026,0.000385647059922024
"Region1","COM_CWH_DSL_001",2027,0.00887677333730718
"Region1","COM_CWH_DSL_001",2029,0.00747079972317663
"Region1","COM_CWH_DSL_001",2030,0.00710824151156899
"Region1","COM_CWH_DSL_001",2033,0.00749469915331871
"Region1","COM_CWH_DSL_001",2035,0.0305278167244022
"Region1","COM_CWH_KER_001",2018,0.000326272426157539
"Region1","COM_CWH_KER_001",2019,0.000234990416294697
"Region1","COM_CWH_KER_001",2022,3.3081904286177e-05
"Region1","COM_CWH_KER_001",2023,5.75603448294651e-05
"Region1","COM_CWH_KER_001",2024,6.40010198276193e-05
"Region1","COM_CWH_KER_001",2026,3.86556214876962e-05
"Region1","COM_CWH_KER_001",2028,1.58659628933767e-05
"Region1","COM_CWH_KER_001",2029,8.13291261866774e-05
"Region1","COM_CWH_KER_001",2030,0.000390833925963232
"Region1","COM_CWH_KER_001",2031,0.000199968937279219
"Region1","COM_CWH_KER_001",2032,0.000362769257122972
"Region1","COM_CWH_KER_001",2034,0.000965878374257378
"Region1","COM_CWH_KER_001",2035,0.000256882321963068
"Region1","COM_CWH_LPG_001",2018,0.00120394525206083
"Region1","COM_CWH_LPG_001",2020,0.000231085481948107
"Region1","COM_CWH_LPG_001",2021,0.000315932396506055
"Region1","COM_CWH_LPG_001",2024,0.00320591920332201
"Region1","COM_CWH_LPG_001",2027,0.000276971319542579
"Region1","COM_CWH_LPG_001",2030,0.000132194290191683
"Region1","COM_CWH_LPG_001",2032,0.00297680483233617
"Region1","COM_CWH_LPG_001",2033,0.000793167969861283
"Region1","COM_EL_APP_001",2027,0.000980391329942251
"Region1","COM_EL_APP_001",2028,0.0139248868412722
"Region1","COM_EL_APP_001",2029,0.00463925805459083
"Region1","COM_EL_APP_001",2030,0.0064626762159615
"Region1","COM_EL_APP_001",2031,0.00844111994932322
"Region1","COM_EL_APP_001",2032,0.0105914737662935
"Region1","COM_EL_APP_001",2033,0.0129256156912187
"Region1","COM_EL_APP_001",2034,0.015459319493419
"Region1","COM_EL_APP_001",2035,0.018212659150598
"Region1","IND_CHEM_BIO_001",2018,0.00885275717271499
"Region1","IND_CHEM_BIO_001",2019,0.00597657955783511
"Region1","IND_CHEM_BIO_001",2022,0.00055633034845669
"Region1","IND_CHEM_BIO_001",2023,0.00294205015484832
"Region1","IND_CHEM_BIO_001",2024,0.000999007784819928
"Region1","IND_CHEM_BIO_001",2025,0.00105647332811496
"Region1","IND_CHEM_BIO_001",2027,0.00230125852547498
"Region1","IND_CHEM_BIO_001",2029,0.00256833382065587
"Region1","IND_CHEM_BIO_001",2030,0.00139122376649281
"Region1","IND_CHEM_BIO_001",2031,0.022029240503849
"Region1","IND_CHEM_BIO_001",2032,0.00264489567416527
"Region1","IND_CHEM_BIO_001",2033,0.0258770724799728
"Region1","IND_CHEM_BIO_001",2034,0.00417399901972564
"Region1","IND_CHEM_COA_001",2018,0.0222261537648555
"Region1","IND_CHEM_COA_001",2019,0.00143246496619615
"Region1","IND_CHEM_COA_001",2021,0.00127978530917887
"Region1","IND_CHEM_COA_001",2022,0.00565420444799509
