REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,298.866133366079
"Region1","BIO_RESPRD",2019,313.137200818224
"Region1","BIO_RESPRD",2020,328.089721478428
"Region1","BIO_RESPRD",2021,343.756239017851
"Region1","BIO_RESPRD",2022,360.170836726186
"Region1","BIO_RESPRD",2023,377.369246506667
"Region1","BIO_RESPRD",2024,395.388898907137
"Region1","BIO_RESPRD",2025,414.268989433651
"Region1","BIO_RESPRD",2026,434.050623913813
"Region1","BIO_RESPRD",2027,454.776846328599
"Region1","BIO_RESPRD",2028,476.492758397594
"Region1","BIO_RESPRD",2029,499.245621497066
"Region1","BIO_RESPRD",2030,523.084949902448
"Region1","BIO_RESPRD",2031,548.062622895853
"Region1","BIO_RESPRD",2032,574.23299707727
"Region1","BIO_RESPRD",2033,601.653025171689
"Region1","BIO_RESPRD",2034,630.382378859556
"Region1","BIO_RESPRD",2035,660.483580745645
"Region1","BIODSL_PROD_001",2018,155.416606014601
"Region1","BIODSL_PROD_001",2019,162.837857939794
"Region1","BIODSL_PROD_001",2020,170.613479707971
"Region1","BIODSL_PROD_001",2021,178.76039470507
"Region1","BIODSL_PROD_001",2022,187.296326950695
"Region1","BIODSL_PROD_001",2023,196.239857777778
"Region1","BIODSL_PROD_001",2024,205.610451849785
"Region1","BIODSL_PROD_001",2025,215.428491645165
"Region1","BIODSL_PROD_001",2026,225.715353049305
"Region1","BIODSL_PROD_001",2027,236.493419827664
"Region1","BIODSL_PROD_001",2028,247.786145812581
"Region1","BIODSL_PROD_001",2029,259.61810790279
"Region1","BIODSL_PROD_001",2030,272.015054551455
"Region1","BIODSL_PROD_001",2031,285.003964064406
"Region1","BIODSL_PROD_001",2032,298.6131030043
"Region1","BIODSL_PROD_001",2033,312.872087972797
"Region1","BIODSL_PROD_001",2034,327.811949484949
"Region1","BIODSL_PROD_001",2035,343.465200595759
"Region1","COM_CWH_BIO_001",2018,25.355310180018
"Region1","COM_CWH_BIO_001",2019,27.4396282108211
"Region1","COM_CWH_BIO_001",2020,29.6952864276428
"Region1","COM_CWH_BIO_001",2021,32.1363695829583
"Region1","COM_CWH_BIO_001",2022,34.7781205680569
"Region1","COM_CWH_BIO_001",2023,37.6370351675168
"Region1","COM_CWH_BIO_001",2024,77.03213915453
"Region1","COM_CWH_BIO_001",2025,54.7853594456183
"Region1","COM_CWH_BIO_001",2026,59.2889569956495
"Region1","COM_CWH_BIO_001",2027,64.1627701926662
"Region1","COM_CWH_BIO_001",2028,64.8053982610209
"Region1","COM_CWH_BIO_001",2029,90.6906335658566
"Region1","COM_CWH_BIO_001",2030,81.3225505954008
"Region1","COM_CWH_BIO_001",2031,106.213819354936
"Region1","COM_CWH_BIO_001",2032,144.926004789105
"Region1","COM_CWH_BIO_001",2033,82.9293684498451
"Region1","COM_CWH_BIO_001",2034,134.61979110411
"Region1","COM_CWH_BIO_001",2035,120.713952131759
"Region1","COM_CWH_DSL_001",2018,56.2092930018645
"Region1","COM_CWH_DSL_001",2019,56.2092930018645
"Region1","COM_CWH_DSL_001",2020,60.8299442137974
"Region1","COM_CWH_DSL_001",2021,100.171332646113
"Region1","COM_CWH_DSL_001",2022,100.171332646113
"Region1","COM_CWH_DSL_001",2023,113.510669942883
"Region1","COM_CWH_DSL_001",2024,113.510669942883
"Region1","COM_CWH_DSL_001",2025,113.510669942883
"Region1","COM_CWH_DSL_001",2026,117.932615211521
"Region1","COM_CWH_DSL_001",2027,217.697769293756
"Region1","COM_CWH_DSL_001",2028,217.697769293756
"Region1","COM_CWH_DSL_001",2029,298.7932920541
"Region1","COM_CWH_DSL_001",2030,374.797547002132
"Region1","COM_CWH_DSL_001",2031,374.797547002134
"Region1","COM_CWH_DSL_001",2032,374.797547002133
"Region1","COM_CWH_DSL_001",2033,451.955688702717
"Region1","COM_CWH_DSL_001",2034,451.955688702717
"Region1","COM_CWH_DSL_001",2035,759.95267886084
"Region1","COM_CWH_KER_001",2018,4.87402635199475
"Region1","COM_CWH_KER_001",2019,8.22112426305015
"Region1","COM_CWH_KER_001",2020,8.22112426305015
"Region1","COM_CWH_KER_001",2021,8.22112426305015
"Region1","COM_CWH_KER_001",2022,8.64188279711375
"Region1","COM_CWH_KER_001",2023,9.35228358658744
"Region1","COM_CWH_KER_001",2024,10.1210824469441
"Region1","COM_CWH_KER_001",2025,10.1210824469441
"Region1","COM_CWH_KER_001",2026,10.5643194382447
"Region1","COM_CWH_KER_001",2027,10.5643194382447
"Region1","COM_CWH_KER_001",2028,10.739419978657
"Region1","COM_CWH_KER_001",2029,11.6222475537679
"Region1","COM_CWH_KER_001",2030,15.8012053597039
"Region1","COM_CWH_KER_001",2031,17.9101085642989
"Region1","COM_CWH_KER_001",2032,21.688078989606
"Region1","COM_CWH_KER_001",2033,21.688078989606
"Region1","COM_CWH_KER_001",2034,31.5275254125413
"Region1","COM_CWH_KER_001",2035,34.1192267026703
"Region1","COM_CWH_LPG_001",2018,17.9851572319816
"Region1","COM_CWH_LPG_001",2019,17.9851572319816
"Region1","COM_CWH_LPG_001",2020,21.1407073391545
"Region1","COM_CWH_LPG_001",2021,25.2959819775004
"Region1","COM_CWH_LPG_001",2022,25.2959819775004
"Region1","COM_CWH_LPG_001",2023,25.2959819775004
"Region1","COM_CWH_LPG_001",2024,63.8064156635243
"Region1","COM_CWH_LPG_001",2025,63.8064156635243
"Region1","COM_CWH_LPG_001",2026,63.8064156635243
"Region1","COM_CWH_LPG_001",2027,66.9192681968197
"Region1","COM_CWH_LPG_001",2028,66.9192681968197
"Region1","COM_CWH_LPG_001",2029,66.9192681968197
"Region1","COM_CWH_LPG_001",2030,68.3327441624366
"Region1","COM_CWH_LPG_001",2031,68.3327441624365
"Region1","COM_CWH_LPG_001",2032,99.3339395439544
"Region1","COM_CWH_LPG_001",2033,107.499626432643
"Region1","COM_CWH_LPG_001",2034,107.499626432643
"Region1","COM_CWH_LPG_001",2035,107.499626432643
"Region1","COM_CWH_NGS_001",2018,12.1731720672067
"Region1","COM_CWH_NGS_001",2019,13.1738603660366
"Region1","COM_CWH_NGS_001",2020,14.2568096609661
"Region1","COM_CWH_NGS_001",2021,15.4287821382138
"Region1","COM_CWH_NGS_001",2022,16.697095919592
"Region1","COM_CWH_NGS_001",2023,18.0696706770677
"Region1","COM_CWH_NGS_001",2024,19.5550771077108
"Region1","COM_CWH_NGS_001",2025,21.1625904890489
"Region1","COM_CWH_NGS_001",2026,22.9022485448545
"Region1","COM_CWH_NGS_001",2027,30.8047677439403
"Region1","COM_CWH_NGS_001",2028,26.8223431443144
"Region1","COM_CWH_NGS_001",2029,29.0272577657766
"Region1","COM_CWH_NGS_001",2030,36.4388453944316
"Region1","COM_CWH_NGS_001",2031,33.9957479147915
