REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2018,41.2136397911822
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2019,43.181619992833
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2020,45.2435725918752
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2021,47.4039853605616
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2022,49.6675583845411
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2023,52.0392190932693
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2024,54.5241291592941
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2025,57.1276936429006
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2026,59.8555810377148
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2027,62.7137271087138
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2028,65.7083513830282
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2029,68.8459712044453
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2030,72.1334145915476
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2031,75.5778356973382
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2032,79.1867302969555
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2033,82.9679521711759
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2034,86.9297300447328
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2035,91.0806857848245
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2018,3.49649727382449
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2019,3.78392473027223
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2020,4.09497999837194
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2021,4.43160536548995
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2022,4.79590282633504
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2023,5.19014714960056
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2025,7.55490106755076
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2026,8.17594716970007
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2027,8.84804600956867
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2029,12.5062383687316
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2030,11.2143797271058
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2032,19.9852960604176
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2033,11.4359599092336
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2034,18.5640691932568
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2035,16.6464539989696
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2018,4.11010522533233
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2019,7.75126150495711
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2020,8.38844930708266
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2021,13.813626771899
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2026,16.2629076376688
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2028,30.020522385609
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2030,51.684581731594
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2031,35.5089050006272
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2035,11.565277550592
"Region1","S1D1B1","COM_CWH_KER_001","KER",2018,0.672128233940076
"Region1","S1D1B1","COM_CWH_KER_001","KER",2024,1.39569726943359
"Region1","S1D1B1","COM_CWH_KER_001","KER",2026,1.45681965053395
"Region1","S1D1B1","COM_CWH_KER_001","KER",2027,1.45681965053395
"Region1","S1D1B1","COM_CWH_KER_001","KER",2028,1.48096601505681
"Region1","S1D1B1","COM_CWH_KER_001","KER",2029,1.60270793766459
"Region1","S1D1B1","COM_CWH_KER_001","KER",2030,2.17898621910316
"Region1","S1D1B1","COM_CWH_KER_001","KER",2031,2.46980397101682
"Region1","S1D1B1","COM_CWH_KER_001","KER",2032,2.99078609266667
"Region1","S1D1B1","COM_CWH_KER_001","KER",2033,2.99078609266667
"Region1","S1D1B1","COM_CWH_KER_001","KER",2034,4.34764575438944
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2018,2.48015318229026
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2019,1.84902258878023
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2021,0.67935388917144
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2022,2.72851380945812
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2028,9.22816708434143
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2029,9.22816708434144
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2030,9.42308541999999
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2031,7.13327171305431
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2035,14.8241984850615
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2018,1.6786804280678
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2019,1.81667534447645
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2020,1.96601405224722
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2021,2.12762905685968
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2022,2.30252952731173
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2023,2.49180758636764
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2024,2.69664513315331
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2025,2.91832122843984
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2026,3.15822007433543
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2027,4.24797747188937
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2028,3.69880111960096
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2029,4.00285884590058
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2030,5.02491677989211
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2031,4.68801363744974
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2033,7.58168048490678
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2034,5.9417825279648
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2035,12.1611124898298
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2018,12.327
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2019,13.3575
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2020,14.4745
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2021,15.685
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2022,16.9965
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2023,18.418
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2024,19.958
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2025,21.6275
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2026,23.436
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2027,25.3955
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2028,27.5195
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2029,29.8205
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2030,32.3145
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2031,35.0165
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2032,37.945
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2033,41.118
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2034,44.5565
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2035,48.2825
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2022,22.618188921177
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2023,26.8331834930723
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2024,28.2579381917582
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2025,29.7583427327753
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2028,4.23530048000001
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2029,36.6000621571047
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2030,38.5434063264837
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2033,108.7992627
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2035,114.5761494
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2018,32.7900904240997
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2019,34.8889164556956
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2020,34.8889164556956
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2021,36.7414043543196
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2023,47.2652104133156
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2024,53.3323945720186
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2025,67.7828917613622
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2026,78.1205105829766
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2029,117.937848940558
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2035,72.7963349292786
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2018,7.67303332256826
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2019,12.1206696242919
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2020,12.7642377284503
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2022,12.7642377284503
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2023,12.7642377284503
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2024,13.0079011116147
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2025,14.0217400026042
