REGION,EMISSION,YEAR,VALUE
"Region1","CO2",2018,825.085334505294
"Region1","CO2",2019,879.721800651535
"Region1","CO2",2020,929.522275515794
"Region1","CO2",2021,976.947438915777
"Region1","CO2",2022,1028.31814181636
"Region1","CO2",2023,1083.09683994302
"Region1","CO2",2024,1131.22626043448
"Region1","CO2",2025,1179.11513061453
"Region1","CO2",2026,1251.48987814439
"Region1","CO2",2027,1328.60235491184
"Region1","CO2",2028,1407.74391590894
"Region1","CO2",2029,1479.02635019887
"Region1","CO2",2030,1555.13118917746
"Region1","CO2",2031,1629.77974469281
"Region1","CO2",2032,1706.00738797892
"Region1","CO2",2033,1781.02891917077
"Region1","CO2",2034,1864.59335310104
"Region1","CO2",2035,1984.19273439584
