REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,650.882113097927
"Region1","BIODSL_PROD_001",2019,32.5965152611533
"Region1","BIODSL_PROD_001",2020,35.6242124275867
"Region1","BIODSL_PROD_001",2021,38.7525135082865
"Region1","BIODSL_PROD_001",2022,41.9875889169225
"Region1","BIODSL_PROD_001",2023,45.3358089843325
"Region1","BIODSL_PROD_001",2024,48.8037897132573
"Region1","BIODSL_PROD_001",2025,52.3984551078724
"Region1","BIODSL_PROD_001",2026,56.1270168808182
"Region1","BIODSL_PROD_001",2027,59.9970144992594
"Region1","BIODSL_PROD_001",2028,64.0162228168331
"Region1","BIODSL_PROD_001",2029,68.1929483940017
"Region1","BIODSL_PROD_001",2030,72.5356224296374
"Region1","BIODSL_PROD_001",2031,87.9794431446611
"Region1","BIODSL_PROD_001",2032,159.397674443259
"Region1","BIODSL_PROD_001",2033,90.6190602903517
"Region1","BIODSL_PROD_001",2034,553.756391832643
"Region1","BIODSL_PROD_001",2035,695.320740153004
"Region1","COM_CWH_DSL_001",2018,0.000700056686740967
"Region1","COM_CWH_DSL_001",2019,0.000253343565776818
"Region1","COM_CWH_DSL_001",2020,0.00265640666980099
"Region1","COM_CWH_DSL_001",2028,0.00121990119278674
"Region1","COM_CWH_DSL_001",2031,0.00293049714142236
"Region1","COM_CWH_KER_001",2018,8.48390035493214e-05
"Region1","COM_CWH_KER_001",2019,6.73343949159591e-05
"Region1","COM_CWH_KER_001",2021,1.39156149209224e-05
"Region1","COM_CWH_KER_001",2029,0.000124381641035505
"Region1","COM_CWH_KER_001",2030,0.000641428930037635
"Region1","COM_CWH_LPG_001",2018,0.000212892554581518
"Region1","COM_CWH_LPG_001",2019,0.00013204071534996
"Region1","COM_CWH_LPG_001",2020,0.000231013854898695
"Region1","COM_CWH_LPG_001",2021,0.000838482267788776
"Region1","COM_CWH_LPG_001",2025,0.000478956837093946
"Region1","COM_CWH_LPG_001",2033,0.00100286479368501
"Region1","COM_EL_APP_001",2027,0.000245341978471882
"Region1","COM_EL_APP_001",2028,0.00455739309065476
"Region1","COM_EL_APP_001",2030,0.0011170015094569
"Region1","COM_EL_APP_001",2031,0.00211238207197061
"Region1","COM_EL_APP_001",2032,0.0026505060269235
"Region1","COM_EL_APP_001",2033,0.00431881454528219
"Region1","COM_EL_APP_001",2034,0.00267198054191022
"Region1","COM_EL_APP_001",2035,0.00455770027005944
"Region1","IND_CHEM_BIO_001",2018,0.00199808725402027
"Region1","IND_CHEM_BIO_001",2019,0.0104412247335432
"Region1","IND_CHEM_COA_001",2018,0.0168591070236397
"Region1","IND_CHEM_COA_001",2020,0.00090705754093538
"Region1","IND_CHEM_COA_001",2021,0.00197260528422787
"Region1","IND_CHEM_COA_001",2023,0.0158008013940331
"Region1","IND_CHEM_COA_001",2030,0.0195042286037098
"Region1","IND_CHEM_DSL_001",2018,0.00222009694917743
"Region1","IND_CHEM_DSL_001",2019,0.0131097456593811
"Region1","IND_CHEM_ELC_001",2018,0.00234754098236305
"Region1","IND_CHEM_ELC_001",2021,2.7780219975157e-05
"Region1","IND_CHEM_ELC_001",2023,0.000129845198246365
"Region1","IND_CHEM_ELC_001",2024,0.00383050497991655
"Region1","IND_CHEM_ELC_001",2031,0.000146417901469842
"Region1","IND_CHEM_NGS_001",2018,0.0124867100258443
"Region1","IND_CHEM_NGS_001",2020,0.00032159886469654
"Region1","IND_CHEM_NGS_001",2024,0.00139138055870823
"Region1","IND_CHEM_NGS_001",2027,0.00361038186970187
"Region1","IND_CHEM_NGS_001",2028,0.00277748412762318
"Region1","IND_CHEM_NGS_001",2034,0.00536715944324409
"Region1","IND_CMNT_COA_001",2018,0.02350872998529
"Region1","IND_CMNT_COA_001",2022,0.000918721890276606
"Region1","IND_CMNT_COA_001",2023,0.0162538739622186
"Region1","IND_CMNT_COA_001",2025,0.00324521700948625
"Region1","IND_CMNT_COA_001",2026,0.00305390857600879
"Region1","IND_CMNT_COA_001",2032,0.00187195593879356
"Region1","IND_CMNT_COA_001",2033,0.00396958217116108
"Region1","IND_CMNT_COA_001",2035,0.00210731064263755
"Region1","IND_CMNT_DSL_001",2018,0.00049222720927096
"Region1","IND_CMNT_DSL_001",2019,0.000516850641278376
"Region1","IND_CMNT_DSL_001",2035,2.74118675914773e-05
"Region1","IND_CMNT_ELC_001",2018,0.000761176096769625
"Region1","IND_CMNT_ELC_001",2019,0.000236527601763664
"Region1","IND_CMNT_ELC_001",2025,0.000161832889431832
"Region1","IND_CMNT_ELC_001",2027,3.15385041058602e-05
"Region1","IND_CMNT_ELC_001",2028,0.000952844228171777
"Region1","IND_CMNT_NGS_001",2018,0.00418410122215852
"Region1","IND_CMNT_NGS_001",2019,0.00276441014948562
"Region1","IND_CMNT_NGS_001",2022,0.000167858940170386
"Region1","IND_CMNT_NGS_001",2029,0.000436624887093817
"Region1","IND_CMNT_NGS_001",2032,0.00230291033957816
"Region1","IND_CMNT_NGS_001",2033,0.00665822256421233
"Region1","IND_FOOD_BIO_001",2018,0.00953778464215185
"Region1","IND_FOOD_BIO_001",2019,0.00989817925506904
"Region1","IND_FOOD_BIO_001",2031,0.000100065624344474
"Region1","IND_FOOD_BIO_001",2032,0.00106967813742033
"Region1","IND_FOOD_BIO_001",2033,0.00112755561533979
"Region1","IND_FOOD_BIO_001",2034,0.00681822903490854
"Region1","IND_FOOD_COA_001",2018,0.0127600091933448
"Region1","IND_FOOD_COA_001",2019,0.00136498863995038
"Region1","IND_FOOD_COA_001",2021,0.000181961015559019
"Region1","IND_FOOD_COA_001",2029,0.013521813263388
"Region1","IND_FOOD_DSL_001",2018,0.00345652017305317
"Region1","IND_FOOD_DSL_001",2019,0.00658291513956718
"Region1","IND_FOOD_DSL_001",2033,0.00112952474614629
"Region1","IND_FOOD_ELC_001",2018,0.00196801401490835
"Region1","IND_FOOD_ELC_001",2019,0.000102606639018102
"Region1","IND_FOOD_ELC_001",2020,0.000222832032783151
"Region1","IND_FOOD_ELC_001",2022,0.00171304390414606
"Region1","IND_FOOD_ELC_001",2026,0.000438907129911878
"Region1","IND_FOOD_ELC_001",2028,0.000488879352818033
"Region1","IND_FOOD_ELC_001",2032,0.00115149453660819
"Region1","IND_FOOD_ELC_001",2034,0.00560928472230405
"Region1","IND_FOOD_NGS_001",2018,0.00162003891413955
"Region1","IND_FOOD_NGS_001",2019,0.000718554991369501
"Region1","IND_FOOD_NGS_001",2025,0.00274171043116903
"Region1","IND_FOOD_NGS_001",2032,7.89641059397024e-05
"Region1","IND_FOOD_NGS_001",2033,0.000278021388841464
"Region1","IND_FOOD_NGS_001",2034,0.00869386528334085
"Region1","IND_OTH_COA_001",2018,0.0176459204573964
"Region1","IND_OTH_COA_001",2023,0.0190574602442829
"Region1","IND_OTH_COA_001",2032,0.00326159421575199
"Region1","IND_OTH_DSL_001",2018,0.00461466347105173
"Region1","IND_OTH_DSL_001",2019,0.0140624112031939
"Region1","IND_OTH_ELC_001",2018,0.00526314694098337
"Region1","IND_OTH_ELC_001",2026,0.00329138684965798
"Region1","IND_OTH_ELC_001",2031,0.00900163935217639
"Region1","IND_OTH_ELC_001",2033,0.000429625676887144
"Region1","IND_OTH_LPG_001",2018,6.69603887657967e-05
"Region1","IND_OTH_LPG_001",2019,5.22325920180398e-05
"Region1","IND_OTH_LPG_001",2026,6.58405046092702e-06
"Region1","IND_OTH_LPG_001",2027,7.59248637036859e-05
"Region1","IND_OTH_LPG_001",2028,0.000277331685940969
"Region1","IND_OTH_LPG_001",2031,5.33437331321703e-05
"Region1","IND_OTH_NGS_001",2018,0.0086661848178394
"Region1","IND_OTH_NGS_001",2019,0.00930675134296955
"Region1","IND_OTH_NGS_001",2030,0.00132218637153237
"Region1","IND_OTH_NGS_001",2031,0.00411086689309336
"Region1","IND_TEXT_COA_001",2018,0.00742960680417255
"Region1","IND_TEXT_COA_001",2019,0.00409986623716496
"Region1","IND_TEXT_COA_001",2020,0.00787982140613991
"Region1","IND_TEXT_COA_001",2023,0.00324613829662789
"Region1","IND_TEXT_COA_001",2025,0.00543434192021261
"Region1","IND_TEXT_COA_001",2026,0.00745038073466101
"Region1","IND_TEXT_COA_001",2029,0.0190307943116628
"Region1","IND_TEXT_DSL_001",2018,0.00131628274905441
"Region1","IND_TEXT_DSL_001",2019,0.000427977985789733
"Region1","IND_TEXT_DSL_001",2020,0.000473166941680321
"Region1","IND_TEXT_DSL_001",2021,0.000116540729590702
"Region1","IND_TEXT_DSL_001",2022,0.0010350193577886
"Region1","IND_TEXT_DSL_001",2033,0.000157477566080578
"Region1","IND_TEXT_ELC_001",2018,0.00306688971114729
"Region1","IND_TEXT_ELC_001",2019,0.00841270122913197
"Region1","IND_TEXT_ELC_001",2032,0.00499881780213813
"Region1","IND_TEXT_NGS_001",2018,0.000745923854716483
"Region1","IND_TEXT_NGS_001",2019,0.000342787110455268
"Region1","IND_TEXT_NGS_001",2020,5.69991620602195e-05
"Region1","IND_TEXT_NGS_001",2022,0.00121966990296258
"Region1","IND_TEXT_NGS_001",2029,0.000107397952349875
"Region1","IND_TEXT_NGS_001",2030,0.00013315736425974
"Region1","IND_TEXT_NGS_001",2031,0.000140415537568939
"Region1","IND_TEXT_NGS_001",2032,0.000303745593762817
"Region1","NGS_DISTRIB",2018,6.89885454042943
"Region1","NGS_DISTRIB",2019,0.234394779347833
"Region1","NGS_DISTRIB",2020,0.242387740414224
"Region1","NGS_DISTRIB",2021,0.25065093173849
"Region1","NGS_DISTRIB",2022,0.259193589147914
"Region1","NGS_DISTRIB",2023,0.268025281325368
"Region1","NGS_DISTRIB",2024,0.277155864368348
"Region1","NGS_DISTRIB",2025,0.286595542533872
"Region1","NGS_DISTRIB",2026,0.296354868307315
"Region1","NGS_DISTRIB",2027,0.306444727286621
"Region1","NGS_DISTRIB",2028,0.316876414118128
"Region1","NGS_DISTRIB",2029,0.327661556672689
