REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,298.866138104472
"Region1","BIO_RESPRD",2019,313.137200818224
"Region1","BIO_RESPRD",2020,328.089726786631
"Region1","BIO_RESPRD",2021,343.756239017851
"Region1","BIO_RESPRD",2022,360.170836726187
"Region1","BIO_RESPRD",2023,377.369246506667
"Region1","BIO_RESPRD",2024,395.388892636376
"Region1","BIO_RESPRD",2025,414.268989433651
"Region1","BIO_RESPRD",2026,434.050623913813
"Region1","BIO_RESPRD",2027,454.776851442402
"Region1","BIO_RESPRD",2028,476.492758397594
"Region1","BIO_RESPRD",2029,499.24562528537
"Region1","BIO_RESPRD",2030,523.084949902448
"Region1","BIO_RESPRD",2031,551.604468557402
"Region1","BIO_RESPRD",2032,602.628754230916
"Region1","BIO_RESPRD",2033,631.304451286115
"Region1","BIO_RESPRD",2034,804.698365029715
"Region1","BIO_RESPRD",2035,1020.32518839018
"Region1","BIODSL_PROD_001",2018,155.416608478665
"Region1","BIODSL_PROD_001",2019,7.42124946112917
"Region1","BIODSL_PROD_001",2020,7.77562452855287
"Region1","BIODSL_PROD_001",2021,8.14691223672365
"Region1","BIODSL_PROD_001",2022,8.5359322456245
"Region1","BIODSL_PROD_001",2023,8.94353082708272
"Region1","BIODSL_PROD_001",2024,9.3705908110811
"Region1","BIODSL_PROD_001",2025,9.81804305630569
"Region1","BIODSL_PROD_001",2026,10.2868614041404
"Region1","BIODSL_PROD_001",2027,10.7780694376438
"Region1","BIODSL_PROD_001",2028,11.2927233256325
"Region1","BIODSL_PROD_001",2029,11.831964060206
"Region1","BIODSL_PROD_001",2030,12.3969446786679
"Region1","BIODSL_PROD_001",2031,14.830742930293
"Region1","BIODSL_PROD_001",2032,26.533689897823
"Region1","BIODSL_PROD_001",2033,14.9119589470615
"Region1","BIODSL_PROD_001",2034,90.1684418843473
"Region1","BIODSL_PROD_001",2035,112.130433364778
"Region1","COM_CWH_BIO_001",2018,43.2493596878198
"Region1","COM_CWH_BIO_001",2019,46.8046473012624
"Region1","COM_CWH_BIO_001",2020,107.658872005076
"Region1","COM_CWH_BIO_001",2021,82.224042850563
"Region1","COM_CWH_BIO_001",2022,59.3221473149096
"Region1","COM_CWH_BIO_001",2023,46.7784604897452
"Region1","COM_CWH_BIO_001",2024,98.4454724945613
"Region1","COM_CWH_BIO_001",2025,54.7853594456183
"Region1","COM_CWH_BIO_001",2026,172.944038807107
"Region1","COM_CWH_BIO_001",2027,88.0568894916411
"Region1","COM_CWH_BIO_001",2028,135.030827413585
"Region1","COM_CWH_BIO_001",2029,219.196433411893
"Region1","COM_CWH_BIO_001",2030,81.3225505954009
"Region1","COM_CWH_BIO_001",2031,70.8092129032903
"Region1","COM_CWH_BIO_001",2032,130.710301487547
"Region1","COM_CWH_BIO_001",2033,212.182895376151
"Region1","COM_CWH_BIO_001",2034,147.328111558036
"Region1","COM_CWH_BIO_001",2035,704.237668527919
"Region1","COM_CWH_DSL_001",2018,41.7896089808981
"Region1","COM_CWH_DSL_001",2019,14.4196840209664
"Region1","COM_CWH_DSL_001",2020,144.952122811851
"Region1","COM_CWH_DSL_001",2028,53.7988889713409
"Region1","COM_CWH_DSL_001",2031,123.498877149437
"Region1","COM_CWH_KER_001",2018,5.06443099795292
"Region1","COM_CWH_KER_001",2019,3.83250585209826
"Region1","COM_CWH_KER_001",2021,0.731367356704197
"Region1","COM_CWH_KER_001",2029,5.39527598212408
"Region1","COM_CWH_KER_001",2030,27.4063925235054
"Region1","COM_CWH_LPG_001",2018,12.7085374361949
"Region1","COM_CWH_LPG_001",2019,7.51542825810739
"Region1","COM_CWH_LPG_001",2020,12.6057312862504
"Region1","COM_CWH_LPG_001",2021,44.0683766632549
"Region1","COM_CWH_LPG_001",2025,22.4358659001468
"Region1","COM_CWH_LPG_001",2033,41.2569899339281
"Region1","COM_CWH_NGS_001",2018,16.8097704046402
"Region1","COM_CWH_NGS_001",2019,27.9553119269949
"Region1","COM_CWH_NGS_001",2020,26.9630867788916
"Region1","COM_CWH_NGS_001",2021,19.1761830453698
"Region1","COM_CWH_NGS_001",2022,25.0456438793879
"Region1","COM_CWH_NGS_001",2023,18.0696706770677
"Region1","COM_CWH_NGS_001",2024,36.983396254965
"Region1","COM_CWH_NGS_001",2025,26.3026404350528
"Region1","COM_CWH_NGS_001",2026,34.3533728172817
"Region1","COM_CWH_NGS_001",2027,63.4146255117707
"Region1","COM_CWH_NGS_001",2028,37.0386147079133
"Region1","COM_CWH_NGS_001",2029,87.0817732973297
"Region1","COM_CWH_NGS_001",2030,47.1201391089109
"Region1","COM_CWH_NGS_001",2031,72.9748833984575
"Region1","COM_CWH_NGS_001",2032,78.0701802631579
"Region1","COM_CWH_NGS_001",2033,96.2308314962533
"Region1","COM_CWH_NGS_001",2034,49.9806372157773
"Region1","COM_CWH_NGS_001",2035,64.3902042121254
"Region1","COM_EL_APP_001",2018,524.818709209572
"Region1","COM_EL_APP_001",2021,43.8905003625816
"Region1","COM_EL_APP_001",2022,47.5525743292241
"Region1","COM_EL_APP_001",2023,107.378535170413
"Region1","COM_EL_APP_001",2025,60.5329949238578
"Region1","COM_EL_APP_001",2026,65.5728788977522
"Region1","COM_EL_APP_001",2027,71.0478607686727
"Region1","COM_EL_APP_001",2028,685.261058738216
"Region1","COM_EL_APP_001",2030,90.4278462654097
"Region1","COM_EL_APP_001",2031,141.86004350979
