REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2018,298.866138104472
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2019,313.137200818224
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2020,328.089726786631
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2021,343.756239017851
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2022,360.170836726187
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2023,377.369246506667
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2024,395.388892636376
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2025,414.268989433651
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2026,434.050623913813
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2027,454.776851442402
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2028,476.492758397594
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2029,499.24562528537
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2030,523.084949902448
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2031,551.604468557402
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2032,602.628754230915
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2033,631.304451286115
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2034,804.698365029715
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2035,1020.32518839018
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2020,107.658872005076
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2023,46.7784604897452
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2024,98.4454724945613
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2025,54.7853594456184
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2026,172.944038807107
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2028,135.030827413585
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2030,81.3225505954009
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2031,70.8092129032903
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2034,147.328111558036
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2035,704.237668527919
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2018,41.7896089808981
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2019,56.2092930018645
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2020,201.161415813715
