REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,2600.93761561001
"Region1","BIODSL_PROD_001",2019,130.256310589048
"Region1","BIODSL_PROD_001",2020,142.355047503743
"Region1","BIODSL_PROD_001",2021,154.855799621541
"Region1","BIODSL_PROD_001",2022,167.783224035784
"Region1","BIODSL_PROD_001",2023,181.162776712716
"Region1","BIODSL_PROD_001",2024,195.020895328297
"Region1","BIODSL_PROD_001",2025,209.385248338225
"Region1","BIODSL_PROD_001",2026,224.284653886831
"Region1","BIODSL_PROD_001",2027,239.749239831922
"Region1","BIODSL_PROD_001",2028,255.810074640233
"Region1","BIODSL_PROD_001",2029,272.500351489343
"Region1","BIODSL_PROD_001",2030,289.853761614347
"Region1","BIODSL_PROD_001",2031,351.567570333498
"Region1","BIODSL_PROD_001",2032,636.956215199996
"Region1","BIODSL_PROD_001",2033,362.11553191806
"Region1","BIODSL_PROD_001",2034,2212.82133956153
"Region1","BIODSL_PROD_001",2035,2778.51523583911
"Region1","COM_CWH_DSL_001",2018,0.0027974401707517
"Region1","COM_CWH_DSL_001",2019,0.00101236582883721
"Region1","COM_CWH_DSL_001",2020,0.0106150528502897
"Region1","COM_CWH_DSL_001",2028,0.00487474895345478
"Region1","COM_CWH_DSL_001",2031,0.0117103237194295
"Region1","COM_CWH_KER_001",2018,0.000339018312474508
"Region1","COM_CWH_KER_001",2019,0.000269069555049992
"Region1","COM_CWH_KER_001",2021,5.56070685671547e-05
"Region1","COM_CWH_KER_001",2029,0.000497031462918499
"Region1","COM_CWH_KER_001",2030,0.00256316251177172
"Region1","COM_CWH_LPG_001",2018,0.000850722799339039
"Region1","COM_CWH_LPG_001",2019,0.000527637273224767
"Region1","COM_CWH_LPG_001",2020,0.000923135868757063
"Region1","COM_CWH_LPG_001",2021,0.00335059149180475
"Region1","COM_CWH_LPG_001",2025,0.00191392086029535
"Region1","COM_CWH_LPG_001",2033,0.00400746727061139
"Region1","COM_EL_APP_001",2027,0.00098039132994225
"Region1","COM_EL_APP_001",2028,0.0182114316557071
"Region1","COM_EL_APP_001",2030,0.00446355981240877
"Region1","COM_EL_APP_001",2031,0.00844111994932323
"Region1","COM_EL_APP_001",2032,0.0105914737662935
"Region1","COM_EL_APP_001",2033,0.0172580671363112
"Region1","COM_EL_APP_001",2034,0.010677286346916
"Region1","COM_EL_APP_001",2035,0.018212659150598
"Region1","IND_CHEM_BIO_001",2018,0.00798439562813786
"Region1","IND_CHEM_BIO_001",2019,0.0417233376306106
"Region1","IND_CHEM_COA_001",2018,0.06736932040531
"Region1","IND_CHEM_COA_001",2020,0.00362461962046051
"Region1","IND_CHEM_COA_001",2021,0.00788256917996982
"Region1","IND_CHEM_COA_001",2023,0.0631403104733046
"Region1","IND_CHEM_COA_001",2030,0.0779392778169848
"Region1","IND_CHEM_DSL_001",2018,0.008871550698994
"Region1","IND_CHEM_DSL_001",2019,0.052386799284242
"Region1","IND_CHEM_ELC_001",2018,0.00938081954065852
"Region1","IND_CHEM_ELC_001",2021,0.000111010300712374
"Region1","IND_CHEM_ELC_001",2023,0.000518863944068006
"Region1","IND_CHEM_ELC_001",2024,0.0153067725914715
"Region1","IND_CHEM_ELC_001",2031,0.000585088789303226
"Region1","IND_CHEM_NGS_001",2018,0.0498971367439416
"Region1","IND_CHEM_NGS_001",2020,0.00128511533424311
"Region1","IND_CHEM_NGS_001",2024,0.0055599838433849
"Region1","IND_CHEM_NGS_001",2027,0.0144271563508324
"Region1","IND_CHEM_NGS_001",2028,0.0110988807326589
"Region1","IND_CHEM_NGS_001",2034,0.0214472737904379
"Region1","IND_CMNT_COA_001",2018,0.0939413434222923
"Region1","IND_CMNT_COA_001",2022,0.00367123058787336
"Region1","IND_CMNT_COA_001",2023,0.0649507972903197
"Region1","IND_CMNT_COA_001",2025,0.0129679504489937
"Region1","IND_CMNT_COA_001",2026,0.0122034782184592
"Region1","IND_CMNT_COA_001",2032,0.0074803724330341
"Region1","IND_CMNT_COA_001",2033,0.0158625277595765
"Region1","IND_CMNT_COA_001",2035,0.00842085441881959
"Region1","IND_CMNT_DSL_001",2018,0.00196694952627614
"Region1","IND_CMNT_DSL_001",2019,0.00206534524071463
"Region1","IND_CMNT_DSL_001",2035,0.000109538357404619
"Region1","IND_CMNT_ELC_001",2018,0.0030416745250049
"Region1","IND_CMNT_ELC_001",2019,0.00094516890874305
"Region1","IND_CMNT_ELC_001",2025,0.000646687381779042
"Region1","IND_CMNT_ELC_001",2027,0.000126028477382142
"Region1","IND_CMNT_ELC_001",2028,0.00380758411546024
"Region1","IND_CMNT_NGS_001",2018,0.0167197500703089
"Region1","IND_CMNT_NGS_001",2019,0.0110466368610893
"Region1","IND_CMNT_NGS_001",2022,0.000670767598033378
"Region1","IND_CMNT_NGS_001",2029,0.00174476156265631
"Region1","IND_CMNT_NGS_001",2032,0.00920247462182891
"Region1","IND_CMNT_NGS_001",2033,0.0266063871965056
"Region1","IND_FOOD_BIO_001",2018,0.0381131734090654
"Region1","IND_FOOD_BIO_001",2019,0.0395533173096837
"Region1","IND_FOOD_BIO_001",2031,0.000399864186078635
"Region1","IND_FOOD_BIO_001",2032,0.00427445469498348
"Region1","IND_FOOD_BIO_001",2033,0.00450573422531325
"Region1","IND_FOOD_BIO_001",2034,0.0272457761734034
"Region1","IND_FOOD_COA_001",2018,0.0509892455463849
"Region1","IND_FOOD_COA_001",2019,0.00545452122140766
"Region1","IND_FOOD_COA_001",2021,0.000727119766265332
"Region1","IND_FOOD_COA_001",2029,0.0540334294648358
