REGION,TECHNOLOGY,VALUE
"Region1","BIO_RESPRD",8364.13506297487
"Region1","BIODSL_PROD_001",4349.52421371548
"Region1","COM_CWH_BIO_001",970.079809187
"Region1","COM_CWH_DSL_001",1598.84677493
"Region1","COM_CWH_KER_001",113.594797513
"Region1","COM_CWH_LPG_001",419.16480282
"Region1","COM_CWH_NGS_001",465.73866979
"Region1","COM_EL_APP_001",9564.97
"Region1","IMP_DSL",42304.9965737434
"Region1","IMP_GSL",19876.2991498885
"Region1","IMP_KER",4753.19050546498
"Region1","IMP_LPG",8116.799820262
"Region1","IMP_OIL",2210.63701215
"Region1","IND_BIO_AUTOPRD",1685.01978207
"Region1","IND_CHEM_BIO_001",1450.06268903
"Region1","IND_CHEM_COA_001",6605.84114025
"Region1","IND_CHEM_DSL_001",1611.18076553
"Region1","IND_CHEM_ELC_001",1593.47548246
"Region1","IND_CHEM_NGS_001",6444.7230623
"Region1","IND_CMNT_COA_001",11973.33640016
"Region1","IND_CMNT_DSL_001",310.99575063
"Region1","IND_CMNT_ELC_001",480.92126388
"Region1","IND_CMNT_NGS_001",3265.4553817
"Region1","IND_FOOD_BIO_001",4825.06899293
"Region1","IND_FOOD_COA_001",4303.43991387
"Region1","IND_FOOD_DSL_001",2477.73813165
"Region1","IND_FOOD_ELC_001",1133.97626156
"Region1","IND_FOOD_NGS_001",1434.47997085
"Region1","IND_OTH_BIO",3370.03956414
"Region1","IND_OTH_COA_001",6454.8641987
"Region1","IND_OTH_DSL_001",3350.0244816
"Region1","IND_OTH_ELC_001",3284.9754624
"Region1","IND_OTH_LPG_001",60.04524836
"Region1","IND_OTH_NGS_001",8498.9045283
"Region1","IND_TEXT_COA_001",7914.87260581
"Region1","IND_TEXT_DSL_001",953.59910908
"Region1","IND_TEXT_ELC_001",2236.83741652
"Region1","IND_TEXT_NGS_001",667.51937638
"Region1","MIN_BIO",49782.3555619617
"Region1","MIN_COA",110962.01522407
"Region1","MIN_GEO",19014.8925734418
"Region1","MIN_HYD",1352.35309362975
"Region1","MIN_NGS",30687.7947016166
"Region1","MIN_SOL",1396.87562309273
"Region1","MIN_WND",1028.57811526166
"Region1","NGS_DISTRIB",22.3321338320889
"Region1","NGS_PIPELINE",30687.7947016166
"Region1","OTH_ALL_BIO_001",2.00000015124414e-07
"Region1","OTH_ALL_EL_001",271.74677071
"Region1","OTH_ALL_OILPRD_001",2210.63701215
"Region1","PWR_BIO_001",314.388651526289
"Region1","PWR_COA_001",24326.6207806205
"Region1","PWR_GEO_001",2835.37495552946
"Region1","PWR_HYD_001",1287.95532726643
"Region1","PWR_NGS_001",5181.50038236433
"Region1","PWR_OILPRD_001",148.060618401906
"Region1","PWR_SOL_003",594.87677996989
"Region1","PWR_SOL_E001",768.378775734098
"Region1","PWR_TRN_001",35890.8576067047
"Region1","PWR_WND_E001",1028.57811526166
"Region1","RES_CWH_BIO_001",9974.881668605
"Region1","RES_CWH_EL_001",3958.400202819
"Region1","RES_CWH_KER_001",477.58958957
"Region1","RES_CWH_LPG_001",4196.4778951
"Region1","RES_CWH_NGS_001",11.043362884
"Region1","RES_EL_APP_001",10719.26
"Region1","TRA_BUS_BIODSL_001",29101141.109
"Region1","TRA_BUS_DSL_001",17091146.3645
"Region1","TRA_BUS_ELC_001",947508.164840515
"Region1","TRA_CAR",9194699.44275465
"Region1","TRA_CAR_BIODSL_001",453026.83552
"Region1","TRA_CAR_DSL_001",50336.315058
"Region1","TRA_CAR_ELC_001",2822.30652293762
"Region1","TRA_CAR_GSL_001",9563899.8608
"Region1","TRA_MCY",22693489.6121
"Region1","TRA_MCY_001",22693489.6121
"Region1","TRA_PLANE_FREIGHT_001",38713.5290732615
"Region1","TRA_PLANE_FREIGHT_BIO_001",0.0234537385407219
"Region1","TRA_PLANE_PSNG_001",3957358.8132
"Region1","TRA_RLW_FREIGHT_BIODSL_001",1178526.04306667
"Region1","TRA_RLW_FREIGHT_DSL_001",14935838.7494031
"Region1","TRA_RLW_PSNG_DSL_001",204238.125121
"Region1","TRA_RLW_PSNG_ELC_001",552199.37533
"Region1","TRA_SHIP_FREIGHT_001",25162927.4497
"Region1","TRA_SHIP_PSNG_001",1109542.06601
"Region1","TRA_TRAIN_FREIGHT",15912440.7643
"Region1","TRA_TRAIN_PSNG",681493.221804851
"Region1","TRA_TRUCK",691812.0374
"Region1","TRA_TRUCK_DSL_001",16389481.6224
