REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2018,41.2136404446068
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2019,43.1816199928331
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2020,45.2435733238764
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2021,47.4039853605616
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2022,49.6675583845411
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2023,52.0392190932693
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2024,54.5241282945562
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2025,57.1276936429005
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2026,59.8555810377149
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2027,62.7137278139073
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2028,65.7083513830282
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2029,68.8459717268525
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2030,72.1334145915476
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2031,76.0662562140657
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2032,83.1025052084432
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2033,87.0568838323552
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2034,110.967904537598
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2035,140.702843479006
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2020,14.8461584495
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2023,6.45074970153586
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2024,13.575630657
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2025,7.55490106755077
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2026,23.8489829515
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2028,18.6207511003333
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2030,11.2143797271058
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2031,9.76459045936374
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2034,20.3165465838532
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2035,97.11437449
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2018,5.76278707846585
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2019,7.75126150495712
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2020,27.7401592407114
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2027,27.7401592407114
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2030,35.1590260298593
"Region1","S1D1B1","COM_CWH_KER_001","KER",2027,0.200192287
"Region1","S1D1B1","COM_CWH_KER_001","KER",2028,0.897268783000001
"Region1","S1D1B1","COM_CWH_KER_001","KER",2033,5.85109323703787
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2018,1.75250731245128
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2027,2.8943403031113
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2028,4.72784302311131
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2032,13.6981502631113
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2034,19.387489175
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2019,3.8550375147326
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2021,2.64439564195649
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2022,3.4537942909676
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2023,2.49180758636764
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2025,3.62713411599379
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2030,6.49786718311881
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2031,10.0632364206473
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2032,10.7658778582895
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2033,13.2702316633333
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2034,6.89232987205569
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2035,8.8794091608521
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2018,12.327
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2019,13.3575
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2020,14.4745
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2021,15.685
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2022,16.9965
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2023,18.418
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2024,19.958
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2025,21.6275
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2026,23.436
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2027,25.3955
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2028,27.5195
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2029,29.8205
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2030,32.3145
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2031,35.0165
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2032,37.945
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2033,41.118
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2034,44.5565
"Region1","S1D1B1","COM_EL_APP_001","ELC_002",2035,48.2825
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2024,68.29855547
"Region1","S1D1B1","IND_CHEM_BIO_001","BIO",2026,72.91172754739
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2018,99.3894909245725
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2020,104.666749367087
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2021,116.076760023741
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2022,116.076760023741
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2033,82.0317429215539
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2034,75.03701742
"Region1","S1D1B1","IND_CHEM_COA_001","COA",2035,102.75128862
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2020,61.70152915
"Region1","S1D1B1","IND_CHEM_DSL_001","DSL",2030,89.8444842146366
"Region1","S1D1B1","IND_CHEM_ELC_001","ELC_002",2018,13.8394579757086
"Region1","S1D1B1","IND_CHEM_ELC_001","ELC_002",2019,13.8394579757086
"Region1","S1D1B1","IND_CHEM_ELC_001","ELC_002",2021,14.0001452700675
