REGION,EMISSION,YEAR,VALUE
"Region1","CO2",2018,721.542886650305
"Region1","CO2",2019,746.794020211855
"Region1","CO2",2020,772.392641188338
"Region1","CO2",2021,816.471780772661
"Region1","CO2",2022,868.961459750829
"Region1","CO2",2023,917.425417511529
"Region1","CO2",2024,951
"Region1","CO2",2025,945
"Region1","CO2",2026,1003
"Region1","CO2",2027,1065
"Region1","CO2",2028,1129
"Region1","CO2",2029,1187
"Region1","CO2",2030,1248
"Region1","CO2",2031,1309
"Region1","CO2",2032,1373
"Region1","CO2",2033,1436.27844484472
"Region1","CO2",2034,1507
"Region1","CO2",2035,1577
