REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
"Region1","BIODSL_PROD_001","CO2",2018,5.34612445096512
"Region1","BIODSL_PROD_001","CO2",2019,7.73651568470052
"Region1","BIODSL_PROD_001","CO2",2020,14.0883507776394
"Region1","BIODSL_PROD_001","CO2",2021,15.1492248958159
"Region1","BIODSL_PROD_001","CO2",2022,15.8879880017183
"Region1","BIODSL_PROD_001","CO2",2023,16.9713496326521
"Region1","BIODSL_PROD_001","CO2",2024,17.721061471557
"Region1","BIODSL_PROD_001","CO2",2025,18.7425008608289
"Region1","BIODSL_PROD_001","CO2",2026,18.8549417874904
"Region1","BIODSL_PROD_001","CO2",2027,18.914415243949
"Region1","BIODSL_PROD_001","CO2",2028,18.914415243949
"Region1","BIODSL_PROD_001","CO2",2029,18.914415243949
"Region1","BIODSL_PROD_001","CO2",2030,18.914415243949
"Region1","BIODSL_PROD_001","CO2",2031,18.8690751511239
"Region1","BIODSL_PROD_001","CO2",2032,18.914415243949
"Region1","BIODSL_PROD_001","CO2",2033,18.914415243949
"Region1","BIODSL_PROD_001","CO2",2034,18.914415243949
"Region1","BIODSL_PROD_001","CO2",2035,16.7880381529312
"Region1","BIOETH_PROD_001","CO2",2018,0.000604761583152029
"Region1","BIOETH_PROD_001","CO2",2019,0.709581951156698
"Region1","BIOETH_PROD_001","CO2",2020,2.25970626540154
"Region1","BIOETH_PROD_001","CO2",2021,2.25824479843946
"Region1","BIOETH_PROD_001","CO2",2022,2.27171033712746
"Region1","BIOETH_PROD_001","CO2",2023,2.25009386224769
"Region1","BIOETH_PROD_001","CO2",2024,2.20047625113715
"Region1","BIOETH_PROD_001","CO2",2025,4.10992601446564
"Region1","BIOETH_PROD_001","CO2",2026,4.10992601446564
"Region1","BIOETH_PROD_001","CO2",2027,4.07337086327137
"Region1","BIOETH_PROD_001","CO2",2028,4.00723955002707
"Region1","BIOETH_PROD_001","CO2",2029,3.75475516075565
"Region1","BIOETH_PROD_001","CO2",2030,3.45813134245787
"Region1","BIOETH_PROD_001","CO2",2031,3.26478210187835
