REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,707.289156650795
"Region1","BIO_RESPRD",2019,1023.53652711164
"Region1","BIO_RESPRD",2020,1863.88061698007
"Region1","BIO_RESPRD",2021,2004.23364602756
"Region1","BIO_RESPRD",2022,2101.971575425
"Region1","BIO_RESPRD",2023,2245.29968933613
"Region1","BIO_RESPRD",2024,2344.48612974427
"Region1","BIO_RESPRD",2025,2479.62196708483
"Region1","BIO_RESPRD",2026,2494.49783630952
"Region1","BIO_RESPRD",2027,2502.3661400214
"Region1","BIO_RESPRD",2028,2502.3661400214
"Region1","BIO_RESPRD",2029,2502.3661400214
"Region1","BIO_RESPRD",2030,2502.3661400214
"Region1","BIO_RESPRD",2031,2496.36767210116
"Region1","BIO_RESPRD",2032,2502.3661400214
"Region1","BIO_RESPRD",2033,2502.3661400214
"Region1","BIO_RESPRD",2034,2502.3661400214
"Region1","BIO_RESPRD",2035,2221.04768714549
"Region1","BIO_RESPRD2",2018,0.126130587686145
"Region1","BIO_RESPRD2",2019,147.992185688119
"Region1","BIO_RESPRD2",2020,471.289987977808
"Region1","BIO_RESPRD2",2021,470.985180774529
"Region1","BIO_RESPRD2",2022,473.793587187146
"Region1","BIO_RESPRD2",2023,469.285201145034
"Region1","BIO_RESPRD2",2024,458.936828127792
"Region1","BIO_RESPRD2",2025,857.17644439199
"Region1","BIO_RESPRD2",2026,857.176444391989
"Region1","BIO_RESPRD2",2027,849.552410671035
"Region1","BIO_RESPRD2",2028,835.75989865252
"Region1","BIO_RESPRD2",2029,783.1011232151
"Region1","BIO_RESPRD2",2030,721.23651811137
"Region1","BIO_RESPRD2",2031,680.911117123003
"Region1","BIO_RESPRD2",2032,600.048654807033
"Region1","BIO_RESPRD2",2033,242.968813376851
"Region1","BIO_RESPRD2",2034,157.855354930419
"Region1","BIO_RESPRD2",2035,71.509865541549
"Region1","BIODSL_PROD_001",2018,299.424412079248
"Region1","BIODSL_PROD_001",2019,433.304851333033
"Region1","BIODSL_PROD_001",2020,789.056855569336
"Region1","BIODSL_PROD_001",2021,848.474030017598
"Region1","BIODSL_PROD_001",2022,889.850490793911
"Region1","BIODSL_PROD_001",2023,950.527140278382
"Region1","BIODSL_PROD_001",2024,992.516814976737
"Region1","BIODSL_PROD_001",2025,1049.72533891076
"Region1","BIODSL_PROD_001",2026,1056.0229024389
"Region1","BIODSL_PROD_001",2027,1059.35387703513
"Region1","BIODSL_PROD_001",2028,1059.35387703513
"Region1","BIODSL_PROD_001",2029,1059.35387703513
"Region1","BIODSL_PROD_001",2030,1059.35387703513
"Region1","BIODSL_PROD_001",2031,1056.81448036333
"Region1","BIODSL_PROD_001",2032,1059.35387703513
"Region1","BIODSL_PROD_001",2033,1059.35387703513
"Region1","BIODSL_PROD_001",2034,1059.35387703513
"Region1","BIODSL_PROD_001",2035,940.260276394788
"Region1","BIOETH_PROD_001",2018,0.0574921373457028
"Region1","BIOETH_PROD_001",2019,67.4569683829887
"Region1","BIOETH_PROD_001",2020,214.820760099028
"Region1","BIOETH_PROD_001",2021,214.681824588488
"Region1","BIOETH_PROD_001",2022,215.961936654551
"Region1","BIOETH_PROD_001",2023,213.906949404468
"Region1","BIOETH_PROD_001",2024,209.190012032446
"Region1","BIOETH_PROD_001",2025,390.713361243608
"Region1","BIOETH_PROD_001",2026,390.713361243608
"Region1","BIOETH_PROD_001",2027,387.238216935995
"Region1","BIOETH_PROD_001",2028,380.951391433494
"Region1","BIOETH_PROD_001",2029,356.948763637626
"Region1","BIOETH_PROD_001",2030,328.749986174449
"Region1","BIOETH_PROD_001",2031,310.36908797462
"Region1","BIOETH_PROD_001",2032,273.510813745773
"Region1","BIOETH_PROD_001",2033,110.748682342965
"Region1","BIOETH_PROD_001",2034,71.952742890543
"Region1","BIOETH_PROD_001",2035,32.5952260011477
"Region1","COM_CWH_BIO_001",2018,0.0025352774649
"Region1","COM_CWH_BIO_001",2019,0.0038673736793
"Region1","COM_CWH_BIO_001",2020,0.0052624731597
"Region1","COM_CWH_BIO_001",2021,0.0067257550286
"Region1","COM_CWH_BIO_001",2022,0.0082628241968
"Region1","COM_CWH_BIO_001",2023,0.0098797463061
"Region1","COM_CWH_BIO_001",2024,0.0115830856054
"Region1","COM_CWH_BIO_001",2025,0.0133799459746
"Region1","COM_CWH_BIO_001",2026,0.015278015254
"Region1","COM_CWH_BIO_001",2027,0.0172856132732
"Region1","COM_CWH_BIO_001",2028,0.0194117437618
"Region1","COM_CWH_BIO_001",2029,0.021666150621
"Region1","COM_CWH_BIO_001",2030,0.02405937872
"Region1","COM_CWH_BIO_001",2031,0.02603716551
"Region1","COM_CWH_BIO_001",2032,0.02817753508
"Region1","COM_CWH_BIO_001",2033,0.03049385245
"Region1","COM_CWH_BIO_001",2034,0.03300058129
"Region1","COM_CWH_BIO_001",2035,0.03571337428
"Region1","COM_CWH_DSL_001",2018,0.004178543002
"Region1","COM_CWH_DSL_001",2019,0.003830331085
"Region1","COM_CWH_DSL_001",2020,0.003482119168
"Region1","COM_CWH_DSL_001",2021,0.003133907251
"Region1","COM_CWH_DSL_001",2022,0.002785695335
"Region1","COM_CWH_DSL_001",2023,0.002437483418
"Region1","COM_CWH_DSL_001",2024,0.002089271501
"Region1","COM_CWH_DSL_001",2025,0.001741059584
"Region1","COM_CWH_DSL_001",2026,0.001392847667
"Region1","COM_CWH_DSL_001",2027,0.00104463575
"Region1","COM_CWH_DSL_001",2028,0.0006964238337
"Region1","COM_CWH_DSL_001",2029,0.0003482119168
"Region1","COM_CWH_KER_001",2018,0.0002968769451
"Region1","COM_CWH_KER_001",2019,0.0002721371997
"Region1","COM_CWH_KER_001",2020,0.0002473974542
"Region1","COM_CWH_KER_001",2021,0.0002226577088
"Region1","COM_CWH_KER_001",2022,0.0001979179634
"Region1","COM_CWH_KER_001",2023,0.000173178218
"Region1","COM_CWH_KER_001",2024,0.0001484384725
"Region1","COM_CWH_KER_001",2025,0.0001236987271
"Region1","COM_CWH_KER_001",2026,9.89589817e-05
"Region1","COM_CWH_KER_001",2027,7.42192363e-05
"Region1","COM_CWH_KER_001",2028,4.94794908e-05
"Region1","COM_CWH_KER_001",2029,2.47397454e-05
"Region1","COM_CWH_LPG_001",2018,0.001095475927
"Region1","COM_CWH_LPG_001",2019,0.001004186267
"Region1","COM_CWH_LPG_001",2020,0.0009128966061
"Region1","COM_CWH_LPG_001",2021,0.0008216069455
"Region1","COM_CWH_LPG_001",2022,0.0007303172849
"Region1","COM_CWH_LPG_001",2023,0.0006390276243
"Region1","COM_CWH_LPG_001",2024,0.0005477379637
"Region1","COM_CWH_LPG_001",2025,0.0004564483031
"Region1","COM_CWH_LPG_001",2026,0.0003651586424
"Region1","COM_CWH_LPG_001",2027,0.0002738689818
"Region1","COM_CWH_LPG_001",2028,0.0001825793212
"Region1","COM_CWH_LPG_001",2029,9.12896606e-05
"Region1","COM_CWH_NGS_001",2018,0.001217195475
"Region1","COM_CWH_NGS_001",2019,0.001115762519
"Region1","COM_CWH_NGS_001",2020,0.001014329562
"Region1","COM_CWH_NGS_001",2021,0.0009128966061
"Region1","COM_CWH_NGS_001",2022,0.0008114636499
"Region1","COM_CWH_NGS_001",2023,0.0007100306936
"Region1","COM_CWH_NGS_001",2024,0.0006085977374
"Region1","COM_CWH_NGS_001",2025,0.0005071647812
"Region1","COM_CWH_NGS_001",2026,0.0004057318249
"Region1","COM_CWH_NGS_001",2027,0.0003042988687
"Region1","COM_CWH_NGS_001",2028,0.0002028659125
"Region1","COM_CWH_NGS_001",2029,0.0001014329562
"Region1","COM_EL_APP_001",2018,0.024654
"Region1","COM_EL_APP_001",2019,0.026715
"Region1","COM_EL_APP_001",2020,0.028949
"Region1","COM_EL_APP_001",2021,0.03137
"Region1","COM_EL_APP_001",2022,0.033993
"Region1","COM_EL_APP_001",2023,0.036836
"Region1","COM_EL_APP_001",2024,0.039916
"Region1","COM_EL_APP_001",2025,0.043255
"Region1","COM_EL_APP_001",2026,0.046872
"Region1","COM_EL_APP_001",2027,0.050791
"Region1","COM_EL_APP_001",2028,0.055039
"Region1","COM_EL_APP_001",2029,0.059641
"Region1","COM_EL_APP_001",2030,0.064629
"Region1","COM_EL_APP_001",2031,0.070033
"Region1","COM_EL_APP_001",2032,0.07589
"Region1","COM_EL_APP_001",2033,0.082236
"Region1","COM_EL_APP_001",2034,0.089113
"Region1","COM_EL_APP_001",2035,0.096565
"Region1","IMP_DSL",2018,28000.2713266611
"Region1","IMP_DSL",2019,27152.306708238
"Region1","IMP_DSL",2020,24869.3550570417
"Region1","IMP_DSL",2021,24603.0514076748
"Region1","IMP_DSL",2022,24389.5297385284
"Region1","IMP_DSL",2023,24118.222818374
"Region1","IMP_DSL",2024,24336.9985225714
"Region1","IMP_DSL",2025,24479.757679125
"Region1","IMP_DSL",2026,24088.1641430971
"Region1","IMP_DSL",2027,23449.9709764446
"Region1","IMP_DSL",2028,23074.9430828683
"Region1","IMP_DSL",2029,21947.6140228173
"Region1","IMP_DSL",2030,20955.3080529445
"Region1","IMP_DSL",2031,20208.5487489423
"Region1","IMP_DSL",2032,19608.1604320489
"Region1","IMP_DSL",2033,19268.5475964548
"Region1","IMP_DSL",2034,18310.4727305305
"Region1","IMP_DSL",2035,18077.9330044742
"Region1","IMP_GSL",2018,16136.2992048844
"Region1","IMP_GSL",2019,15996.7933630682
"Region1","IMP_GSL",2020,15187.7540199018
"Region1","IMP_GSL",2021,15289.5909350809
"Region1","IMP_GSL",2022,15378.7691227143
"Region1","IMP_GSL",2023,15235.6097514135
"Region1","IMP_GSL",2024,14907.0073288844
"Region1","IMP_GSL",2025,12431.1618069417
"Region1","IMP_GSL",2026,12431.1618069417
"Region1","IMP_GSL",2027,12323.5646053344
"Region1","IMP_GSL",2028,12128.9123056929
"Region1","IMP_GSL",2029,11385.7444388506
"Region1","IMP_GSL",2030,10512.655647361
"Region1","IMP_GSL",2031,9831.0452351977
"Region1","IMP_GSL",2032,8579.94054850391
"Region1","IMP_GSL",2033,3428.99380486106
"Region1","IMP_GSL",2034,2227.79634389128
"Region1","IMP_GSL",2035,1009.21135729505
"Region1","IMP_KER",2018,3184.68385223508
"Region1","IMP_KER",2019,3236.31584082971
"Region1","IMP_KER",2020,3296.46950489921
"Region1","IMP_KER",2021,3350.50794582933
"Region1","IMP_KER",2022,3419.32277628899
"Region1","IMP_KER",2023,3501.28057842233
"Region1","IMP_KER",2024,3690.55863189453
"Region1","IMP_KER",2025,3737.4199614627
"Region1","IMP_KER",2026,3894.71421744954
"Region1","IMP_KER",2027,3949.06383372038
"Region1","IMP_KER",2028,4193.60740287256
"Region1","IMP_KER",2029,4464.83265362265
"Region1","IMP_KER",2030,4453.09355079224
"Region1","IMP_KER",2031,4731.5130785472
"Region1","IMP_KER",2032,4992.7638984959
"Region1","IMP_KER",2033,5302.30333306867
"Region1","IMP_KER",2034,5632.43677872823
"Region1","IMP_KER",2035,5984.50368431915
"Region1","IMP_LPG",2018,5488.968607329
"Region1","IMP_LPG",2019,5031.5545552945
"Region1","IMP_LPG",2020,4574.14050615775
"Region1","IMP_LPG",2021,4116.72645402275
"Region1","IMP_LPG",2022,3659.31240493625
"Region1","IMP_LPG",2023,3201.8983527845
"Region1","IMP_LPG",2024,2744.484303698
"Region1","IMP_LPG",2025,2287.07025308725
"Region1","IMP_LPG",2026,1829.65620245975
"Region1","IMP_LPG",2027,1372.242151849
"Region1","IMP_LPG",2028,914.8281012215
"Region1","IMP_LPG",2029,457.41405061075
"Region1","IMP_OIL",2018,889.294749096
"Region1","IMP_OIL",2019,873.778027050255
"Region1","IMP_OIL",2020,855.49402932353
"Region1","IMP_OIL",2021,834.24192291974
"Region1","IMP_OIL",2023,781.970338166368
"Region1","IMP_OIL",2024,750.487553924922
"Region1","IMP_OIL",2025,715.10868923722
"Region1","IMP_OIL",2026,675.567188066979
"Region1","IMP_OIL",2027,631.58118609417
"Region1","IMP_OIL",2028,582.852703516451
"Region1","IMP_OIL",2029,529.066797393533
"Region1","IMP_OIL",2030,469.890671573927
"Region1","IMP_OIL",2031,489.947661294189
"Region1","IMP_OIL",2032,510.035515407252
"Region1","IMP_OIL",2033,530.946971538949
"Region1","IMP_OIL",2034,552.715797372046
"Region1","IMP_OIL",2035,575.377145064299
"Region1","IND_BIO_AUTOPRD",2018,0.00581680499690001
"Region1","IND_BIO_AUTOPRD",2019,0.00663908669
"Region1","IND_BIO_AUTOPRD",2020,0.007279156855
"Region1","IND_BIO_AUTOPRD",2021,0.00796850011500001
"Region1","IND_BIO_AUTOPRD",2022,0.00871054544
"Region1","IND_BIO_AUTOPRD",2023,0.00950894708
"Region1","IND_BIO_AUTOPRD",2024,0.01036759881
"Region1","IND_BIO_AUTOPRD",2025,0.011290649085
"Region1","IND_BIO_AUTOPRD",2026,0.012282517095
"Region1","IND_BIO_AUTOPRD",2027,0.013347909835
"Region1","IND_BIO_AUTOPRD",2028,0.0144918402
"Region1","IND_BIO_AUTOPRD",2029,0.01571964621
"Region1","IND_BIO_AUTOPRD",2030,0.0220310588654815
"Region1","IND_BIO_AUTOPRD",2031,0.018449986525
"Region1","IND_BIO_AUTOPRD",2032,0.019965012405
"Region1","IND_BIO_AUTOPRD",2033,0.02158894443
"Region1","IND_BIO_AUTOPRD",2034,0.0231236578255213
"Region1","IND_BIO_AUTOPRD",2035,0.02519317776
"Region1","IND_CHEM_BIO_001",2018,0.005007280215
"Region1","IND_CHEM_BIO_001",2019,0.004590006864
"Region1","IND_CHEM_BIO_001",2020,0.004172733513
"Region1","IND_CHEM_BIO_001",2021,0.003755460161
"Region1","IND_CHEM_BIO_001",2022,0.00333818681
"Region1","IND_CHEM_BIO_001",2023,0.002920913459
"Region1","IND_CHEM_BIO_001",2024,0.01667852392
"Region1","IND_CHEM_BIO_001",2025,0.01756409926
"Region1","IND_CHEM_BIO_001",2026,0.00401910871199456
"Region1","IND_CHEM_BIO_001",2027,0.001251820054
"Region1","IND_CHEM_BIO_001",2028,0.0008345467025
"Region1","IND_CHEM_BIO_001",2029,0.0004172733513
"Region1","IND_CHEM_COA_001",2018,0.02281094321
"Region1","IND_CHEM_COA_001",2019,0.025464322144
"Region1","IND_CHEM_COA_001",2020,0.028211813401
"Region1","IND_CHEM_COA_001",2021,0.031058414029
"Region1","IND_CHEM_COA_001",2022,0.034009386411
"Region1","IND_CHEM_COA_001",2023,0.037070272335
"Region1","IND_CHEM_COA_001",2024,0.026072024062
"Region1","IND_CHEM_COA_001",2025,0.028067706419
"Region1","IND_CHEM_COA_001",2026,0.0446223224700054
