REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,0.0274188543862404
"Region1","BIO_RESPRD",2019,0.0288348983380491
"Region1","BIO_RESPRD",2020,0.0525089302445758
"Region1","BIO_RESPRD",2021,0.0564629320968028
"Region1","BIO_RESPRD",2022,0.0592163885522355
"Region1","BIO_RESPRD",2023,0.0632542039932481
"Region1","BIO_RESPRD",2024,0.0660484676564634
"Region1","BIO_RESPRD",2025,0.0699527432519857
"Region1","BIO_RESPRD",2026,0.0702745721419894
"Region1","BIO_RESPRD",2027,0.0704962366665231
"Region1","BIO_RESPRD",2028,0.0704962366665231
"Region1","BIO_RESPRD",2029,0.0704962366665231
"Region1","BIO_RESPRD",2030,0.0704962366665231
"Region1","BIO_RESPRD",2031,0.0704962366665231
"Region1","BIO_RESPRD",2032,0.0704962366665231
"Region1","BIO_RESPRD",2033,0.0704962366665231
"Region1","BIO_RESPRD",2034,0.0704962366665231
"Region1","BIO_RESPRD",2035,0.0704962366665231
"Region1","BIO_RESPRD2",2018,3.55332963398163e-06
"Region1","BIO_RESPRD2",2019,0.00418797999719021
"Region1","BIO_RESPRD2",2020,0.013277102019436
"Region1","BIO_RESPRD2",2021,0.013268515042336
"Region1","BIO_RESPRD2",2022,0.0133476329939232
"Region1","BIO_RESPRD2",2023,0.0132206235030555
"Region1","BIO_RESPRD2",2024,0.0129290908845192
"Region1","BIO_RESPRD2",2025,0.0241482301580014
"Region1","BIO_RESPRD2",2026,0.0241482301580014
"Region1","BIO_RESPRD2",2027,0.0241482301580014
"Region1","BIO_RESPRD2",2028,0.0241482301580014
"Region1","BIO_RESPRD2",2029,0.0231650949189366
"Region1","BIO_RESPRD2",2030,0.0213706631595185
"Region1","BIO_RESPRD2",2031,0.0234757732029157
"Region1","BIO_RESPRD2",2032,0.0234037960007034
"Region1","BIO_RESPRD2",2033,0.0116755235859919
"Region1","BIO_RESPRD2",2034,0.0044470744237922
"Region1","BIO_RESPRD2",2035,0.0020145638660077
"Region1","BIODSL_PROD_001",2018,3564.59365395741
"Region1","BIODSL_PROD_001",2019,184.093077458231
"Region1","BIODSL_PROD_001",2020,3077.74725773877
"Region1","BIODSL_PROD_001",2021,514.040802421609
"Region1","BIODSL_PROD_001",2022,357.963657752565
"Region1","BIODSL_PROD_001",2023,524.937004811825
"Region1","BIODSL_PROD_001",2024,363.268806970272
"Region1","BIODSL_PROD_001",2025,507.576130463112
"Region1","BIODSL_PROD_001",2026,41.8394292776645
"Region1","BIODSL_PROD_001",2027,28.8175408910109
"Region1","BIOETH_PROD_001",2018,0.497386566906723
"Region1","BIOETH_PROD_001",2019,585.726017295105
"Region1","BIOETH_PROD_001",2020,1272.27351935131
"Region1","BIOETH_PROD_001",2022,9.87275678712872
"Region1","BIOETH_PROD_001",2025,1511.84170829762
"Region1","COM_CWH_BIO_001",2018,0.00432493596878199
"Region1","COM_CWH_BIO_001",2019,0.0140223846240029
"Region1","COM_CWH_BIO_001",2020,0.00897726571084954
"Region1","COM_CWH_BIO_001",2021,0.0114734817956329
"Region1","COM_CWH_BIO_001",2022,0.0156285685583507
"Region1","COM_CWH_BIO_001",2023,0.0168538831560901
"Region1","COM_CWH_BIO_001",2024,0.0197596137929035
"Region1","COM_CWH_BIO_001",2025,0.0228248822494029
"Region1","COM_CWH_BIO_001",2026,0.0260628032309792
"Region1","COM_CWH_BIO_001",2027,0.0294875695551007
"Region1","COM_CWH_BIO_001",2028,0.0331145407059024
"Region1","COM_CWH_BIO_001",2029,0.036960338828045
"Region1","COM_CWH_BIO_001",2030,0.0510598020373515
"Region1","COM_CWH_BIO_001",2031,0.035957969216959
"Region1","COM_CWH_BIO_001",2032,0.0845410593459346
"Region1","COM_CWH_BIO_001",2033,0.0379041049720323
"Region1","COM_CWH_BIO_001",2034,0.0624183493285417
"Region1","COM_CWH_BIO_001",2035,0.075792390237691
"Region1","COM_CWH_DSL_001",2018,0.00519396271224363
"Region1","COM_CWH_DSL_001",2019,0.00205084735963078
"Region1","COM_CWH_DSL_001",2020,0.0031452059739949
"Region1","COM_CWH_KER_001",2018,0.000514728957253641
"Region1","COM_CWH_LPG_001",2018,0.00151131819396752
"Region1","COM_CWH_LPG_001",2019,0.000824650603627158
"Region1","COM_CWH_NGS_001",2018,0.00199835080446561
"Region1","COM_CWH_NGS_001",2019,0.00269703291999033
"Region1","COM_CWH_NGS_001",2020,0.00140081419969617
"Region1","COM_CWH_NGS_001",2021,0.00149876310310294
"Region1","COM_CWH_NGS_001",2022,0.00153482816323057
"Region1","COM_CWH_NGS_001",2023,0.00106515255565557
"Region1","COM_CWH_NGS_001",2024,0.000756491904785581
"Region1","COM_CWH_NGS_001",2025,0.00183888608121827
"Region1","COM_CWH_NGS_001",2026,0.000608658603210321
"Region1","COM_CWH_NGS_001",2027,0.000575560561187819
"Region1","COM_CWH_NGS_001",2028,0.000608658603360336
"Region1","COM_CWH_NGS_001",2029,0.000126081984089497
"Region1","COM_EL_APP_001",2018,0.0524818709209572
"Region1","COM_EL_APP_001",2021,0.00914430746918056
"Region1","COM_EL_APP_001",2023,0.108022117476432
"Region1","COM_EL_APP_001",2031,0.17506345177665
"Region1","IMP_DSL",2018,0.197998828644423
"Region1","IMP_DSL",2019,0.181716607180719
"Region1","IMP_DSL",2020,0.174826642775465
"Region1","IMP_DSL",2021,0.173919363981835
"Region1","IMP_DSL",2022,0.139954433753319
"Region1","IMP_DSL",2023,0.161276219077674
