REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,597.138303952054
"Region1","BIODSL_PROD_001",2019,32.3438409678623
"Region1","BIODSL_PROD_001",2020,564.030949310842
"Region1","BIODSL_PROD_001",2021,97.8057578666885
"Region1","BIODSL_PROD_001",2022,70.4318191682789
"Region1","BIODSL_PROD_001",2023,106.438695137676
"Region1","BIODSL_PROD_001",2024,75.6788758454713
"Region1","BIODSL_PROD_001",2025,108.356441027491
"Region1","BIODSL_PROD_001",2026,9.13134633040194
"Region1","BIODSL_PROD_001",2027,6.41660894346197
"Region1","BIOETH_PROD_001",2018,0.0833218593209008
"Region1","BIOETH_PROD_001",2019,102.907884509838
"Region1","BIOETH_PROD_001",2020,233.158079858054
"Region1","BIOETH_PROD_001",2022,1.9425330076499
"Region1","BIOETH_PROD_001",2025,322.745253522039
"Region1","COM_CWH_DSL_001",2018,0.000870089100152011
"Region1","COM_CWH_DSL_001",2019,0.000360319256786331
"Region1","COM_CWH_DSL_001",2020,0.000576393499118518
"Region1","COM_CWH_KER_001",2018,8.62270447539547e-05
"Region1","COM_CWH_LPG_001",2018,0.00025317499571816
"Region1","COM_CWH_LPG_001",2019,0.00014488523059114
"Region1","COM_EL_APP_001",2031,0.0260680095565292
"Region1","IND_CHEM_BIO_001",2018,0.00221539388747244
"Region1","IND_CHEM_BIO_001",2021,3.30774428484534e-05
"Region1","IND_CHEM_BIO_001",2022,0.00969079120279935
"Region1","IND_CHEM_BIO_001",2025,0.000645620089470313
"Region1","IND_CHEM_COA_001",2018,0.0128978134176987
"Region1","IND_CHEM_COA_001",2019,0.0011148566239679
"Region1","IND_CHEM_COA_001",2022,0.0244289857088466
"Region1","IND_CHEM_COA_001",2027,0.0574294924481258
"Region1","IND_CHEM_DSL_001",2018,0.00150976894618075
"Region1","IND_CHEM_DSL_001",2022,0.000446447980575933
"Region1","IND_CHEM_ELC_001",2018,0.00327938054846377
"Region1","IND_CHEM_ELC_001",2023,0.000187463592301412
"Region1","IND_CHEM_ELC_001",2025,0.000696578659683349
"Region1","IND_CHEM_ELC_001",2029,0.00017790200391197
"Region1","IND_CHEM_ELC_001",2030,0.0031994805948071
"Region1","IND_CHEM_NGS_001",2018,0.00855577450720308
"Region1","IND_CHEM_NGS_001",2019,0.00116636010718586
"Region1","IND_CHEM_NGS_001",2023,0.00193677905956246
"Region1","IND_CHEM_NGS_001",2028,0.000135720990292731
"Region1","IND_CHEM_NGS_001",2029,0.00018970573026652
"Region1","IND_CHEM_NGS_001",2030,0.00477605456884838
"Region1","IND_CHEM_NGS_001",2033,0.000175982874868078
"Region1","IND_CMNT_COA_001",2018,0.034976254256794
"Region1","IND_CMNT_COA_001",2021,0.0145170213870556
"Region1","IND_CMNT_COA_001",2024,0.0482092606215517
"Region1","IND_CMNT_COA_001",2034,0.0110204982743119
"Region1","IND_CMNT_DSL_001",2018,0.000365278678196737
"Region1","IND_CMNT_DSL_001",2021,0.000101616145925156
"Region1","IND_CMNT_ELC_001",2018,0.000664114995925882
"Region1","IND_CMNT_ELC_001",2021,8.64272956427568e-05
"Region1","IND_CMNT_ELC_001",2022,9.11940162411579e-05
"Region1","IND_CMNT_ELC_001",2025,3.31966466167134e-05
"Region1","IND_CMNT_ELC_001",2028,0.000100518389879728
"Region1","IND_CMNT_ELC_001",2031,0.000130555731434356
"Region1","IND_CMNT_ELC_001",2034,0.000676462173880877
"Region1","IND_CMNT_NGS_001",2018,0.0037659511435239
"Region1","IND_CMNT_NGS_001",2019,0.01467569507958
"Region1","IND_CMNT_NGS_001",2026,0.00108955667413726
"Region1","IND_FOOD_BIO_001",2018,0.00394617612407063
"Region1","IND_FOOD_BIO_001",2024,0.00266018398153927
"Region1","IND_FOOD_BIO_001",2027,0.00353530706051833
"Region1","IND_FOOD_COA_001",2018,0.0125684907401408
"Region1","IND_FOOD_COA_001",2022,0.0195662842955563
"Region1","IND_FOOD_COA_001",2024,0.0269687915174642
"Region1","IND_FOOD_COA_001",2035,0.0607121424316242
"Region1","IND_FOOD_DSL_001",2018,0.00279824903389555
"Region1","IND_FOOD_DSL_001",2019,8.27514258664757e-05
"Region1","IND_FOOD_DSL_001",2023,0.00148306165599558
"Region1","IND_FOOD_ELC_001",2018,0.00178766290879647
"Region1","IND_FOOD_ELC_001",2023,6.85127871822751e-05
"Region1","IND_FOOD_ELC_001",2024,0.00068910117170584
"Region1","IND_FOOD_ELC_001",2025,0.00213337943295137
"Region1","IND_FOOD_ELC_001",2034,7.29391662671303e-05
"Region1","IND_FOOD_NGS_001",2018,0.00136087027578706
"Region1","IND_FOOD_NGS_001",2019,0.000493412992713493
"Region1","IND_FOOD_NGS_001",2022,0.000306500953933257
"Region1","IND_FOOD_NGS_001",2025,0.000721664091350651
"Region1","IND_FOOD_NGS_001",2030,0.00916673859953573
"Region1","IND_OTH_COA_001",2018,0.0125990980996119
"Region1","IND_OTH_COA_001",2019,0.00430659565837424
"Region1","IND_OTH_COA_001",2020,0.00204184797610469
"Region1","IND_OTH_COA_001",2024,0.0246774622289006
"Region1","IND_OTH_COA_001",2035,0.0307576562019709
"Region1","IND_OTH_DSL_001",2018,0.00346099760368783
"Region1","IND_OTH_DSL_001",2022,0.000281903603922834
"Region1","IND_OTH_ELC_001",2018,0.00552019118299378
"Region1","IND_OTH_ELC_001",2020,0.000512535977193107
"Region1","IND_OTH_ELC_001",2022,0.00139440402272764
"Region1","IND_OTH_ELC_001",2025,0.00132063442974742
"Region1","IND_OTH_ELC_001",2026,0.0110805472263836
"Region1","IND_OTH_LPG_001",2018,0.000124068622070914
"Region1","IND_OTH_LPG_001",2021,4.21503073436888e-05
"Region1","IND_OTH_NGS_001",2018,0.0071223706663088
"Region1","IND_OTH_NGS_001",2019,0.00490810292311062
"Region1","IND_OTH_NGS_001",2021,0.000723974190236096
"Region1","IND_OTH_NGS_001",2023,0.000790652866751023
"Region1","IND_OTH_NGS_001",2029,0.00297369841819262
"Region1","IND_OTH_NGS_001",2033,0.0184474490660476
"Region1","IND_TEXT_COA_001",2018,0.0154805923741763
"Region1","IND_TEXT_COA_001",2019,0.0454849865110113
"Region1","IND_TEXT_COA_001",2027,0.0281872270593626
"Region1","IND_TEXT_DSL_001",2018,0.00106560550683013
"Region1","IND_TEXT_ELC_001",2018,0.00475882587874329
"Region1","IND_TEXT_ELC_001",2028,0.000118210893661887
