REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,274.188543862404
"Region1","BIO_RESPRD",2019,288.348983380491
"Region1","BIO_RESPRD",2020,525.089302445758
"Region1","BIO_RESPRD",2021,564.629320968028
"Region1","BIO_RESPRD",2022,592.163885522355
"Region1","BIO_RESPRD",2023,632.542039932481
"Region1","BIO_RESPRD",2024,660.484676564634
"Region1","BIO_RESPRD",2025,699.527432519856
"Region1","BIO_RESPRD",2026,702.745721419894
"Region1","BIO_RESPRD",2027,704.962366665231
"Region1","BIO_RESPRD",2028,704.962366665231
"Region1","BIO_RESPRD",2029,704.962366665231
"Region1","BIO_RESPRD",2030,704.962366665231
"Region1","BIO_RESPRD",2031,704.962366665231
"Region1","BIO_RESPRD",2032,704.962366665231
"Region1","BIO_RESPRD",2033,704.962366665231
"Region1","BIO_RESPRD",2034,704.962366665231
"Region1","BIO_RESPRD",2035,704.962366665231
"Region1","BIO_RESPRD2",2018,0.0355332963398163
"Region1","BIO_RESPRD2",2019,41.8797999719021
"Region1","BIO_RESPRD2",2020,132.77102019436
"Region1","BIO_RESPRD2",2021,132.68515042336
"Region1","BIO_RESPRD2",2022,133.476329939232
"Region1","BIO_RESPRD2",2023,132.206235030555
"Region1","BIO_RESPRD2",2024,129.290908845192
"Region1","BIO_RESPRD2",2025,241.482301580014
"Region1","BIO_RESPRD2",2026,241.482301580014
"Region1","BIO_RESPRD2",2027,241.482301580014
"Region1","BIO_RESPRD2",2028,241.482301580014
"Region1","BIO_RESPRD2",2029,231.650949189366
"Region1","BIO_RESPRD2",2030,213.706631595185
"Region1","BIO_RESPRD2",2031,234.757732029157
"Region1","BIO_RESPRD2",2032,234.037960007034
"Region1","BIO_RESPRD2",2033,116.755235859919
"Region1","BIO_RESPRD2",2034,44.4707442379219
"Region1","BIO_RESPRD2",2035,20.145638660077
"Region1","BIODSL_PROD_001",2018,142.583746158296
"Region1","BIODSL_PROD_001",2019,7.36372309832925
"Region1","BIODSL_PROD_001",2020,123.109890309551
"Region1","BIODSL_PROD_001",2021,20.5616320968644
"Region1","BIODSL_PROD_001",2022,14.3185463101026
"Region1","BIODSL_PROD_001",2023,20.997480192473
"Region1","BIODSL_PROD_001",2024,14.5307522788109
"Region1","BIODSL_PROD_001",2025,20.3030452185245
"Region1","BIODSL_PROD_001",2026,1.67357717110658
"Region1","BIODSL_PROD_001",2027,1.15270163564044
"Region1","BIOETH_PROD_001",2018,0.0198954626762689
"Region1","BIOETH_PROD_001",2019,23.4290406918042
"Region1","BIOETH_PROD_001",2020,50.8909407740524
"Region1","BIOETH_PROD_001",2022,0.394910271485149
"Region1","BIOETH_PROD_001",2025,60.4736683319048
"Region1","COM_CWH_BIO_001",2018,43.2493596878199
"Region1","COM_CWH_BIO_001",2019,140.223846240029
"Region1","COM_CWH_BIO_001",2020,89.7726571084954
"Region1","COM_CWH_BIO_001",2021,114.734817956329
"Region1","COM_CWH_BIO_001",2022,156.285685583507
"Region1","COM_CWH_BIO_001",2023,168.538831560901
"Region1","COM_CWH_BIO_001",2024,197.596137929034
"Region1","COM_CWH_BIO_001",2025,228.248822494029
"Region1","COM_CWH_BIO_001",2026,260.628032309792
"Region1","COM_CWH_BIO_001",2027,294.875695551007
"Region1","COM_CWH_BIO_001",2028,331.145407059024
"Region1","COM_CWH_BIO_001",2029,369.60338828045
"Region1","COM_CWH_BIO_001",2030,510.598020373515
"Region1","COM_CWH_BIO_001",2031,359.57969216959
"Region1","COM_CWH_BIO_001",2032,845.410593459346
"Region1","COM_CWH_BIO_001",2033,379.041049720323
"Region1","COM_CWH_BIO_001",2034,624.183493285417
"Region1","COM_CWH_BIO_001",2035,757.92390237691
"Region1","COM_CWH_DSL_001",2018,51.9396271224363
"Region1","COM_CWH_DSL_001",2019,20.5084735963078
"Region1","COM_CWH_DSL_001",2020,31.452059739949
"Region1","COM_CWH_KER_001",2018,5.14728957253641
"Region1","COM_CWH_LPG_001",2018,15.1131819396752
"Region1","COM_CWH_LPG_001",2019,8.24650603627158
"Region1","COM_CWH_NGS_001",2018,19.9835080446561
"Region1","COM_CWH_NGS_001",2019,26.9703291999033
"Region1","COM_CWH_NGS_001",2020,14.0081419969617
"Region1","COM_CWH_NGS_001",2021,14.9876310310294
"Region1","COM_CWH_NGS_001",2022,15.3482816323057
"Region1","COM_CWH_NGS_001",2023,10.6515255565557
"Region1","COM_CWH_NGS_001",2024,7.56491904785581
"Region1","COM_CWH_NGS_001",2025,18.3888608121827
"Region1","COM_CWH_NGS_001",2026,6.08658603210321
"Region1","COM_CWH_NGS_001",2027,5.75560561187819
"Region1","COM_CWH_NGS_001",2028,6.08658603360336
"Region1","COM_CWH_NGS_001",2029,1.26081984089497
"Region1","COM_EL_APP_001",2018,524.818709209572
"Region1","COM_EL_APP_001",2021,91.4430746918056
"Region1","COM_EL_APP_001",2023,1080.22117476432
"Region1","COM_EL_APP_001",2031,1750.6345177665
"Region1","IMP_DSL",2018,1979.98828644423
"Region1","IMP_DSL",2019,1817.16607180719
"Region1","IMP_DSL",2020,1748.26642775465
"Region1","IMP_DSL",2021,1739.19363981835
"Region1","IMP_DSL",2022,1399.54433753319
"Region1","IMP_DSL",2023,1612.76219077674
"Region1","IMP_DSL",2024,1751.10050478628
"Region1","IMP_DSL",2025,1732.98925918337
"Region1","IMP_DSL",2026,1558.71531468405
"Region1","IMP_DSL",2027,1650.06840518242
"Region1","IMP_DSL",2028,1590.92378600287
"Region1","IMP_DSL",2029,1486.8115679724
"Region1","IMP_DSL",2030,1439.12438965954
"Region1","IMP_DSL",2031,1362.5181138059
"Region1","IMP_DSL",2032,1358.38462278071
"Region1","IMP_DSL",2033,1237.0050720796
"Region1","IMP_DSL",2034,1212.40267630144
"Region1","IMP_DSL",2035,1348.97442990898
"Region1","IMP_GSL",2018,721.862614327349
"Region1","IMP_GSL",2019,767.349691193967
"Region1","IMP_GSL",2020,679.001919856795
"Region1","IMP_GSL",2021,683.554762945266
"Region1","IMP_GSL",2022,687.541669800162
"Region1","IMP_GSL",2023,681.141415501116
"Region1","IMP_GSL",2024,666.450522069838
"Region1","IMP_GSL",2025,555.762407127691
"Region1","IMP_GSL",2026,555.762407127691
"Region1","IMP_GSL",2027,555.762407127691
"Region1","IMP_GSL",2028,555.762407127691
"Region1","IMP_GSL",2029,533.743700765657
"Region1","IMP_GSL",2030,493.554859569283
"Region1","IMP_GSL",2031,535.672123533946
"Region1","IMP_GSL",2032,529.146722129416
"Region1","IMP_GSL",2033,261.489889943828
"Region1","IMP_GSL",2034,99.5985313279328
"Region1","IMP_GSL",2035,45.1190115567234
"Region1","IMP_KER",2018,189.640361079423
"Region1","IMP_KER",2019,193.818843106646
"Region1","IMP_KER",2020,192.172811220078
"Region1","IMP_KER",2021,260.201998637976
"Region1","IMP_KER",2022,237.140570915594
"Region1","IMP_KER",2023,322.698956534923
"Region1","IMP_KER",2024,385.430059157089
"Region1","IMP_KER",2025,361.830654412859
"Region1","IMP_KER",2026,292.65118080581
"Region1","IMP_KER",2027,316.053215332394
"Region1","IMP_KER",2028,221.107539139116
"Region1","IMP_KER",2029,312.180790929628
"Region1","IMP_KER",2030,347.818011395952
"Region1","IMP_KER",2031,409.927241154723
"Region1","IMP_KER",2032,295.055343865625
"Region1","IMP_KER",2033,271.890752965843
"Region1","IMP_KER",2034,478.222273334284
"Region1","IMP_KER",2035,449.497067627618
"Region1","IMP_LPG",2018,462.446366740085
"Region1","IMP_LPG",2019,472.902873162743
"Region1","IMP_LPG",2020,475.11287354913
"Region1","IMP_LPG",2021,419.267679414875
"Region1","IMP_LPG",2022,372.682381840669
"Region1","IMP_LPG",2023,326.097083954282
"Region1","IMP_LPG",2024,279.511786380075
"Region1","IMP_LPG",2025,232.926488650631
"Region1","IMP_LPG",2026,186.341190919481
"Region1","IMP_LPG",2027,139.755893190038
"Region1","IMP_LPG",2028,119.174251380035
"Region1","IMP_LPG",2029,46.5852977294439
"Region1","IMP_OIL",2018,140.385996535873
"Region1","IMP_OIL",2019,116.029716870048
"Region1","IMP_OIL",2020,113.601769480885
"Region1","IMP_OIL",2021,120.335387806051
"Region1","IMP_OIL",2023,103.838496882917
"Region1","IMP_OIL",2024,108.254222622972
"Region1","IMP_OIL",2025,79.7685045106661
"Region1","IMP_OIL",2026,106.646500522047
"Region1","IMP_OIL",2027,310.793040948631
"Region1","IMP_OIL",2028,203.203514083662
"Region1","IMP_OIL",2029,76.3153426967985
"Region1","IMP_OIL",2030,327.641735631956
"Region1","IMP_OIL",2031,54.6523805655664
"Region1","IMP_OIL",2032,73.5701717393737
"Region1","IMP_OIL",2033,51.0576991871253
"Region1","IMP_OIL",2034,100.521561844736
"Region1","IMP_OIL",2035,104.64294588037
"Region1","IND_BIO_AUTOPRD",2018,99.2290173473219
"Region1","IND_BIO_AUTOPRD",2019,77.0195671693736
"Region1","IND_BIO_AUTOPRD",2020,124.17531311839
"Region1","IND_BIO_AUTOPRD",2021,135.934836489253
"Region1","IND_BIO_AUTOPRD",2022,87.1141658165817
"Region1","IND_BIO_AUTOPRD",2023,162.213358580689
"Region1","IND_BIO_AUTOPRD",2024,176.861119242579
"Region1","IND_BIO_AUTOPRD",2025,192.607456243603
"Region1","IND_BIO_AUTOPRD",2026,209.527756653019
"Region1","IND_BIO_AUTOPRD",2027,227.702317212555
"Region1","IND_BIO_AUTOPRD",2028,247.216653019447
"Region1","IND_BIO_AUTOPRD",2029,268.161825486182
"Region1","IND_BIO_AUTOPRD",2030,255.58072929793
"Region1","IND_BIO_AUTOPRD",2031,254.798874810109
"Region1","IND_BIO_AUTOPRD",2032,377.624596273879
"Region1","IND_BIO_AUTOPRD",2033,408.340163230566
"Region1","IND_BIO_AUTOPRD",2034,319.343430817861
"Region1","IND_BIO_AUTOPRD",2035,476.511779080764
"Region1","IND_CHEM_BIO_001",2018,94.7092909967846
"Region1","IND_CHEM_BIO_001",2021,1.38743779031882
"Region1","IND_CHEM_BIO_001",2022,404.309029388714
"Region1","IND_CHEM_BIO_001",2025,26.5699171917192
"Region1","IND_CHEM_COA_001",2018,551.388523326082
"Region1","IND_CHEM_COA_001",2019,47.3341719413209
"Region1","IND_CHEM_COA_001",2022,1019.2005269953
"Region1","IND_CHEM_COA_001",2027,2345.9510948993
"Region1","IND_CHEM_DSL_001",2018,64.5434418097448
"Region1","IND_CHEM_DSL_001",2022,18.6262345273796
"Region1","IND_CHEM_ELC_001",2018,140.195298186005
"Region1","IND_CHEM_ELC_001",2023,7.78264489763516
"Region1","IND_CHEM_ELC_001",2025,28.6670715598238
"Region1","IND_CHEM_ELC_001",2029,7.22129848307325
"Region1","IND_CHEM_ELC_001",2030,129.507686872949
"Region1","IND_CHEM_NGS_001",2018,365.764003452252
"Region1","IND_CHEM_NGS_001",2019,49.520887863176
"Region1","IND_CHEM_NGS_001",2023,80.4063524052976
"Region1","IND_CHEM_NGS_001",2028,5.52587667484072
"Region1","IND_CHEM_NGS_001",2029,7.70042873087477
"Region1","IND_CHEM_NGS_001",2030,193.323810306724
"Region1","IND_CHEM_NGS_001",2033,7.07232531580833
"Region1","IND_CMNT_COA_001",2018,1495.25385129755
"Region1","IND_CMNT_COA_001",2021,608.91841511289
"Region1","IND_CMNT_COA_001",2024,1992.34722300917
"Region1","IND_CMNT_COA_001",2034,441.983514265125
"Region1","IND_CMNT_DSL_001",2018,15.615861731805
"Region1","IND_CMNT_DSL_001",2021,4.26230291165644
"Region1","IND_CMNT_ELC_001",2018,28.3912764949593
"Region1","IND_CMNT_ELC_001",2021,3.62520454314455
"Region1","IND_CMNT_ELC_001",2022,3.80470112511252
"Region1","IND_CMNT_ELC_001",2025,1.36617829282928
"Region1","IND_CMNT_ELC_001",2028,4.09260369255265
"Region1","IND_CMNT_ELC_001",2031,5.27092587540415
"Region1","IND_CMNT_ELC_001",2034,27.1299102306665
"Region1","IND_CMNT_NGS_001",2018,160.996455189559
"Region1","IND_CMNT_NGS_001",2019,623.095256664361
"Region1","IND_CMNT_NGS_001",2026,44.6666415750419
"Region1","IND_FOOD_BIO_001",2018,168.701170917092
"Region1","IND_FOOD_BIO_001",2024,109.93759497618
"Region1","IND_FOOD_BIO_001",2027,144.414605037988
"Region1","IND_FOOD_COA_001",2018,537.309800135121
"Region1","IND_FOOD_COA_001",2022,816.323997363066
"Region1","IND_FOOD_COA_001",2024,1114.54098642021
"Region1","IND_FOOD_COA_001",2035,2430.3047263682
"Region1","IND_FOOD_DSL_001",2018,119.6266648253
"Region1","IND_FOOD_DSL_001",2019,3.51342956228067
"Region1","IND_FOOD_DSL_001",2023,61.5700472193791
"Region1","IND_FOOD_ELC_001",2018,76.4235595262601
"Region1","IND_FOOD_ELC_001",2023,2.8443426643056
"Region1","IND_FOOD_ELC_001",2024,28.4785285673254
"Region1","IND_FOOD_ELC_001",2025,87.7973219800823
"Region1","IND_FOOD_ELC_001",2034,2.92526782654276
"Region1","IND_FOOD_NGS_001",2018,58.1779428422274
"Region1","IND_FOOD_NGS_001",2019,20.949147121769
"Region1","IND_FOOD_NGS_001",2022,12.7875114217375
"Region1","IND_FOOD_NGS_001",2025,29.6994400579379
"Region1","IND_FOOD_NGS_001",2030,371.048699004977
"Region1","IND_OTH_BIO",2018,198.458034694644
"Region1","IND_OTH_BIO",2019,154.039134338747
"Region1","IND_OTH_BIO",2020,248.350626236779
"Region1","IND_OTH_BIO",2021,271.869672978506
"Region1","IND_OTH_BIO",2022,174.228331633163
"Region1","IND_OTH_BIO",2023,324.426717161378
"Region1","IND_OTH_BIO",2024,353.722238485159
"Region1","IND_OTH_BIO",2025,385.214912487206
"Region1","IND_OTH_BIO",2026,419.055513306039
"Region1","IND_OTH_BIO",2027,455.404634425111
"Region1","IND_OTH_BIO",2028,494.433306038895
"Region1","IND_OTH_BIO",2029,536.323650972364
"Region1","IND_OTH_BIO",2030,511.16145859586
"Region1","IND_OTH_BIO",2031,509.597749620218
"Region1","IND_OTH_BIO",2032,755.249192547759
"Region1","IND_OTH_BIO",2033,816.680326461131
"Region1","IND_OTH_BIO",2034,638.686861635722
"Region1","IND_OTH_BIO",2035,953.023558161528
"Region1","IND_OTH_COA_001",2018,538.618281363307
"Region1","IND_OTH_COA_001",2019,182.847852354064
"Region1","IND_OTH_COA_001",2020,86.145513259833
"Region1","IND_OTH_COA_001",2024,1019.84707313027
"Region1","IND_OTH_COA_001",2035,1231.22779473388
"Region1","IND_OTH_DSL_001",2018,147.959525861481
"Region1","IND_OTH_DSL_001",2022,11.7612865758884
"Region1","IND_OTH_ELC_001",2018,235.991168913319
"Region1","IND_OTH_ELC_001",2020,21.6238796110874
"Region1","IND_OTH_ELC_001",2022,58.1758625489607
"Region1","IND_OTH_ELC_001",2025,54.3495284784439
"Region1","IND_OTH_ELC_001",2026,454.249735846096
"Region1","IND_OTH_LPG_001",2018,5.30400092630502
"Region1","IND_OTH_LPG_001",2021,1.76800031218014
"Region1","IND_OTH_NGS_001",2018,304.485211337297
"Region1","IND_OTH_NGS_001",2019,208.386426266512
"Region1","IND_OTH_NGS_001",2021,30.3671948085911
"Region1","IND_OTH_NGS_001",2023,32.8243496439927
"Region1","IND_OTH_NGS_001",2029,120.706700341822
"Region1","IND_OTH_NGS_001",2033,741.35827784206
"Region1","IND_TEXT_COA_001",2018,661.803725404883
"Region1","IND_TEXT_COA_001",2019,1931.18480526952
"Region1","IND_TEXT_COA_001",2027,1151.42679071761
"Region1","IND_TEXT_DSL_001",2018,45.5552137273857
"Region1","IND_TEXT_ELC_001",2018,203.442388959166
"Region1","IND_TEXT_ELC_001",2028,4.81295353496461
"Region1","IND_TEXT_ELC_001",2032,7.8773788842847
"Region1","IND_TEXT_ELC_001",2034,115.731183671708
"Region1","IND_TEXT_ELC_001",2035,59.7777929549705
"Region1","IND_TEXT_NGS_001",2018,49.0037588709678
"Region1","IND_TEXT_NGS_001",2020,8.64236441001698
"Region1","IND_TEXT_NGS_001",2022,42.0870372050639
"Region1","IND_TEXT_NGS_001",2030,28.6369651665166
"Region1","IND_TEXT_NGS_001",2031,52.130889539603
"Region1","MIN_BIO",2018,3197.22258330117
"Region1","MIN_BIO",2019,2510.51765578304
"Region1","MIN_BIO",2020,4083.26059787209
"Region1","MIN_BIO",2021,4681.05422658804
"Region1","MIN_BIO",2022,3508.11230912612
"Region1","MIN_BIO",2023,5502.46731926444
"Region1","MIN_BIO",2024,5180.34438033811
"Region1","MIN_BIO",2025,5226.35774854568
"Region1","MIN_BIO",2026,5137.23015210543
"Region1","MIN_BIO",2027,5089.39592860255
"Region1","MIN_BIO",2028,5862.7615888202
"Region1","MIN_BIO",2029,5817.54664802441
"Region1","MIN_BIO",2030,4038.31235848019
"Region1","MIN_BIO",2031,4674.38886110403
"Region1","MIN_BIO",2032,6317.12031581349
"Region1","MIN_BIO",2033,6121.73811965194
"Region1","MIN_BIO",2034,8702.00874895661
"Region1","MIN_BIO",2035,4421.39044406562
"Region1","MIN_COA",2018,5622.66487451316
"Region1","MIN_COA",2019,5076.79707817202
"Region1","MIN_COA",2020,5642.8426547283
"Region1","MIN_COA",2021,5583.0094082891
"Region1","MIN_COA",2022,8994.74350442941
"Region1","MIN_COA",2023,7188.17139304716
"Region1","MIN_COA",2024,6435.26231864771
"Region1","MIN_COA",2025,6880.87978522308
"Region1","MIN_COA",2026,8586.69777284244
"Region1","MIN_COA",2027,7571.02564339684
"Region1","MIN_COA",2028,8830.65920227888
"Region1","MIN_COA",2029,11197.9390138344
"Region1","MIN_COA",2030,9271.7439227931
"Region1","MIN_COA",2031,12143.0562558684
"Region1","MIN_COA",2032,13025.9797219855
"Region1","MIN_COA",2033,11271.8460683129
"Region1","MIN_COA",2034,16232.7956534373
"Region1","MIN_COA",2035,17347.0093723686
"Region1","MIN_GEO",2018,347.96898890568
"Region1","MIN_GEO",2019,410.740915824
"Region1","MIN_GEO",2020,400.0259354112
"Region1","MIN_GEO",2021,387.5251249296
"Region1","MIN_GEO",2022,376.8101445168
"Region1","MIN_GEO",2023,537.600674789441
"Region1","MIN_GEO",2024,941.1324462576
"Region1","MIN_GEO",2025,1285.797649536
"Region1","MIN_GEO",2026,1275.0826691232
"Region1","MIN_GEO",2027,1262.5818586416
"Region1","MIN_GEO",2028,1396.72772438713
"Region1","MIN_GEO",2029,1741.39292766553
"Region1","MIN_GEO",2030,2008.72019426087
"Region1","MIN_GEO",2031,2308.6264458547
"Region1","MIN_GEO",2032,2632.34828154527
"Region1","MIN_GEO",2033,2678.7451032
"Region1","MIN_GEO",2034,2678.7451032
"Region1","MIN_GEO",2035,2678.7451032
"Region1","MIN_HYD",2018,66.135533184
"Region1","MIN_HYD",2019,64.84810752
"Region1","MIN_HYD",2020,63.53684064
"Region1","MIN_HYD",2021,62.22557376
"Region1","MIN_HYD",2022,60.7951008
"Region1","MIN_HYD",2023,59.48383392
"Region1","MIN_HYD",2024,82.2521952
"Region1","MIN_HYD",2025,80.94092832
"Region1","MIN_HYD",2026,79.62966144
"Region1","MIN_HYD",2027,78.31839456
"Region1","MIN_HYD",2028,77.00712768
"Region1","MIN_HYD",2029,75.6958608
"Region1","MIN_HYD",2030,74.38459392
"Region1","MIN_HYD",2031,73.07332704
"Region1","MIN_HYD",2032,79.0411328952085
"Region1","MIN_HYD",2033,137.332906015209
"Region1","MIN_HYD",2034,195.624679135209
"Region1","MIN_HYD",2035,253.916452255209
"Region1","MIN_LIG",2021,59.21893152
"Region1","MIN_LIG",2022,143.81740512
"Region1","MIN_LIG",2023,221.009930720259
"Region1","MIN_LIG",2024,221.009930720259
"Region1","MIN_LIG",2025,221.009930720259
"Region1","MIN_LIG",2026,239.142076284349
"Region1","MIN_LIG",2027,314.304336352906
"Region1","MIN_LIG",2028,401.13776232
"Region1","MIN_LIG",2029,401.13776232
"Region1","MIN_LIG",2030,401.13776232
"Region1","MIN_LIG",2031,401.13776232
"Region1","MIN_LIG",2032,401.13776232
"Region1","MIN_LIG",2033,401.13776232
