REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2018,37.8106001986255
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2019,39.7633248081697
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2020,72.40981480727
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2021,77.8623833614911
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2022,81.6593998135328
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2023,87.2275473066891
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2024,91.080836898263
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2025,95.4924143185402
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2026,96.9086349838035
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2027,97.2143103631354
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2028,97.2143103631354
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2029,97.2143103631354
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2030,97.2143103631354
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2031,97.2143103631354
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2032,97.2143103631354
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2033,97.2143103631354
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2034,97.2143103631354
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2035,93.7717663999534
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2018,0.00490004156526035
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2019,5.7752244161253
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2020,18.3091236848022
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2021,18.2972822433814
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2022,18.4063858986201
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2023,18.2312398107135
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2024,17.829216329752
