REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2018,274.188543862404
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2019,288.348983380491
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2020,525.089302445758
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2021,564.629320968028
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2022,592.163885522355
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2023,632.542039932481
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2024,660.484676564634
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2025,692.475810866861
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2026,702.745721419895
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2027,704.962366665231
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2028,704.962366665231
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2029,704.962366665231
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2030,704.962366665231
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2031,704.962366665231
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2032,704.962366665231
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2033,704.962366665231
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2034,704.962366665231
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2035,679.998306018517
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2018,0.035533296339814
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2019,41.8797999719021
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2020,132.77102019436
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2021,132.68515042336
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2022,133.476329939232
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2023,132.206235030555
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2024,129.290908845192
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2025,241.482301580014
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2026,241.482301580014
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2027,241.482301580014
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2028,234.48365913713
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2029,218.84825963014
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2030,137.419143831403
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2031,234.757732029157
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2032,76.9512640327888
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2034,44.470744237922
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2035,20.145638660077
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2018,142.583746158296
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2019,149.947469256626
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2020,273.057359566177
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2021,293.618991663041
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2022,307.937537973144
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2023,328.935018165617
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2024,343.465770444428
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2025,360.101825723797
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2026,365.442392834059
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2027,366.595094469699
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2028,366.595094469699
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2029,366.595094469699
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2030,366.595094469699
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2031,366.595094469699
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2032,366.595094469699
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2033,366.595094469699
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2034,366.595094469699
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2035,353.613263660175
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2018,0.0198954626762676
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2019,23.4489361544805
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2020,74.3398769285328
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2021,74.291797549474
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2022,74.734787200018
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2023,74.0236478334573
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2024,72.391326341093
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2025,135.208455531923
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2026,135.208455531923
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2027,135.208455531923
