REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2018,274.188543862404
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2019,288.348983380491
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2020,525.089302445758
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2021,564.629320968028
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2022,592.163885522355
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2023,632.542039932481
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2024,660.484676564634
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2025,692.475810866861
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2026,702.745721419895
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2027,704.962366665231
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2028,704.962366665231
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2029,704.962366665231
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2030,704.962366665231
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2031,704.962366665231
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2032,704.962366665231
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2033,704.962366665231
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2034,704.962366665231
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2035,679.998306018517
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2018,0.035533296339814
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2019,41.8797999719021
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2020,132.77102019436
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2021,132.68515042336
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2022,133.476329939232
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2023,132.206235030555
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2024,129.290908845192
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2025,241.482301580014
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2026,241.482301580014
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2027,241.482301580014
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2028,234.48365913713
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2029,218.84825963014
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2030,137.419143831403
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2031,234.757732029157
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2032,76.9512640327888
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2034,44.470744237922
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIO_MOLASSE",2035,20.145638660077
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2022,156.285685583507
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2030,510.598020373515
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2032,845.410593459346
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2033,379.041049720323
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2034,624.183493285417
"Region1","S1D1B1","COM_CWH_DSL_001",1,"DSL",2018,51.9396271224363
"Region1","S1D1B1","COM_CWH_DSL_001",1,"DSL",2019,72.4481007187441
"Region1","S1D1B1","COM_CWH_DSL_001",1,"DSL",2021,103.900160458693
"Region1","S1D1B1","COM_CWH_KER_001",1,"KER",2019,5.14728957253641
"Region1","S1D1B1","COM_CWH_KER_001",1,"KER",2020,3.35325436586491
"Region1","S1D1B1","COM_CWH_KER_001",1,"KER",2021,5.14728957253641
"Region1","S1D1B1","COM_CWH_KER_001",1,"KER",2022,5.14728957253641
"Region1","S1D1B1","COM_CWH_KER_001",1,"KER",2023,5.14728957253641
"Region1","S1D1B1","COM_CWH_KER_001",1,"KER",2024,5.14728957253641
"Region1","S1D1B1","COM_CWH_LPG_001",1,"LPG",2018,15.1131819396752
"Region1","S1D1B1","COM_CWH_LPG_001",1,"LPG",2028,7.87259054387235
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2018,19.9835080446561
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2019,26.9703291999033
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2021,14.9876310310294
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2023,10.6515255565557
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2024,7.56491904785581
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2029,1.26081984089497
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2018,89.3908629441624
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2019,96.8636693255983
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2020,104.963741841914
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2021,113.741841914431
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2022,123.252356780276
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2023,133.560551124003
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2024,144.728063814358
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2025,156.83466279913
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2026,169.94923857868
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2027,184.158810732415
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2028,199.561276287165
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2029,216.247280638144
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2030,234.332849891226
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2031,253.926758520667
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2032,275.163161711385
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2033,298.172588832487
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2034,323.107324147933
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2035,350.126903553299
"Region1","S1D1B1","IND_CHEM_BIO_001",1,"BIO",2018,94.7092909967846
"Region1","S1D1B1","IND_CHEM_BIO_001",1,"BIO",2019,64.4501647458781
"Region1","S1D1B1","IND_CHEM_COA_001",1,"COA",2018,551.388523326082
"Region1","S1D1B1","IND_CHEM_COA_001",1,"COA",2020,598.722695267403
"Region1","S1D1B1","IND_CHEM_COA_001",1,"COA",2022,1617.92322226271
"Region1","S1D1B1","IND_CHEM_COA_001",1,"COA",2023,1617.92322226271
"Region1","S1D1B1","IND_CHEM_COA_001",1,"COA",2025,1035.71427670734
"Region1","S1D1B1","IND_CHEM_COA_001",1,"COA",2029,3548.36005446657
"Region1","S1D1B1","IND_CHEM_COA_001",1,"COA",2033,1035.03159611744
"Region1","S1D1B1","IND_CHEM_DSL_001",1,"DSL",2018,64.5434418097448
"Region1","S1D1B1","IND_CHEM_DSL_001",1,"DSL",2019,64.5434418097448
"Region1","S1D1B1","IND_CHEM_DSL_001",1,"DSL",2021,28.2231293772851
"Region1","S1D1B1","IND_CHEM_DSL_001",1,"DSL",2022,83.1696763371243
"Region1","S1D1B1","IND_CHEM_DSL_001",1,"DSL",2023,83.1696763371243
"Region1","S1D1B1","IND_CHEM_ELC_001",1,"ELC_002",2018,140.195298186005
"Region1","S1D1B1","IND_CHEM_ELC_001",1,"ELC_002",2019,113.240910122354
"Region1","S1D1B1","IND_CHEM_ELC_001",1,"ELC_002",2020,85.8251624173672
"Region1","S1D1B1","IND_CHEM_ELC_001",1,"ELC_002",2021,140.195298186005
"Region1","S1D1B1","IND_CHEM_ELC_001",1,"ELC_002",2022,93.455450318415
"Region1","S1D1B1","IND_CHEM_ELC_001",1,"ELC_002",2023,147.97794308364
"Region1","S1D1B1","IND_CHEM_ELC_001",1,"ELC_002",2024,147.97794308364
"Region1","S1D1B1","IND_CHEM_ELC_001",1,"ELC_002",2025,101.240031010734
"Region1","S1D1B1","IND_CHEM_ELC_001",1,"ELC_002",2026,176.645014643464
