REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,2386.17630630263
"Region1","BIODSL_PROD_001",2019,129.246619186114
"Region1","BIODSL_PROD_001",2020,2253.87867158991
"Region1","BIODSL_PROD_001",2021,390.833715567847
"Region1","BIODSL_PROD_001",2022,281.44692275951
"Region1","BIODSL_PROD_001",2023,425.331101237953
"Region1","BIODSL_PROD_001",2024,302.414263554899
"Region1","BIODSL_PROD_001",2025,432.994451208138
"Region1","BIODSL_PROD_001",2026,36.4890379900969
"Region1","BIODSL_PROD_001",2027,25.6408944567185
"Region1","BIOETH_PROD_001",2018,0.332955774554664
"Region1","BIOETH_PROD_001",2019,411.221913121182
"Region1","BIOETH_PROD_001",2020,931.704233505303
"Region1","BIOETH_PROD_001",2022,7.76239977637935
"Region1","BIOETH_PROD_001",2025,1289.69632634345
"Region1","COM_CWH_DSL_001",2018,0.00347689301023571
"Region1","COM_CWH_DSL_001",2019,0.00143984277605
"Region1","COM_CWH_DSL_001",2020,0.00230327966168103
"Region1","COM_CWH_KER_001",2018,0.000344564952193895
"Region1","COM_CWH_LPG_001",2018,0.00101169221959583
"Region1","COM_CWH_LPG_001",2019,0.000578964206586102
"Region1","COM_EL_APP_001",2031,0.10416827449283
"Region1","IND_CHEM_BIO_001",2018,0.00885275717271499
"Region1","IND_CHEM_BIO_001",2021,0.000132178106605595
"Region1","IND_CHEM_BIO_001",2022,0.038724590608916
"Region1","IND_CHEM_BIO_001",2025,0.00257991046658889
"Region1","IND_CHEM_COA_001",2018,0.051539913913973
"Region1","IND_CHEM_COA_001",2019,0.0044549888081712
"Region1","IND_CHEM_COA_001",2022,0.0976187032378611
"Region1","IND_CHEM_COA_001",2027,0.229489371651005
"Region1","IND_CHEM_DSL_001",2018,0.00603306614820218
"Region1","IND_CHEM_DSL_001",2022,0.00178401483575317
"Region1","IND_CHEM_ELC_001",2018,0.013104468616909
"Region1","IND_CHEM_ELC_001",2023,0.000749108170223698
"Region1","IND_CHEM_ELC_001",2025,0.00278354190681077
"Region1","IND_CHEM_ELC_001",2029,0.000710899876576305
"Region1","IND_CHEM_ELC_001",2030,0.012785186844113
"Region1","IND_CHEM_NGS_001",2018,0.0341890417614129
"Region1","IND_CHEM_NGS_001",2019,0.00466079773138613
"Region1","IND_CHEM_NGS_001",2023,0.00773940688762464
"Region1","IND_CHEM_NGS_001",2028,0.000542343723658442
"Region1","IND_CHEM_NGS_001",2029,0.000758067797252133
"Region1","IND_CHEM_NGS_001",2030,0.0190852071862894
"Region1","IND_CHEM_NGS_001",2033,0.000703230999495463
"Region1","IND_CMNT_COA_001",2018,0.139765794018599
"Region1","IND_CMNT_COA_001",2021,0.0580103005327591
"Region1","IND_CMNT_COA_001",2024,0.192645145485009
"Region1","IND_CMNT_COA_001",2034,0.0440381259948841
"Region1","IND_CMNT_DSL_001",2018,0.00145966072071066
"Region1","IND_CMNT_DSL_001",2021,0.000406060100548945
"Region1","IND_CMNT_ELC_001",2018,0.00265381647342095
"Region1","IND_CMNT_ELC_001",2021,0.000345365158650278
"Region1","IND_CMNT_ELC_001",2022,0.000364413067108655
"Region1","IND_CMNT_ELC_001",2025,0.000132654447187938
"Region1","IND_CMNT_ELC_001",2028,0.000401673445986066
"Region1","IND_CMNT_ELC_001",2031,0.000521703248542039
"Region1","IND_CMNT_ELC_001",2034,0.00270315603728901
"Region1","IND_CMNT_NGS_001",2018,0.0150488142024993
"Region1","IND_CMNT_NGS_001",2019,0.0586443637020942
"Region1","IND_CMNT_NGS_001",2026,0.00435388971531958
"Region1","IND_FOOD_BIO_001",2018,0.0157689967390043
"Region1","IND_FOOD_BIO_001",2024,0.0106301470616503
"Region1","IND_FOOD_BIO_001",2027,0.0141271559494374
"Region1","IND_FOOD_COA_001",2018,0.0502239340729278
"Region1","IND_FOOD_COA_001",2022,0.0781872535716388
"Region1","IND_FOOD_COA_001",2024,0.10776781677324
"Region1","IND_FOOD_COA_001",2035,0.242606904994064
"Region1","IND_FOOD_DSL_001",2018,0.011181857703022
"Region1","IND_FOOD_DSL_001",2019,0.000330676311347793
"Region1","IND_FOOD_DSL_001",2023,0.00592634329585186
"Region1","IND_FOOD_ELC_001",2018,0.00714353584152034
"Region1","IND_FOOD_ELC_001",2023,0.000273778433523879
"Region1","IND_FOOD_ELC_001",2024,0.00275366171904772
"Region1","IND_FOOD_ELC_001",2025,0.00852502581323376
"Region1","IND_FOOD_ELC_001",2034,0.000291466330657745
"Region1","IND_FOOD_NGS_001",2018,0.00543806415790629
"Region1","IND_FOOD_NGS_001",2019,0.00197168794003431
"Region1","IND_FOOD_NGS_001",2022,0.00122478378843608
"Region1","IND_FOOD_NGS_001",2025,0.00288378378089878
"Region1","IND_FOOD_NGS_001",2030,0.036630466187676
"Region1","IND_OTH_COA_001",2018,0.0503462416781931
"Region1","IND_OTH_COA_001",2019,0.0172092402259686
"Region1","IND_OTH_COA_001",2020,0.00815926432688562
"Region1","IND_OTH_COA_001",2024,0.0986116202570864
"Region1","IND_OTH_COA_001",2035,0.122908193932302
"Region1","IND_OTH_DSL_001",2018,0.0138302139109689
"Region1","IND_OTH_DSL_001",2022,0.00112649229816615
"Region1","IND_OTH_ELC_001",2018,0.0220587916064719
"Region1","IND_OTH_ELC_001",2020,0.00204810375889746
"Region1","IND_OTH_ELC_001",2022,0.00557206566456158
"Region1","IND_OTH_ELC_001",2025,0.00527728093256567
"Region1","IND_OTH_ELC_001",2026,0.0442780827782684
"Region1","IND_OTH_LPG_001",2018,0.000495780633032379
"Region1","IND_OTH_LPG_001",2021,0.000168433450042018
"Region1","IND_OTH_NGS_001",2018,0.0284611320629928
"Region1","IND_OTH_NGS_001",2019,0.0196128749847566
"Region1","IND_OTH_NGS_001",2021,0.00289301498109006
"Region1","IND_OTH_NGS_001",2023,0.00315946427262356
"Region1","IND_OTH_NGS_001",2029,0.0118829568637931
"Region1","IND_OTH_NGS_001",2033,0.0737163661781471
