REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,274.188543862404
"Region1","BIO_RESPRD",2019,288.348983380491
"Region1","BIO_RESPRD",2020,525.089302445758
"Region1","BIO_RESPRD",2021,564.629320968028
"Region1","BIO_RESPRD",2022,592.163885522355
"Region1","BIO_RESPRD",2023,632.542039932481
"Region1","BIO_RESPRD",2024,660.484676564634
"Region1","BIO_RESPRD",2025,699.527432519856
"Region1","BIO_RESPRD",2026,702.745721419894
"Region1","BIO_RESPRD",2027,704.962366665231
"Region1","BIO_RESPRD",2028,704.962366665231
"Region1","BIO_RESPRD",2029,704.962366665231
"Region1","BIO_RESPRD",2030,704.962366665231
"Region1","BIO_RESPRD",2031,704.962366665231
"Region1","BIO_RESPRD",2032,704.962366665231
"Region1","BIO_RESPRD",2033,704.962366665231
"Region1","BIO_RESPRD",2034,704.962366665231
"Region1","BIO_RESPRD",2035,704.962366665231
"Region1","BIO_RESPRD2",2018,0.0355332963398163
"Region1","BIO_RESPRD2",2019,41.8797999719021
"Region1","BIO_RESPRD2",2020,132.77102019436
"Region1","BIO_RESPRD2",2021,132.68515042336
"Region1","BIO_RESPRD2",2022,133.476329939232
"Region1","BIO_RESPRD2",2023,132.206235030555
"Region1","BIO_RESPRD2",2024,129.290908845192
"Region1","BIO_RESPRD2",2025,241.482301580014
"Region1","BIO_RESPRD2",2026,241.482301580014
"Region1","BIO_RESPRD2",2027,241.482301580014
"Region1","BIO_RESPRD2",2028,241.482301580014
"Region1","BIO_RESPRD2",2029,231.650949189366
"Region1","BIO_RESPRD2",2030,213.706631595185
"Region1","BIO_RESPRD2",2031,234.757732029157
"Region1","BIO_RESPRD2",2032,234.037960007034
"Region1","BIO_RESPRD2",2033,116.755235859919
"Region1","BIO_RESPRD2",2034,44.4707442379219
"Region1","BIO_RESPRD2",2035,20.145638660077
"Region1","BIODSL_PROD_001",2018,142.583746158296
"Region1","BIODSL_PROD_001",2019,149.947469256626
"Region1","BIODSL_PROD_001",2020,273.057359566177
"Region1","BIODSL_PROD_001",2021,293.618991663041
"Region1","BIODSL_PROD_001",2022,307.937537973144
"Region1","BIODSL_PROD_001",2023,328.935018165617
"Region1","BIODSL_PROD_001",2024,343.465770444428
"Region1","BIODSL_PROD_001",2025,363.768815662952
"Region1","BIODSL_PROD_001",2026,365.442392834059
"Region1","BIODSL_PROD_001",2027,366.595094469699
"Region1","BIODSL_PROD_001",2028,366.595094469699
"Region1","BIODSL_PROD_001",2029,366.595094469699
"Region1","BIODSL_PROD_001",2030,366.595094469699
"Region1","BIODSL_PROD_001",2031,366.595094469699
"Region1","BIODSL_PROD_001",2032,366.595094469699
"Region1","BIODSL_PROD_001",2033,366.595094469699
"Region1","BIODSL_PROD_001",2034,366.595094469699
"Region1","BIODSL_PROD_001",2035,366.595094469699
"Region1","BIOETH_PROD_001",2018,0.0198954626762689
"Region1","BIOETH_PROD_001",2019,23.4489361544805
"Region1","BIOETH_PROD_001",2020,74.3398769285328
"Region1","BIOETH_PROD_001",2021,74.3398769285328
"Region1","BIOETH_PROD_001",2022,74.734787200018
"Region1","BIOETH_PROD_001",2023,74.734787200018
"Region1","BIOETH_PROD_001",2024,74.734787200018
"Region1","BIOETH_PROD_001",2025,135.208455531923
"Region1","BIOETH_PROD_001",2026,135.208455531923
"Region1","BIOETH_PROD_001",2027,135.208455531923
"Region1","BIOETH_PROD_001",2028,135.208455531923
"Region1","BIOETH_PROD_001",2029,135.208455531923
"Region1","BIOETH_PROD_001",2030,135.208455531923
"Region1","BIOETH_PROD_001",2031,135.208455531923
"Region1","BIOETH_PROD_001",2032,135.208455531923
"Region1","BIOETH_PROD_001",2033,135.208455531923
"Region1","BIOETH_PROD_001",2034,135.208455531923
"Region1","BIOETH_PROD_001",2035,135.208455531923
"Region1","COM_CWH_BIO_001",2018,43.2493596878199
"Region1","COM_CWH_BIO_001",2019,140.223846240029
"Region1","COM_CWH_BIO_001",2020,89.7726571084954
"Region1","COM_CWH_BIO_001",2021,114.734817956329
"Region1","COM_CWH_BIO_001",2022,156.285685583507
"Region1","COM_CWH_BIO_001",2023,168.538831560901
"Region1","COM_CWH_BIO_001",2024,197.596137929034
"Region1","COM_CWH_BIO_001",2025,228.248822494029
"Region1","COM_CWH_BIO_001",2026,260.628032309792
"Region1","COM_CWH_BIO_001",2027,294.875695551007
"Region1","COM_CWH_BIO_001",2028,331.145407059024
"Region1","COM_CWH_BIO_001",2029,369.60338828045
"Region1","COM_CWH_BIO_001",2030,510.598020373515
"Region1","COM_CWH_BIO_001",2031,359.57969216959
"Region1","COM_CWH_BIO_001",2032,845.410593459346
"Region1","COM_CWH_BIO_001",2033,379.041049720323
"Region1","COM_CWH_BIO_001",2034,624.183493285417
"Region1","COM_CWH_BIO_001",2035,757.92390237691
"Region1","COM_CWH_DSL_001",2018,51.9396271224363
"Region1","COM_CWH_DSL_001",2019,72.4481007187441
"Region1","COM_CWH_DSL_001",2020,103.900160458693
"Region1","COM_CWH_DSL_001",2021,103.900160458693
"Region1","COM_CWH_DSL_001",2022,103.900160458693
"Region1","COM_CWH_DSL_001",2023,103.900160458693
"Region1","COM_CWH_DSL_001",2024,103.900160458693
"Region1","COM_CWH_DSL_001",2025,103.900160458693
"Region1","COM_CWH_DSL_001",2026,103.900160458693
"Region1","COM_CWH_DSL_001",2027,103.900160458693
"Region1","COM_CWH_DSL_001",2028,103.900160458693
"Region1","COM_CWH_DSL_001",2029,103.900160458693
"Region1","COM_CWH_DSL_001",2030,103.900160458693
"Region1","COM_CWH_DSL_001",2031,103.900160458693
"Region1","COM_CWH_DSL_001",2032,103.900160458693
"Region1","COM_CWH_DSL_001",2033,103.900160458693
"Region1","COM_CWH_DSL_001",2034,103.900160458693
"Region1","COM_CWH_DSL_001",2035,103.900160458693
"Region1","COM_CWH_KER_001",2018,5.14728957253641
"Region1","COM_CWH_KER_001",2019,5.14728957253641
"Region1","COM_CWH_KER_001",2020,5.14728957253641
"Region1","COM_CWH_KER_001",2021,5.14728957253641
"Region1","COM_CWH_KER_001",2022,5.14728957253641
"Region1","COM_CWH_KER_001",2023,5.14728957253641
"Region1","COM_CWH_KER_001",2024,5.14728957253641
"Region1","COM_CWH_KER_001",2025,5.14728957253641
"Region1","COM_CWH_KER_001",2026,5.14728957253641
"Region1","COM_CWH_KER_001",2027,5.14728957253641
"Region1","COM_CWH_KER_001",2028,5.14728957253641
"Region1","COM_CWH_KER_001",2029,5.14728957253641
"Region1","COM_CWH_KER_001",2030,5.14728957253641
"Region1","COM_CWH_KER_001",2031,5.14728957253641
"Region1","COM_CWH_KER_001",2032,5.14728957253641
"Region1","COM_CWH_KER_001",2033,5.14728957253641
"Region1","COM_CWH_KER_001",2034,5.14728957253641
"Region1","COM_CWH_KER_001",2035,5.14728957253641
"Region1","COM_CWH_LPG_001",2018,15.1131819396752
"Region1","COM_CWH_LPG_001",2019,23.3596879759468
"Region1","COM_CWH_LPG_001",2020,23.3596879759468
"Region1","COM_CWH_LPG_001",2021,23.3596879759468
"Region1","COM_CWH_LPG_001",2022,23.3596879759468
"Region1","COM_CWH_LPG_001",2023,23.3596879759468
"Region1","COM_CWH_LPG_001",2024,23.3596879759468
"Region1","COM_CWH_LPG_001",2025,23.3596879759468
"Region1","COM_CWH_LPG_001",2026,23.3596879759468
"Region1","COM_CWH_LPG_001",2027,23.3596879759468
"Region1","COM_CWH_LPG_001",2028,23.3596879759468
"Region1","COM_CWH_LPG_001",2029,23.3596879759468
"Region1","COM_CWH_LPG_001",2030,23.3596879759468
"Region1","COM_CWH_LPG_001",2031,23.3596879759468
"Region1","COM_CWH_LPG_001",2032,23.3596879759468
"Region1","COM_CWH_LPG_001",2033,23.3596879759468
"Region1","COM_CWH_LPG_001",2034,23.3596879759468
"Region1","COM_CWH_LPG_001",2035,23.3596879759468
"Region1","COM_CWH_NGS_001",2018,19.9835080446561
"Region1","COM_CWH_NGS_001",2019,26.9703291999033
"Region1","COM_CWH_NGS_001",2020,14.0081419969617
"Region1","COM_CWH_NGS_001",2021,14.9876310310294
"Region1","COM_CWH_NGS_001",2022,15.3482816323057
"Region1","COM_CWH_NGS_001",2023,10.6515255565557
"Region1","COM_CWH_NGS_001",2024,7.56491904785581
"Region1","COM_CWH_NGS_001",2025,18.3888608121827
"Region1","COM_CWH_NGS_001",2026,6.08658603210321
"Region1","COM_CWH_NGS_001",2027,5.75560561187819
"Region1","COM_CWH_NGS_001",2028,6.08658603360336
"Region1","COM_CWH_NGS_001",2029,1.26081984089497
"Region1","COM_EL_APP_001",2018,524.818709209572
"Region1","COM_EL_APP_001",2019,524.818709209572
"Region1","COM_EL_APP_001",2020,524.818709209572
"Region1","COM_EL_APP_001",2021,616.261783901378
"Region1","COM_EL_APP_001",2022,616.261783901378
"Region1","COM_EL_APP_001",2023,1696.4829586657
"Region1","COM_EL_APP_001",2024,1696.4829586657
"Region1","COM_EL_APP_001",2025,1696.4829586657
"Region1","COM_EL_APP_001",2026,1696.4829586657
"Region1","COM_EL_APP_001",2027,1696.4829586657
"Region1","COM_EL_APP_001",2028,1171.66424945613
"Region1","COM_EL_APP_001",2029,1171.66424945613
"Region1","COM_EL_APP_001",2030,1171.66424945613
"Region1","COM_EL_APP_001",2031,2830.85569253082
"Region1","COM_EL_APP_001",2032,2830.85569253082
"Region1","COM_EL_APP_001",2033,1750.6345177665
"Region1","COM_EL_APP_001",2034,1750.6345177665
"Region1","COM_EL_APP_001",2035,1750.6345177665
"Region1","IMP_DSL",2018,1979.98828644423
"Region1","IMP_DSL",2019,1817.16607180719
"Region1","IMP_DSL",2020,1748.26642775465
"Region1","IMP_DSL",2021,1739.19363981835
"Region1","IMP_DSL",2022,1399.54433753319
"Region1","IMP_DSL",2023,1612.76219077674
"Region1","IMP_DSL",2024,1751.10050478628
"Region1","IMP_DSL",2025,1732.98925918337
"Region1","IMP_DSL",2026,1558.71531468405
"Region1","IMP_DSL",2027,1650.06840518242
"Region1","IMP_DSL",2028,1590.92378600287
"Region1","IMP_DSL",2029,1486.8115679724
"Region1","IMP_DSL",2030,1439.12438965954
"Region1","IMP_DSL",2031,1362.5181138059
"Region1","IMP_DSL",2032,1358.38462278071
"Region1","IMP_DSL",2033,1237.0050720796
"Region1","IMP_DSL",2034,1212.40267630144
"Region1","IMP_DSL",2035,1348.97442990898
"Region1","IMP_GSL",2018,721.862614327349
"Region1","IMP_GSL",2019,767.349691193967
"Region1","IMP_GSL",2020,679.001919856795
"Region1","IMP_GSL",2021,683.554762945266
"Region1","IMP_GSL",2022,687.541669800162
"Region1","IMP_GSL",2023,681.141415501116
"Region1","IMP_GSL",2024,666.450522069838
"Region1","IMP_GSL",2025,555.762407127691
"Region1","IMP_GSL",2026,555.762407127691
"Region1","IMP_GSL",2027,555.762407127691
"Region1","IMP_GSL",2028,555.762407127691
"Region1","IMP_GSL",2029,533.743700765657
"Region1","IMP_GSL",2030,493.554859569283
"Region1","IMP_GSL",2031,535.672123533946
"Region1","IMP_GSL",2032,529.146722129416
"Region1","IMP_GSL",2033,261.489889943828
"Region1","IMP_GSL",2034,99.5985313279328
"Region1","IMP_GSL",2035,45.1190115567234
"Region1","IMP_KER",2018,189.640361079423
"Region1","IMP_KER",2019,193.818843106646
"Region1","IMP_KER",2020,192.172811220078
"Region1","IMP_KER",2021,260.201998637976
"Region1","IMP_KER",2022,237.140570915594
"Region1","IMP_KER",2023,322.698956534923
"Region1","IMP_KER",2024,385.430059157089
"Region1","IMP_KER",2025,361.830654412859
"Region1","IMP_KER",2026,292.65118080581
"Region1","IMP_KER",2027,316.053215332394
"Region1","IMP_KER",2028,221.107539139116
"Region1","IMP_KER",2029,312.180790929628
"Region1","IMP_KER",2030,347.818011395952
"Region1","IMP_KER",2031,409.927241154723
"Region1","IMP_KER",2032,295.055343865625
"Region1","IMP_KER",2033,271.890752965843
"Region1","IMP_KER",2034,478.222273334284
"Region1","IMP_KER",2035,449.497067627618
"Region1","IMP_LPG",2018,462.446366740085
"Region1","IMP_LPG",2019,472.902873162743
"Region1","IMP_LPG",2020,475.11287354913
"Region1","IMP_LPG",2021,419.267679414875
"Region1","IMP_LPG",2022,372.682381840669
"Region1","IMP_LPG",2023,326.097083954282
"Region1","IMP_LPG",2024,279.511786380075
"Region1","IMP_LPG",2025,232.926488650631
"Region1","IMP_LPG",2026,186.341190919481
"Region1","IMP_LPG",2027,139.755893190038
"Region1","IMP_LPG",2028,119.174251380035
"Region1","IMP_LPG",2029,46.5852977294439
"Region1","IMP_OIL",2018,140.385996535873
"Region1","IMP_OIL",2019,116.029716870048
"Region1","IMP_OIL",2020,113.601769480885
"Region1","IMP_OIL",2021,120.335387806051
"Region1","IMP_OIL",2023,103.838496882917
"Region1","IMP_OIL",2024,108.254222622972
"Region1","IMP_OIL",2025,79.7685045106661
"Region1","IMP_OIL",2026,106.646500522047
"Region1","IMP_OIL",2027,310.793040948631
"Region1","IMP_OIL",2028,203.203514083662
"Region1","IMP_OIL",2029,76.3153426967985
"Region1","IMP_OIL",2030,327.641735631956
"Region1","IMP_OIL",2031,54.6523805655664
"Region1","IMP_OIL",2032,73.5701717393737
"Region1","IMP_OIL",2033,51.0576991871253
"Region1","IMP_OIL",2034,100.521561844736
"Region1","IMP_OIL",2035,104.64294588037
"Region1","IND_BIO_AUTOPRD",2018,99.2290173473219
"Region1","IND_BIO_AUTOPRD",2019,77.0195671693736
"Region1","IND_BIO_AUTOPRD",2020,124.17531311839
"Region1","IND_BIO_AUTOPRD",2021,135.934836489253
"Region1","IND_BIO_AUTOPRD",2022,87.1141658165817
"Region1","IND_BIO_AUTOPRD",2023,162.213358580689
"Region1","IND_BIO_AUTOPRD",2024,176.861119242579
"Region1","IND_BIO_AUTOPRD",2025,192.607456243603
"Region1","IND_BIO_AUTOPRD",2026,209.527756653019
"Region1","IND_BIO_AUTOPRD",2027,227.702317212555
"Region1","IND_BIO_AUTOPRD",2028,247.216653019447
"Region1","IND_BIO_AUTOPRD",2029,268.161825486182
"Region1","IND_BIO_AUTOPRD",2030,255.58072929793
"Region1","IND_BIO_AUTOPRD",2031,254.798874810109
"Region1","IND_BIO_AUTOPRD",2032,377.624596273879
"Region1","IND_BIO_AUTOPRD",2033,408.340163230566
"Region1","IND_BIO_AUTOPRD",2034,319.343430817861
"Region1","IND_BIO_AUTOPRD",2035,476.511779080764
"Region1","IND_CHEM_BIO_001",2018,94.7092909967846
"Region1","IND_CHEM_BIO_001",2019,94.7092909967846
"Region1","IND_CHEM_BIO_001",2020,94.7092909967846
"Region1","IND_CHEM_BIO_001",2021,96.0967287871034
"Region1","IND_CHEM_BIO_001",2022,500.405758175818
"Region1","IND_CHEM_BIO_001",2023,500.405758175818
"Region1","IND_CHEM_BIO_001",2024,500.405758175818
"Region1","IND_CHEM_BIO_001",2025,526.975675367537
"Region1","IND_CHEM_BIO_001",2026,526.975675367537
"Region1","IND_CHEM_BIO_001",2027,526.975675367537
"Region1","IND_CHEM_BIO_001",2028,526.975675367537
"Region1","IND_CHEM_BIO_001",2029,526.975675367537
"Region1","IND_CHEM_BIO_001",2030,526.975675367537
"Region1","IND_CHEM_BIO_001",2031,526.975675367537
"Region1","IND_CHEM_BIO_001",2032,526.975675367537
"Region1","IND_CHEM_BIO_001",2033,526.975675367537
"Region1","IND_CHEM_BIO_001",2034,526.975675367537
"Region1","IND_CHEM_BIO_001",2035,526.975675367537
"Region1","IND_CHEM_COA_001",2018,551.388523326082
"Region1","IND_CHEM_COA_001",2019,598.722695267403
"Region1","IND_CHEM_COA_001",2020,598.722695267403
"Region1","IND_CHEM_COA_001",2021,598.722695267403
"Region1","IND_CHEM_COA_001",2022,1617.92322226271
"Region1","IND_CHEM_COA_001",2023,1617.92322226271
"Region1","IND_CHEM_COA_001",2024,1617.92322226271
"Region1","IND_CHEM_COA_001",2025,1617.92322226271
"Region1","IND_CHEM_COA_001",2026,1617.92322226271
"Region1","IND_CHEM_COA_001",2027,3963.87431716201
"Region1","IND_CHEM_COA_001",2028,3963.87431716201
"Region1","IND_CHEM_COA_001",2029,3963.87431716201
"Region1","IND_CHEM_COA_001",2030,3963.87431716201
"Region1","IND_CHEM_COA_001",2031,3963.87431716201
"Region1","IND_CHEM_COA_001",2032,3963.87431716201
"Region1","IND_CHEM_COA_001",2033,3963.87431716201
"Region1","IND_CHEM_COA_001",2034,3963.87431716201
"Region1","IND_CHEM_COA_001",2035,3963.87431716201
"Region1","IND_CHEM_DSL_001",2018,64.5434418097448
"Region1","IND_CHEM_DSL_001",2019,64.5434418097448
"Region1","IND_CHEM_DSL_001",2020,64.5434418097448
"Region1","IND_CHEM_DSL_001",2021,64.5434418097448
"Region1","IND_CHEM_DSL_001",2022,83.1696763371243
"Region1","IND_CHEM_DSL_001",2023,83.1696763371243
"Region1","IND_CHEM_DSL_001",2024,83.1696763371243
"Region1","IND_CHEM_DSL_001",2025,83.1696763371243
"Region1","IND_CHEM_DSL_001",2026,83.1696763371243
"Region1","IND_CHEM_DSL_001",2027,83.1696763371243
"Region1","IND_CHEM_DSL_001",2028,83.1696763371243
"Region1","IND_CHEM_DSL_001",2029,83.1696763371243
"Region1","IND_CHEM_DSL_001",2030,83.1696763371243
"Region1","IND_CHEM_DSL_001",2031,83.1696763371243
"Region1","IND_CHEM_DSL_001",2032,83.1696763371243
"Region1","IND_CHEM_DSL_001",2033,83.1696763371243
"Region1","IND_CHEM_DSL_001",2034,83.1696763371243
"Region1","IND_CHEM_DSL_001",2035,83.1696763371243
"Region1","IND_CHEM_ELC_001",2018,140.195298186005
"Region1","IND_CHEM_ELC_001",2019,140.195298186005
"Region1","IND_CHEM_ELC_001",2020,140.195298186005
"Region1","IND_CHEM_ELC_001",2021,140.195298186005
"Region1","IND_CHEM_ELC_001",2022,140.195298186005
"Region1","IND_CHEM_ELC_001",2023,147.97794308364
"Region1","IND_CHEM_ELC_001",2024,147.97794308364
"Region1","IND_CHEM_ELC_001",2025,176.645014643464
"Region1","IND_CHEM_ELC_001",2026,176.645014643464
"Region1","IND_CHEM_ELC_001",2027,176.645014643464
"Region1","IND_CHEM_ELC_001",2028,176.645014643464
"Region1","IND_CHEM_ELC_001",2029,183.866313126537
"Region1","IND_CHEM_ELC_001",2030,313.373999999485
"Region1","IND_CHEM_ELC_001",2031,313.373999999485
"Region1","IND_CHEM_ELC_001",2032,313.373999999485
"Region1","IND_CHEM_ELC_001",2033,313.373999999485
"Region1","IND_CHEM_ELC_001",2034,313.373999999485
"Region1","IND_CHEM_ELC_001",2035,313.373999999485
"Region1","IND_CHEM_NGS_001",2018,365.764003452252
"Region1","IND_CHEM_NGS_001",2019,415.284891315428
"Region1","IND_CHEM_NGS_001",2020,415.284891315428
"Region1","IND_CHEM_NGS_001",2021,415.284891315428
"Region1","IND_CHEM_NGS_001",2022,415.284891315428
"Region1","IND_CHEM_NGS_001",2023,495.691243720725
"Region1","IND_CHEM_NGS_001",2024,495.691243720725
"Region1","IND_CHEM_NGS_001",2025,495.691243720725
"Region1","IND_CHEM_NGS_001",2026,495.691243720725
"Region1","IND_CHEM_NGS_001",2027,495.691243720725
"Region1","IND_CHEM_NGS_001",2028,501.217120395566
"Region1","IND_CHEM_NGS_001",2029,508.917549126441
"Region1","IND_CHEM_NGS_001",2030,702.241359433164
"Region1","IND_CHEM_NGS_001",2031,702.241359433164
"Region1","IND_CHEM_NGS_001",2032,702.241359433164
"Region1","IND_CHEM_NGS_001",2033,709.313684748973
"Region1","IND_CHEM_NGS_001",2034,709.313684748973
"Region1","IND_CHEM_NGS_001",2035,709.313684748973
"Region1","IND_CMNT_COA_001",2018,1495.25385129755
"Region1","IND_CMNT_COA_001",2019,1495.25385129755
"Region1","IND_CMNT_COA_001",2020,1495.25385129755
"Region1","IND_CMNT_COA_001",2021,2104.17226641044
"Region1","IND_CMNT_COA_001",2022,2104.17226641044
"Region1","IND_CMNT_COA_001",2023,2104.17226641044
