REGION,TECHNOLOGY,VALUE
"Region1","BIO_RESPRD",11126.4212631173
"Region1","BIO_RESPRD2",2577.38190047915
"Region1","BIODSL_PROD_001",5785.97049564081
"Region1","BIOETH_PROD_001",1443.10296779348
"Region1","COM_CWH_BIO_001",3126.198916554
"Region1","COM_CWH_DSL_001",271.605295115
"Region1","COM_CWH_KER_001",19.29700143
"Region1","COM_CWH_LPG_001",71.205935276
"Region1","COM_CWH_NGS_001",79.117705865
"Region1","COM_EL_APP_001",9564.97
"Region1","IMP_DSL",22893.5462979853
"Region1","IMP_GSL",9138.22135122122
"Region1","IMP_KER",3698.98380293286
"Region1","IMP_LPG",2130.047519012
"Region1","IMP_OIL",1081.57278336921
"Region1","IND_BIO_AUTOPRD",2537.75040222903
"Region1","IND_CHEM_BIO_001",645.499530217946
"Region1","IND_CHEM_COA_001",8659.94815876305
"Region1","IND_CHEM_DSL_001",361.636904459
"Region1","IND_CHEM_ELC_001",1593.47548246
"Region1","IND_CHEM_NGS_001",6444.7230623
"Region1","IND_CMNT_COA_001",12204.152081769
"Region1","IND_CMNT_DSL_001",80.180067951
"Region1","IND_CMNT_ELC_001",480.92126388
"Region1","IND_CMNT_NGS_001",3265.4553817
"Region1","IND_FOOD_BIO_001",1717.48604065994
"Region1","IND_FOOD_COA_001",9325.72015554707
"Region1","IND_FOOD_DSL_001",563.040841983
"Region1","IND_FOOD_ELC_001",1133.97626156
"Region1","IND_FOOD_NGS_001",1434.47997085
"Region1","IND_OTH_BIO",4975.61985544843
"Region1","IND_OTH_COA_001",7494.18683899858
"Region1","IND_OTH_DSL_001",751.693575198
"Region1","IND_OTH_ELC_001",3284.9754624
"Region1","IND_OTH_LPG_001",13.473223155
"Region1","IND_OTH_NGS_001",8498.9045283
"Region1","IND_TEXT_COA_001",8654.059267659
"Region1","IND_TEXT_DSL_001",214.412446701
"Region1","IND_TEXT_ELC_001",2236.83741652
"Region1","IND_TEXT_NGS_001",667.51937638
"Region1","MIN_BIO",56490.5803178885
"Region1","MIN_COA",115360.155384323
"Region1","MIN_GEO",22863.47165061
"Region1","MIN_HYD",1664.07582485993
"Region1","MIN_LIG",4628.15177853403
"Region1","MIN_NGS",35590.0340736011
"Region1","MIN_OIL",77.8662556084181
"Region1","MIN_SOL",2989.43989765887
"Region1","MIN_WND",2363.5243208903
"Region1","NGS_DISTRIB",4468.71025189436
"Region1","NGS_PIPELINE",35590.0340736011
"Region1","OTH_ALL_BIO_001",1050.88520595713
"Region1","OTH_ALL_EL_001",272.059659381579
"Region1","OTH_ALL_OILPRD_001",1159.43903897763
"Region1","PWR_BIO_001",761.084664192
"Region1","PWR_COA_001",9918.67288739004
"Region1","PWR_COA_002",16373.3235431911
"Region1","PWR_COA_003",1759.75352795971
"Region1","PWR_GEO_001",3427.80684416941
"Region1","PWR_HYD_001",1584.83411891421
"Region1","PWR_NGS_001",5491.78467606189
"Region1","PWR_NGS_002",62.3856583131641
"Region1","PWR_OILPRD_001",132
"Region1","PWR_SOL_003",1499.48228214
"Region1","PWR_SOL_E001",1248.65067013879
"Region1","PWR_TRN_001",43123.8209112206
"Region1","PWR_WND_E001",2363.5243208903
"Region1","RES_CWH_BIO_001",11289.1535410684
"Region1","RES_CWH_EL_001",5976.5744362436
"Region1","RES_CWH_KER_001",127.899856577
"Region1","RES_CWH_LPG_001",1123.82876955
"Region1","RES_CWH_NGS_001",100.936113776029
"Region1","RES_EL_APP_001",10719.26
"Region1","TRA_BUS",46887974.6122
"Region1","TRA_BUS_BIODSL_001",34731764.1226903
"Region1","TRA_BUS_DSL_001",855336.8446
"Region1","TRA_BUS_ELC_001",11300873.6449097
"Region1","TRA_CAR",9639698.6482
"Region1","TRA_CAR_BIODSL_001",2531264.36896599
"Region1","TRA_CAR_BIOGSL_001",3272505.52317999
"Region1","TRA_CAR_DSL_001",2636.9163
"Region1","TRA_CAR_ELC_001",1533273.12115802
"Region1","TRA_CAR_GSL_001",506097.88862
"Region1","TRA_CAR_HYB_001",341190.67752
"Region1","TRA_CAR_NGS_001",1452730.152456
"Region1","TRA_MCY",21729679.7424
"Region1","TRA_MCY_001",1080764.55724011
"Region1","TRA_MCY_BIOGSL_001",12672661.4880614
"Region1","TRA_MCY_EL_001",7976253.69709853
"Region1","TRA_PLANE_FREIGHT_001",19308.8498863099
"Region1","TRA_PLANE_FREIGHT_BIO_001",19404.6902336901
"Region1","TRA_PLANE_PSNG_001",1933378.50832265
"Region1","TRA_PLANE_PSNG_BIO_001",2023980.30487735
"Region1","TRA_RLW_FREIGHT_BIODSL_001",114019.371436725
"Region1","TRA_RLW_FREIGHT_DSL_001",764328.436461275
"Region1","TRA_RLW_PSNG_DSL_001",97998.347271
"Region1","TRA_RLW_PSNG_ELC_001",1354126.564929
"Region1","TRA_SHIP_FREIGHT_001",18714319.7696404
"Region1","TRA_SHIP_FREIGHT_BIO_001",6448607.68005956
"Region1","TRA_SHIP_PSNG_001",693368.047357889
"Region1","TRA_SHIP_PSNG_BIO_001",416174.01865211
"Region1","TRA_TRAIN_FREIGHT",878347.807897999
"Region1","TRA_TRAIN_PSNG",1452124.9122
"Region1","TRA_TRUCK",15725904.9945
"Region1","TRA_TRUCK_DSL_001",9144890.3688
"Region1","TRA_TRUCK_NGS_001",6581014.62569999
