REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,199.189588142517
"Region1","BIO_RESPRD",2019,270.368905927959
"Region1","BIO_RESPRD",2020,522.137899842556
"Region1","BIO_RESPRD",2021,551.90662687178
"Region1","BIO_RESPRD",2022,583.203433355592
"Region1","BIO_RESPRD",2023,617.727731568885
"Region1","BIO_RESPRD",2024,655.890412588841
"Region1","BIO_RESPRD",2025,688.90704918501
"Region1","BIO_RESPRD",2026,688.90704918501
"Region1","BIO_RESPRD",2027,688.90704918501
"Region1","BIO_RESPRD",2028,688.90704918501
"Region1","BIO_RESPRD",2029,688.90704918501
"Region1","BIO_RESPRD",2030,688.90704918501
"Region1","BIO_RESPRD",2031,688.90704918501
"Region1","BIO_RESPRD",2032,688.90704918501
"Region1","BIO_RESPRD",2033,688.907049185011
"Region1","BIO_RESPRD",2034,688.90704918501
"Region1","BIO_RESPRD",2035,688.90704918501
"Region1","BIO_RESPRD2",2018,0.0355332963398131
"Region1","BIO_RESPRD2",2019,53.9851503749567
"Region1","BIO_RESPRD2",2020,132.77102019436
"Region1","BIO_RESPRD2",2021,132.685150423361
"Region1","BIO_RESPRD2",2022,133.476329939232
"Region1","BIO_RESPRD2",2023,132.206235030555
"Region1","BIO_RESPRD2",2024,129.290908845192
"Region1","BIO_RESPRD2",2025,241.482301580014
"Region1","BIO_RESPRD2",2026,241.482301580014
"Region1","BIO_RESPRD2",2027,239.334471664359
"Region1","BIO_RESPRD2",2028,241.482301580014
"Region1","BIO_RESPRD2",2029,231.650949189366
"Region1","BIO_RESPRD2",2030,203.185534922892
"Region1","BIO_RESPRD2",2031,190.927911257003
"Region1","BIO_RESPRD2",2032,169.044694555944
"Region1","BIO_RESPRD2",2033,68.4487641374983
"Region1","BIO_RESPRD2",2034,44.4707442379219
"Region1","BIO_RESPRD2",2035,20.1456386600771
"Region1","BIODSL_PROD_001",2018,103.582729143274
"Region1","BIODSL_PROD_001",2019,140.597454980738
"Region1","BIODSL_PROD_001",2020,271.522568820882
"Region1","BIODSL_PROD_001",2021,287.002926090369
"Region1","BIODSL_PROD_001",2022,303.277916461566
"Region1","BIODSL_PROD_001",2023,321.231269666607
"Region1","BIODSL_PROD_001",2024,341.076657612502
"Region1","BIODSL_PROD_001",2025,358.245995416022
"Region1","BIODSL_PROD_001",2026,358.245995416022
"Region1","BIODSL_PROD_001",2027,358.245995416022
"Region1","BIODSL_PROD_001",2028,358.245995416022
"Region1","BIODSL_PROD_001",2029,358.245995416022
"Region1","BIODSL_PROD_001",2030,358.245995416022
"Region1","BIODSL_PROD_001",2031,358.245995416022
"Region1","BIODSL_PROD_001",2032,358.245995416022
"Region1","BIODSL_PROD_001",2033,358.245995416022
"Region1","BIODSL_PROD_001",2034,358.245995416022
"Region1","BIODSL_PROD_001",2035,358.245995416022
"Region1","BIOETH_PROD_001",2018,0.0198954626762696
"Region1","BIOETH_PROD_001",2019,30.2268479143095
"Region1","BIOETH_PROD_001",2020,74.3398769285329
"Region1","BIOETH_PROD_001",2021,74.3398769285329
"Region1","BIOETH_PROD_001",2022,74.7347872000179
"Region1","BIOETH_PROD_001",2023,74.7347872000179
"Region1","BIOETH_PROD_001",2024,74.7347872000179
"Region1","BIOETH_PROD_001",2025,135.208455531923
"Region1","BIOETH_PROD_001",2026,135.208455531923
"Region1","BIOETH_PROD_001",2027,135.208455531923
"Region1","BIOETH_PROD_001",2028,135.208455531923
"Region1","BIOETH_PROD_001",2029,135.208455531923
"Region1","BIOETH_PROD_001",2030,135.208455531923
"Region1","BIOETH_PROD_001",2031,135.208455531923
"Region1","BIOETH_PROD_001",2032,135.208455531923
"Region1","BIOETH_PROD_001",2033,135.208455531923
"Region1","BIOETH_PROD_001",2034,135.208455531923
"Region1","BIOETH_PROD_001",2035,135.208455531923
"Region1","COM_CWH_BIO_001",2018,25.3553101800179
"Region1","COM_CWH_BIO_001",2019,38.6776045534553
"Region1","COM_CWH_BIO_001",2020,52.6299945964597
"Region1","COM_CWH_BIO_001",2021,67.2642767136714
"Region1","COM_CWH_BIO_001",2022,82.6365056185619
"Region1","COM_CWH_BIO_001",2023,114.614226288863
"Region1","COM_CWH_BIO_001",2024,219.086166169851
"Region1","COM_CWH_BIO_001",2025,166.313809504041
"Region1","COM_CWH_BIO_001",2026,229.193148124812
"Region1","COM_CWH_BIO_001",2027,326.945588674106
"Region1","COM_CWH_BIO_001",2028,194.13685130313
"Region1","COM_CWH_BIO_001",2029,269.312002747048
"Region1","COM_CWH_BIO_001",2030,360.926773477348
"Region1","COM_CWH_BIO_001",2031,552.571424235993
"Region1","COM_CWH_BIO_001",2032,422.705296729673
"Region1","COM_CWH_BIO_001",2033,576.770426517874
"Region1","COM_CWH_BIO_001",2034,700.351894949066
"Region1","COM_CWH_BIO_001",2035,675.494122943068
"Region1","COM_CWH_DSL_001",2018,48.4749768213457
"Region1","COM_CWH_DSL_001",2019,48.4749768213457
"Region1","COM_CWH_DSL_001",2020,48.4749768213457
"Region1","COM_CWH_DSL_001",2021,52.2162013983234
"Region1","COM_CWH_DSL_001",2022,52.2162013983234
"Region1","COM_CWH_DSL_001",2023,52.2162013983234
"Region1","COM_CWH_DSL_001",2024,52.2162013983234
"Region1","COM_CWH_DSL_001",2025,52.2162013983237
"Region1","COM_CWH_DSL_001",2026,52.2162013983234
"Region1","COM_CWH_DSL_001",2027,52.2162013983235
"Region1","COM_CWH_DSL_001",2028,52.2162013983234
"Region1","COM_CWH_DSL_001",2029,52.2162013983234
"Region1","COM_CWH_DSL_001",2030,52.2162013983234
"Region1","COM_CWH_DSL_001",2031,52.2162013983234
"Region1","COM_CWH_DSL_001",2032,52.2162013983234
"Region1","COM_CWH_DSL_001",2033,52.2162013983234
"Region1","COM_CWH_DSL_001",2034,52.2162013983234
"Region1","COM_CWH_DSL_001",2035,52.2162013983234
"Region1","COM_CWH_KER_001",2018,5.77540746392276
"Region1","COM_CWH_KER_001",2019,5.77540746392276
"Region1","COM_CWH_KER_001",2020,5.77540746392276
"Region1","COM_CWH_KER_001",2021,5.77540746392276
"Region1","COM_CWH_KER_001",2022,5.77540746392276
"Region1","COM_CWH_KER_001",2023,5.77540746392276
"Region1","COM_CWH_KER_001",2024,5.77540746392276
"Region1","COM_CWH_KER_001",2025,5.77540746392276
"Region1","COM_CWH_KER_001",2026,5.77540746392276
"Region1","COM_CWH_KER_001",2027,5.77540746392276
"Region1","COM_CWH_KER_001",2028,5.77540746392276
"Region1","COM_CWH_KER_001",2029,5.77540746392276
"Region1","COM_CWH_KER_001",2030,5.77540746392276
"Region1","COM_CWH_KER_001",2031,5.77540746392276
"Region1","COM_CWH_KER_001",2032,5.77540746392276
"Region1","COM_CWH_KER_001",2033,5.77540746392276
"Region1","COM_CWH_KER_001",2034,5.77540746392276
"Region1","COM_CWH_KER_001",2035,5.77540746392276
"Region1","COM_CWH_LPG_001",2018,10.9558548554856
"Region1","COM_CWH_LPG_001",2019,13.8680605855545
"Region1","COM_CWH_LPG_001",2020,17.2668168356346
"Region1","COM_CWH_LPG_001",2021,17.2668168356346
"Region1","COM_CWH_LPG_001",2022,17.2668168356346
"Region1","COM_CWH_LPG_001",2023,17.2668168356346
"Region1","COM_CWH_LPG_001",2024,17.2668168356346
"Region1","COM_CWH_LPG_001",2025,17.2668168356346
"Region1","COM_CWH_LPG_001",2026,17.2668168356346
"Region1","COM_CWH_LPG_001",2027,17.2668168356346
"Region1","COM_CWH_LPG_001",2028,17.2668168356346
"Region1","COM_CWH_LPG_001",2029,17.2668168356346
"Region1","COM_CWH_LPG_001",2030,17.2668168356346
"Region1","COM_CWH_LPG_001",2031,17.2668168356346
"Region1","COM_CWH_LPG_001",2032,17.2668168356346
"Region1","COM_CWH_LPG_001",2033,17.2668168356346
"Region1","COM_CWH_LPG_001",2034,17.2668168356346
"Region1","COM_CWH_LPG_001",2035,17.2668168356346
"Region1","COM_CWH_NGS_001",2018,12.1731720672067
"Region1","COM_CWH_NGS_001",2019,11.1587410641064
"Region1","COM_CWH_NGS_001",2020,10.1443100510051
"Region1","COM_CWH_NGS_001",2021,9.12987904890489
"Region1","COM_CWH_NGS_001",2022,8.11544804380438
"Region1","COM_CWH_NGS_001",2023,7.10101703770377
"Region1","COM_CWH_NGS_001",2024,6.08658603260326
"Region1","COM_CWH_NGS_001",2025,5.07215502750275
"Region1","COM_CWH_NGS_001",2026,4.05772402140214
"Region1","COM_CWH_NGS_001",2027,3.04329301630163
"Region1","COM_CWH_NGS_001",2028,2.02886201120112
"Region1","COM_CWH_NGS_001",2029,1.01443100510051
"Region1","COM_EL_APP_001",2018,446.954314720812
"Region1","COM_EL_APP_001",2019,484.318346627991
"Region1","COM_EL_APP_001",2020,524.818709209572
"Region1","COM_EL_APP_001",2021,568.709209572154
"Region1","COM_EL_APP_001",2022,616.261783901378
"Region1","COM_EL_APP_001",2023,667.802755620015
"Region1","COM_EL_APP_001",2024,723.640319071792
"Region1","COM_EL_APP_001",2025,784.173313995649
"Region1","COM_EL_APP_001",2026,849.746192893401
"Region1","COM_EL_APP_001",2027,920.794053662074
"Region1","COM_EL_APP_001",2028,997.806381435823
"Region1","COM_EL_APP_001",2029,1081.23640319072
"Region1","COM_EL_APP_001",2030,1171.66424945613
"Region1","COM_EL_APP_001",2031,1269.63379260334
"Region1","COM_EL_APP_001",2032,1375.81580855693
"Region1","COM_EL_APP_001",2033,1490.86294416244
"Region1","COM_EL_APP_001",2034,1615.53662073967
"Region1","COM_EL_APP_001",2035,1750.6345177665
"Region1","IMP_DSL",2018,1560.09447711106
"Region1","IMP_DSL",2019,1521.42058728376
"Region1","IMP_DSL",2020,1385.61795215966
"Region1","IMP_DSL",2021,1397.32756712444
"Region1","IMP_DSL",2022,1357.72819242989
"Region1","IMP_DSL",2023,1377.51532410592
"Region1","IMP_DSL",2024,1357.96471230783
"Region1","IMP_DSL",2025,1365.35770809973
"Region1","IMP_DSL",2026,1360.59584128689
"Region1","IMP_DSL",2027,1381.3681292133
"Region1","IMP_DSL",2028,1335.41596603061
"Region1","IMP_DSL",2029,1313.04231116133
"Region1","IMP_DSL",2030,1260.83458077083
"Region1","IMP_DSL",2031,1314.25534973316
"Region1","IMP_DSL",2032,1200.22783845773
"Region1","IMP_DSL",2033,1170.07066566481
"Region1","IMP_DSL",2034,1060.92454085754
"Region1","IMP_DSL",2035,1077.64888871536
"Region1","IMP_GSL",2018,721.408724568668
"Region1","IMP_GSL",2019,708.031009311879
"Region1","IMP_GSL",2020,679.001919856796
"Region1","IMP_GSL",2021,683.554762945266
"Region1","IMP_GSL",2022,687.541669800162
"Region1","IMP_GSL",2023,681.141415501116
"Region1","IMP_GSL",2024,666.450522069838
"Region1","IMP_GSL",2025,555.762407127691
"Region1","IMP_GSL",2026,555.762407127691
"Region1","IMP_GSL",2027,550.952037775721
"Region1","IMP_GSL",2028,555.762407127691
"Region1","IMP_GSL",2029,533.743700765657
"Region1","IMP_GSL",2030,469.99137318117
"Region1","IMP_GSL",2031,437.509031099111
"Region1","IMP_GSL",2032,383.585097378933
"Region1","IMP_GSL",2033,153.300703555427
"Region1","IMP_GSL",2034,99.5985313279326
"Region1","IMP_GSL",2035,45.1190115567236
"Region1","IMP_KER",2018,164.6058920738
"Region1","IMP_KER",2019,174.558180324749
"Region1","IMP_KER",2020,174.558180324748
"Region1","IMP_KER",2021,222.018643968226
"Region1","IMP_KER",2022,239.516977008231
"Region1","IMP_KER",2023,280.893356121363
"Region1","IMP_KER",2024,314.714700732154
"Region1","IMP_KER",2025,324.375685119327
