REGION,EMISSION,YEAR,VALUE
"Region1","CO2",2018,721.543683614846
"Region1","CO2",2019,746.697745046571
"Region1","CO2",2020,772.427039760436
"Region1","CO2",2021,813.651817328995
"Region1","CO2",2022,866.188987680469
"Region1","CO2",2023,912.115098562842
"Region1","CO2",2024,951
"Region1","CO2",2025,945
"Region1","CO2",2026,1003
"Region1","CO2",2027,1065
"Region1","CO2",2028,1129
"Region1","CO2",2029,1187
"Region1","CO2",2030,1248
"Region1","CO2",2031,1309
"Region1","CO2",2032,1373
"Region1","CO2",2033,1432.43603915299
"Region1","CO2",2034,1503.00282753192
"Region1","CO2",2035,1577
