REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
"Region1","BIODSL_PROD_001","CO2",2018,5.34433433691058
"Region1","BIODSL_PROD_001","CO2",2019,7.25410319413839
"Region1","BIODSL_PROD_001","CO2",2020,14.0091634947024
"Region1","BIODSL_PROD_001","CO2",2021,14.8078700511644
"Region1","BIODSL_PROD_001","CO2",2022,15.6475755753679
"Region1","BIODSL_PROD_001","CO2",2023,16.5738759614454
"Region1","BIODSL_PROD_001","CO2",2024,17.5977955772518
"Region1","BIODSL_PROD_001","CO2",2025,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2026,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2027,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2028,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2029,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2030,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2031,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2032,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2033,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2034,18.4836448141304
"Region1","BIODSL_PROD_001","CO2",2035,18.4836448141304
"Region1","BIOETH_PROD_001","CO2",2018,0.000604761583151984
"Region1","BIOETH_PROD_001","CO2",2019,0.918804286977348
"Region1","BIOETH_PROD_001","CO2",2020,2.25970626540154
"Region1","BIOETH_PROD_001","CO2",2021,2.25824479843946
"Region1","BIOETH_PROD_001","CO2",2022,2.27171033712746
"Region1","BIOETH_PROD_001","CO2",2023,2.25009386224769
"Region1","BIOETH_PROD_001","CO2",2024,2.20047625113715
"Region1","BIOETH_PROD_001","CO2",2025,4.10992601446564
"Region1","BIOETH_PROD_001","CO2",2026,4.10992601446564
"Region1","BIOETH_PROD_001","CO2",2027,4.07337086327137
"Region1","BIOETH_PROD_001","CO2",2028,4.01409370470137
"Region1","BIOETH_PROD_001","CO2",2029,3.75475516075528
"Region1","BIOETH_PROD_001","CO2",2030,3.45813134245787
"Region1","BIOETH_PROD_001","CO2",2031,3.24951180367451
"Region1","BIOETH_PROD_001","CO2",2032,2.87706876742959
"Region1","BIOETH_PROD_001","CO2",2033,1.16496883848655
"Region1","BIOETH_PROD_001","CO2",2034,0.75687314320848
"Region1","BIOETH_PROD_001","CO2",2035,0.342870197382316
"Region1","IMP_DSL","CO2",2018,116.059421994153
"Region1","IMP_DSL","CO2",2019,113.182372324743
"Region1","IMP_DSL","CO2",2020,103.079666643114
"Region1","IMP_DSL","CO2",2021,102.235968882777
"Region1","IMP_DSL","CO2",2022,101.004876019032
"Region1","IMP_DSL","CO2",2023,100.13973196826
"Region1","IMP_DSL","CO2",2024,101.022471338243
"Region1","IMP_DSL","CO2",2025,101.572455221271
"Region1","IMP_DSL","CO2",2026,99.9134900005404
"Region1","IMP_DSL","CO2",2027,97.1965370834251
"Region1","IMP_DSL","CO2",2028,95.6268453309404
"Region1","IMP_DSL","CO2",2029,91.9407059515755
"Region1","IMP_DSL","CO2",2030,87.5598614902867
"Region1","IMP_DSL","CO2",2031,84.6418613147904
"Region1","IMP_DSL","CO2",2032,82.0097363372086
"Region1","IMP_DSL","CO2",2033,79.2502200465468
"Region1","IMP_DSL","CO2",2034,75.5125894745563
"Region1","IMP_DSL","CO2",2035,72.0199212344821
"Region1","IMP_GSL","CO2",2018,52.3690354168355
"Region1","IMP_GSL","CO2",2019,51.3979109709148
"Region1","IMP_GSL","CO2",2020,49.2906098276652
"Region1","IMP_GSL","CO2",2021,49.6211131822473
"Region1","IMP_GSL","CO2",2022,49.910533674969
"Region1","IMP_GSL","CO2",2023,49.4459216787045
"Region1","IMP_GSL","CO2",2024,48.37946947148
"Region1","IMP_GSL","CO2",2025,40.3443159223946
"Region1","IMP_GSL","CO2",2026,40.3443159223946
"Region1","IMP_GSL","CO2",2027,39.9951180307231
"Region1","IMP_GSL","CO2",2028,39.428865173857
"Region1","IMP_GSL","CO2",2029,36.9514996093228
"Region1","IMP_GSL","CO2",2030,34.1179615555836
"Region1","IMP_GSL","CO2",2031,31.7599793422297
"Region1","IMP_GSL","CO2",2032,27.8454932419036
"Region1","IMP_GSL","CO2",2033,11.1285181150162
"Region1","IMP_GSL","CO2",2034,7.23013028907048
"Region1","IMP_GSL","CO2",2035,3.27531267499423
"Region1","IMP_KER","CO2",2018,11.5735305675407
"Region1","IMP_KER","CO2",2019,11.8162313541795
"Region1","IMP_KER","CO2",2020,12.0933591543983
"Region1","IMP_KER","CO2",2021,12.4071538443433
"Region1","IMP_KER","CO2",2022,12.7345925594384
"Region1","IMP_KER","CO2",2023,13.1219237707261
"Region1","IMP_KER","CO2",2024,13.4402000704505
"Region1","IMP_KER","CO2",2025,13.846625278076
"Region1","IMP_KER","CO2",2026,14.6152650857196
"Region1","IMP_KER","CO2",2027,14.9695918236958
"Region1","IMP_KER","CO2",2028,15.8516385678106
"Region1","IMP_KER","CO2",2029,15.8777792113151
"Region1","IMP_KER","CO2",2030,16.1010219452161
"Region1","IMP_KER","CO2",2031,17.0896796817584
"Region1","IMP_KER","CO2",2032,18.1443145620882
"Region1","IMP_KER","CO2",2033,19.2692187202742
"Region1","IMP_KER","CO2",2034,20.5449231962876
"Region1","IMP_KER","CO2",2035,21.7484182216134
"Region1","IMP_LPG","CO2",2018,20.6778459177588
"Region1","IMP_LPG","CO2",2019,18.9546920859154
"Region1","IMP_LPG","CO2",2020,17.2315382649883
"Region1","IMP_LPG","CO2",2021,15.5083844327663
"Region1","IMP_LPG","CO2",2022,13.7852306120285
"Region1","IMP_LPG","CO2",2023,12.0620767797434
"Region1","IMP_LPG","CO2",2024,10.3389229590056
"Region1","IMP_LPG","CO2",2025,8.6157691325257
"Region1","IMP_LPG","CO2",2026,6.8926153059827
"Region1","IMP_LPG","CO2",2027,5.1694614795028
"Region1","IMP_LPG","CO2",2028,3.4463076529598
"Region1","IMP_LPG","CO2",2029,1.7231538264799
"Region1","MIN_BIO","CO2",2018,100.984500540749
"Region1","MIN_BIO","CO2",2019,114.098529035334
"Region1","MIN_BIO","CO2",2020,126.341730813787
"Region1","MIN_BIO","CO2",2021,147.423312931747
"Region1","MIN_BIO","CO2",2022,159.65954921827
"Region1","MIN_BIO","CO2",2023,172.193252986005
"Region1","MIN_BIO","CO2",2024,161.080244692586
"Region1","MIN_BIO","CO2",2025,169.554811514981
"Region1","MIN_BIO","CO2",2026,162.607168529278
"Region1","MIN_BIO","CO2",2027,157.0621086255
"Region1","MIN_BIO","CO2",2028,180.6
"Region1","MIN_BIO","CO2",2029,180.6
"Region1","MIN_BIO","CO2",2030,180.6
"Region1","MIN_BIO","CO2",2031,177.363858083924
"Region1","MIN_BIO","CO2",2032,177.769927377252
"Region1","MIN_BIO","CO2",2033,180.6
"Region1","MIN_BIO","CO2",2034,180.6
"Region1","MIN_BIO","CO2",2035,180.6
"Region1","MIN_COA","CO2",2018,352.58461453348
"Region1","MIN_COA","CO2",2019,357.304209608551
"Region1","MIN_COA","CO2",2020,364.447948130485
"Region1","MIN_COA","CO2",2021,377.042383403277
"Region1","MIN_COA","CO2",2022,409.995295343441
"Region1","MIN_COA","CO2",2023,445.072215488783
"Region1","MIN_COA","CO2",2024,495.911967504787
"Region1","MIN_COA","CO2",2025,460.523507888818
"Region1","MIN_COA","CO2",2026,507.265602298179
"Region1","MIN_COA","CO2",2027,564.747733347577
"Region1","MIN_COA","CO2",2028,598.601160386251
"Region1","MIN_COA","CO2",2029,658.732762440333
"Region1","MIN_COA","CO2",2030,729.160522907429
"Region1","MIN_COA","CO2",2031,795.933923324936
"Region1","MIN_COA","CO2",2032,863.463452669948
"Region1","MIN_COA","CO2",2033,931.662830057102
"Region1","MIN_COA","CO2",2034,1000.5626511748
"Region1","MIN_COA","CO2",2035,1070.966905929
"Region1","MIN_LIG","CO2",2021,6.30618552525931
"Region1","MIN_LIG","CO2",2022,15.3150219899155
"Region1","MIN_LIG","CO2",2023,15.5926187732145
"Region1","MIN_LIG","CO2",2024,15.5926187732145
"Region1","MIN_LIG","CO2",2025,15.5926187732145
"Region1","MIN_LIG","CO2",2026,25.4660842611711
"Region1","MIN_LIG","CO2",2027,33.4700644804022
"Region1","MIN_LIG","CO2",2028,42.7168995699113
"Region1","MIN_LIG","CO2",2029,42.7168995699113
"Region1","MIN_LIG","CO2",2030,42.7168995699113
"Region1","MIN_LIG","CO2",2031,42.7168995699113
"Region1","MIN_LIG","CO2",2032,42.7168995699113
"Region1","MIN_LIG","CO2",2033,42.7168995699113
"Region1","MIN_LIG","CO2",2034,42.7168995699113
"Region1","MIN_LIG","CO2",2035,42.7168995699113
"Region1","MIN_NGS","CO2",2018,55.5220757103025
"Region1","MIN_NGS","CO2",2019,65.4553254268411
"Region1","MIN_NGS","CO2",2020,77.4899050327931
"Region1","MIN_NGS","CO2",2021,80.0113959167933
"Region1","MIN_NGS","CO2",2022,80.0113959167933
"Region1","MIN_NGS","CO2",2023,80.0113959167933
"Region1","MIN_NGS","CO2",2024,80.0113959167933
"Region1","MIN_NGS","CO2",2025,107.187602346856
"Region1","MIN_NGS","CO2",2026,118.418966082851
"Region1","MIN_NGS","CO2",2027,125.267373513436
"Region1","MIN_NGS","CO2",2028,126.017752710656
"Region1","MIN_NGS","CO2",2029,132.394765650785
"Region1","MIN_NGS","CO2",2030,132.405640819003
"Region1","MIN_NGS","CO2",2031,134.219356901232
"Region1","MIN_NGS","CO2",2032,136.002984805017
"Region1","MIN_NGS","CO2",2033,144.322115544351
"Region1","MIN_NGS","CO2",2034,152.600149861458
"Region1","MIN_NGS","CO2",2035,162.687267743629
"Region1","MIN_OIL","CO2",2018,6.4277198355333
"Region1","MIN_OIL","CO2",2019,6.31556675897767
"Region1","MIN_OIL","CO2",2020,6.18341213310093
"Region1","MIN_OIL","CO2",2021,6.02980436018047
"Region1","MIN_OIL","CO2",2022,5.85320643408479
"Region1","MIN_OIL","CO2",2023,5.65199137691979
"Region1","MIN_OIL","CO2",2024,5.42443744505158
"Region1","MIN_OIL","CO2",2025,5.16872309326556
"Region1","MIN_OIL","CO2",2026,4.88292168528796
"Region1","MIN_OIL","CO2",2027,4.56499593833642
"Region1","MIN_OIL","CO2",2028,4.21279208878188
"Region1","MIN_OIL","CO2",2029,3.82403376539153
"Region1","MIN_OIL","CO2",2030,3.39631555598193
"Region1","MIN_OIL","CO2",2031,3.54128516341194
"Region1","MIN_OIL","CO2",2032,3.68647785511184
