REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,707.052325602143
"Region1","BIO_RESPRD",2019,959.713635082651
"Region1","BIO_RESPRD",2020,1853.40418548663
"Region1","BIO_RESPRD",2021,1959.07259854228
"Region1","BIO_RESPRD",2022,2070.16515119351
"Region1","BIO_RESPRD",2023,2192.71415372483
"Region1","BIO_RESPRD",2024,2328.17812359391
"Region1","BIO_RESPRD",2025,2445.37546260432
"Region1","BIO_RESPRD",2026,2445.37546260432
"Region1","BIO_RESPRD",2027,2445.37546260432
"Region1","BIO_RESPRD",2028,2445.37546260433
"Region1","BIO_RESPRD",2029,2445.37546260432
"Region1","BIO_RESPRD",2030,2445.37546260432
"Region1","BIO_RESPRD",2031,2445.37546260432
"Region1","BIO_RESPRD",2032,2445.37546260432
"Region1","BIO_RESPRD",2033,2445.37546260433
"Region1","BIO_RESPRD",2034,2445.37546260433
"Region1","BIO_RESPRD",2035,2445.37546260432
"Region1","BIO_RESPRD2",2018,0.126130587686136
"Region1","BIO_RESPRD2",2019,191.628119102713
"Region1","BIO_RESPRD2",2020,471.289987977808
"Region1","BIO_RESPRD2",2021,470.985180774529
"Region1","BIO_RESPRD2",2022,473.793587187145
"Region1","BIO_RESPRD2",2023,469.285201145034
"Region1","BIO_RESPRD2",2024,458.936828127793
"Region1","BIO_RESPRD2",2025,857.17644439199
"Region1","BIO_RESPRD2",2026,857.176444391989
"Region1","BIO_RESPRD2",2027,849.552410671035
"Region1","BIO_RESPRD2",2028,837.18941828678
"Region1","BIO_RESPRD2",2029,783.101123215098
"Region1","BIO_RESPRD2",2030,721.236518111369
"Region1","BIO_RESPRD2",2031,677.726305553864
"Region1","BIO_RESPRD2",2032,600.048654807033
"Region1","BIO_RESPRD2",2033,242.96881337685
"Region1","BIO_RESPRD2",2034,157.855354930418
"Region1","BIO_RESPRD2",2035,71.5098655415494
"Region1","BIODSL_PROD_001",2018,299.32415181534
"Region1","BIODSL_PROD_001",2019,406.286012229844
"Region1","BIODSL_PROD_001",2020,784.62175386996
"Region1","BIODSL_PROD_001",2021,829.355512555527
"Region1","BIODSL_PROD_001",2022,876.385531256069
"Region1","BIODSL_PROD_001",2023,928.26553349956
