REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,0.0199189588142517
"Region1","BIO_RESPRD",2019,0.0270368905927959
"Region1","BIO_RESPRD",2020,0.0522137899842556
"Region1","BIO_RESPRD",2021,0.055190662687178
"Region1","BIO_RESPRD",2022,0.0583203433355592
"Region1","BIO_RESPRD",2023,0.0617727731568885
"Region1","BIO_RESPRD",2024,0.0655890412588841
"Region1","BIO_RESPRD",2025,0.068890704918501
"Region1","BIO_RESPRD",2026,0.068890704918501
"Region1","BIO_RESPRD",2027,0.068890704918501
"Region1","BIO_RESPRD",2028,0.068890704918501
"Region1","BIO_RESPRD",2029,0.068890704918501
"Region1","BIO_RESPRD",2030,0.068890704918501
"Region1","BIO_RESPRD",2031,0.068890704918501
"Region1","BIO_RESPRD",2032,0.068890704918501
"Region1","BIO_RESPRD",2033,0.0688907049185011
"Region1","BIO_RESPRD",2034,0.068890704918501
"Region1","BIO_RESPRD",2035,0.068890704918501
"Region1","BIO_RESPRD2",2018,3.55332963398131e-06
"Region1","BIO_RESPRD2",2019,0.00539851503749567
"Region1","BIO_RESPRD2",2020,0.013277102019436
"Region1","BIO_RESPRD2",2021,0.0132685150423361
"Region1","BIO_RESPRD2",2022,0.0133476329939232
"Region1","BIO_RESPRD2",2023,0.0132206235030555
"Region1","BIO_RESPRD2",2024,0.0129290908845192
"Region1","BIO_RESPRD2",2025,0.0241482301580014
"Region1","BIO_RESPRD2",2026,0.0241482301580014
"Region1","BIO_RESPRD2",2027,0.0239334471664359
"Region1","BIO_RESPRD2",2028,0.0241482301580014
"Region1","BIO_RESPRD2",2029,0.0231650949189366
"Region1","BIO_RESPRD2",2030,0.0203185534922893
"Region1","BIO_RESPRD2",2031,0.0190927911257003
"Region1","BIO_RESPRD2",2032,0.0169044694555944
"Region1","BIO_RESPRD2",2033,0.00684487641374983
"Region1","BIO_RESPRD2",2034,0.00444707442379219
"Region1","BIO_RESPRD2",2035,0.00201456386600771
"Region1","BIODSL_PROD_001",2018,2589.56822858186
"Region1","BIODSL_PROD_001",2019,925.368145936593
"Region1","BIODSL_PROD_001",2020,3273.1278460036
"Region1","BIODSL_PROD_001",2021,387.008931737175
"Region1","BIODSL_PROD_001",2022,406.87475927993
"Region1","BIODSL_PROD_001",2023,448.833830126011
"Region1","BIODSL_PROD_001",2024,496.134698647369
"Region1","BIODSL_PROD_001",2025,429.233445088009
"Region1","BIOETH_PROD_001",2018,0.49738656690674
"Region1","BIOETH_PROD_001",2019,755.17381129083
"Region1","BIOETH_PROD_001",2020,1102.82572535558
"Region1","BIOETH_PROD_001",2022,9.87275678712695
"Region1","BIOETH_PROD_001",2025,1511.84170829762
"Region1","COM_CWH_BIO_001",2018,0.0025355310180018
"Region1","COM_CWH_BIO_001",2019,0.00386776045534553
"Region1","COM_CWH_BIO_001",2020,0.00526299945964597
"Region1","COM_CWH_BIO_001",2021,0.00672642767136714
"Region1","COM_CWH_BIO_001",2022,0.00826365056185619
"Region1","COM_CWH_BIO_001",2023,0.0114614226288863
"Region1","COM_CWH_BIO_001",2024,0.0219086166169851
"Region1","COM_CWH_BIO_001",2025,0.0166313809504041
"Region1","COM_CWH_BIO_001",2026,0.0229193148124812
"Region1","COM_CWH_BIO_001",2027,0.0326945588674106
"Region1","COM_CWH_BIO_001",2028,0.019413685130313
"Region1","COM_CWH_BIO_001",2029,0.0269312002747048
"Region1","COM_CWH_BIO_001",2030,0.0360926773477348
"Region1","COM_CWH_BIO_001",2031,0.0552571424235993
"Region1","COM_CWH_BIO_001",2032,0.0422705296729673
"Region1","COM_CWH_BIO_001",2033,0.0576770426517874
"Region1","COM_CWH_BIO_001",2034,0.0700351894949066
"Region1","COM_CWH_BIO_001",2035,0.0675494122943068
"Region1","COM_CWH_DSL_001",2018,0.00484749768213457
"Region1","COM_CWH_DSL_001",2021,0.000374122457697769
"Region1","COM_CWH_KER_001",2018,0.000577540746392276
"Region1","COM_CWH_LPG_001",2018,0.00109558548554856
"Region1","COM_CWH_LPG_001",2019,0.00029122057300689
"Region1","COM_CWH_LPG_001",2020,0.00033987562500801
"Region1","COM_CWH_NGS_001",2018,0.00121731720672067
"Region1","COM_CWH_NGS_001",2019,0.00111587410641064
"Region1","COM_CWH_NGS_001",2020,0.00101443100510051
"Region1","COM_CWH_NGS_001",2021,0.000912987904890489
"Region1","COM_CWH_NGS_001",2022,0.000811544804380438
"Region1","COM_CWH_NGS_001",2023,0.000710101703770377
"Region1","COM_CWH_NGS_001",2024,0.000608658603260326
"Region1","COM_CWH_NGS_001",2025,0.000507215502750275
"Region1","COM_CWH_NGS_001",2026,0.000405772402140214
"Region1","COM_CWH_NGS_001",2027,0.000304329301630163
"Region1","COM_CWH_NGS_001",2028,0.000202886201120112
"Region1","COM_CWH_NGS_001",2029,0.000101443100510051
"Region1","COM_EL_APP_001",2018,0.0446954314720812
"Region1","COM_EL_APP_001",2019,0.00373640319071791
"Region1","COM_EL_APP_001",2020,0.00405003625815807
"Region1","COM_EL_APP_001",2021,0.00438905003625817
"Region1","COM_EL_APP_001",2022,0.00475525743292242
"Region1","COM_EL_APP_001",2023,0.00515409717186366
"Region1","COM_EL_APP_001",2024,0.00558375634517769
"Region1","COM_EL_APP_001",2025,0.00605329949238577
"Region1","COM_EL_APP_001",2026,0.00655728788977519
"Region1","COM_EL_APP_001",2027,0.00710478607686727
"Region1","COM_EL_APP_001",2028,0.0523966642494561
"Region1","COM_EL_APP_001",2029,0.0120794053662075
"Region1","COM_EL_APP_001",2030,0.013092820884699
"Region1","COM_EL_APP_001",2031,0.014186004350979
"Region1","COM_EL_APP_001",2032,0.0153734590282814
"Region1","COM_EL_APP_001",2033,0.0166588107324148
"Region1","COM_EL_APP_001",2034,0.0180511240029007
"Region1","COM_EL_APP_001",2035,0.0195630891950689
