REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,199.189588142517
"Region1","BIO_RESPRD",2019,270.368905927959
"Region1","BIO_RESPRD",2020,522.137899842556
"Region1","BIO_RESPRD",2021,551.90662687178
"Region1","BIO_RESPRD",2022,583.203433355592
"Region1","BIO_RESPRD",2023,617.727731568885
"Region1","BIO_RESPRD",2024,655.890412588841
"Region1","BIO_RESPRD",2025,688.90704918501
"Region1","BIO_RESPRD",2026,688.90704918501
"Region1","BIO_RESPRD",2027,688.90704918501
"Region1","BIO_RESPRD",2028,688.90704918501
"Region1","BIO_RESPRD",2029,688.90704918501
"Region1","BIO_RESPRD",2030,688.90704918501
"Region1","BIO_RESPRD",2031,688.90704918501
"Region1","BIO_RESPRD",2032,688.90704918501
"Region1","BIO_RESPRD",2033,688.907049185011
"Region1","BIO_RESPRD",2034,688.90704918501
"Region1","BIO_RESPRD",2035,688.90704918501
"Region1","BIO_RESPRD2",2018,0.0355332963398131
"Region1","BIO_RESPRD2",2019,53.9851503749567
"Region1","BIO_RESPRD2",2020,132.77102019436
"Region1","BIO_RESPRD2",2021,132.685150423361
"Region1","BIO_RESPRD2",2022,133.476329939232
"Region1","BIO_RESPRD2",2023,132.206235030555
"Region1","BIO_RESPRD2",2024,129.290908845192
"Region1","BIO_RESPRD2",2025,241.482301580014
"Region1","BIO_RESPRD2",2026,241.482301580014
"Region1","BIO_RESPRD2",2027,239.334471664359
"Region1","BIO_RESPRD2",2028,241.482301580014
"Region1","BIO_RESPRD2",2029,231.650949189366
"Region1","BIO_RESPRD2",2030,203.185534922892
"Region1","BIO_RESPRD2",2031,190.927911257003
"Region1","BIO_RESPRD2",2032,169.044694555944
"Region1","BIO_RESPRD2",2033,68.4487641374983
"Region1","BIO_RESPRD2",2034,44.4707442379219
"Region1","BIO_RESPRD2",2035,20.1456386600771
"Region1","BIODSL_PROD_001",2018,103.582729143274
"Region1","BIODSL_PROD_001",2019,37.0147258374637
"Region1","BIODSL_PROD_001",2020,130.925113840144
"Region1","BIODSL_PROD_001",2021,15.480357269487
"Region1","BIODSL_PROD_001",2022,16.2749903711972
"Region1","BIODSL_PROD_001",2023,17.9533532050405
"Region1","BIODSL_PROD_001",2024,19.8453879458948
"Region1","BIODSL_PROD_001",2025,17.1693378035204
"Region1","BIOETH_PROD_001",2018,0.0198954626762696
"Region1","BIOETH_PROD_001",2019,30.2069524516332
"Region1","BIOETH_PROD_001",2020,44.1130290142234
"Region1","BIOETH_PROD_001",2022,0.394910271485078
"Region1","BIOETH_PROD_001",2025,60.4736683319049
"Region1","COM_CWH_BIO_001",2018,25.3553101800179
"Region1","COM_CWH_BIO_001",2019,38.6776045534553
"Region1","COM_CWH_BIO_001",2020,52.6299945964597
"Region1","COM_CWH_BIO_001",2021,67.2642767136714
"Region1","COM_CWH_BIO_001",2022,82.6365056185619
"Region1","COM_CWH_BIO_001",2023,114.614226288863
"Region1","COM_CWH_BIO_001",2024,219.086166169851
"Region1","COM_CWH_BIO_001",2025,166.313809504041
"Region1","COM_CWH_BIO_001",2026,229.193148124812
"Region1","COM_CWH_BIO_001",2027,326.945588674106
"Region1","COM_CWH_BIO_001",2028,194.13685130313
"Region1","COM_CWH_BIO_001",2029,269.312002747048
"Region1","COM_CWH_BIO_001",2030,360.926773477348
"Region1","COM_CWH_BIO_001",2031,552.571424235993
"Region1","COM_CWH_BIO_001",2032,422.705296729673
"Region1","COM_CWH_BIO_001",2033,576.770426517874
"Region1","COM_CWH_BIO_001",2034,700.351894949066
"Region1","COM_CWH_BIO_001",2035,675.494122943068
"Region1","COM_CWH_DSL_001",2018,48.4749768213457
"Region1","COM_CWH_DSL_001",2021,3.74122457697769
"Region1","COM_CWH_KER_001",2018,5.77540746392276
"Region1","COM_CWH_LPG_001",2018,10.9558548554856
"Region1","COM_CWH_LPG_001",2019,2.9122057300689
"Region1","COM_CWH_LPG_001",2020,3.3987562500801
"Region1","COM_CWH_NGS_001",2018,12.1731720672067
"Region1","COM_CWH_NGS_001",2019,11.1587410641064
"Region1","COM_CWH_NGS_001",2020,10.1443100510051
"Region1","COM_CWH_NGS_001",2021,9.12987904890489
"Region1","COM_CWH_NGS_001",2022,8.11544804380438
"Region1","COM_CWH_NGS_001",2023,7.10101703770377
"Region1","COM_CWH_NGS_001",2024,6.08658603260326
"Region1","COM_CWH_NGS_001",2025,5.07215502750275
"Region1","COM_CWH_NGS_001",2026,4.05772402140214
"Region1","COM_CWH_NGS_001",2027,3.04329301630163
"Region1","COM_CWH_NGS_001",2028,2.02886201120112
"Region1","COM_CWH_NGS_001",2029,1.01443100510051
"Region1","COM_EL_APP_001",2018,446.954314720812
"Region1","COM_EL_APP_001",2019,37.3640319071791
"Region1","COM_EL_APP_001",2020,40.5003625815807
"Region1","COM_EL_APP_001",2021,43.8905003625817
"Region1","COM_EL_APP_001",2022,47.5525743292242
"Region1","COM_EL_APP_001",2023,51.5409717186366
"Region1","COM_EL_APP_001",2024,55.8375634517769
"Region1","COM_EL_APP_001",2025,60.5329949238577
"Region1","COM_EL_APP_001",2026,65.5728788977519
"Region1","COM_EL_APP_001",2027,71.0478607686727
"Region1","COM_EL_APP_001",2028,523.966642494561
"Region1","COM_EL_APP_001",2029,120.794053662075
"Region1","COM_EL_APP_001",2030,130.92820884699
"Region1","COM_EL_APP_001",2031,141.86004350979
"Region1","COM_EL_APP_001",2032,153.734590282814
"Region1","COM_EL_APP_001",2033,166.588107324148
"Region1","COM_EL_APP_001",2034,180.511240029007
"Region1","COM_EL_APP_001",2035,195.630891950689
"Region1","IMP_DSL",2018,1560.09447711106
"Region1","IMP_DSL",2019,1521.42058728376
"Region1","IMP_DSL",2020,1385.61795215966
"Region1","IMP_DSL",2021,1397.32756712444
"Region1","IMP_DSL",2022,1357.72819242989
"Region1","IMP_DSL",2023,1377.51532410592
"Region1","IMP_DSL",2024,1357.96471230783
"Region1","IMP_DSL",2025,1365.35770809973
"Region1","IMP_DSL",2026,1360.59584128689
"Region1","IMP_DSL",2027,1381.3681292133
"Region1","IMP_DSL",2028,1335.41596603061
"Region1","IMP_DSL",2029,1313.04231116133
"Region1","IMP_DSL",2030,1260.83458077083
"Region1","IMP_DSL",2031,1314.25534973316
"Region1","IMP_DSL",2032,1200.22783845773
"Region1","IMP_DSL",2033,1170.07066566481
"Region1","IMP_DSL",2034,1060.92454085754
"Region1","IMP_DSL",2035,1077.64888871536
"Region1","IMP_GSL",2018,721.408724568668
"Region1","IMP_GSL",2019,708.031009311879
"Region1","IMP_GSL",2020,679.001919856796
"Region1","IMP_GSL",2021,683.554762945266
"Region1","IMP_GSL",2022,687.541669800162
"Region1","IMP_GSL",2023,681.141415501116
"Region1","IMP_GSL",2024,666.450522069838
"Region1","IMP_GSL",2025,555.762407127691
"Region1","IMP_GSL",2026,555.762407127691
"Region1","IMP_GSL",2027,550.952037775721
"Region1","IMP_GSL",2028,555.762407127691
"Region1","IMP_GSL",2029,533.743700765657
"Region1","IMP_GSL",2030,469.99137318117
"Region1","IMP_GSL",2031,437.509031099111
"Region1","IMP_GSL",2032,383.585097378933
"Region1","IMP_GSL",2033,153.300703555427
"Region1","IMP_GSL",2034,99.5985313279326
"Region1","IMP_GSL",2035,45.1190115567236
"Region1","IMP_KER",2018,164.6058920738
"Region1","IMP_KER",2019,174.558180324749
"Region1","IMP_KER",2020,174.558180324748
"Region1","IMP_KER",2021,222.018643968226
"Region1","IMP_KER",2022,239.516977008231
"Region1","IMP_KER",2023,280.893356121363
"Region1","IMP_KER",2024,314.714700732154
"Region1","IMP_KER",2025,324.375685119327
"Region1","IMP_KER",2026,451.381389463231
"Region1","IMP_KER",2027,488.364632952134
"Region1","IMP_KER",2028,306.957796972262
"Region1","IMP_KER",2029,380.591080374664
"Region1","IMP_KER",2030,483.75710691706
"Region1","IMP_KER",2031,322.83309906588
"Region1","IMP_KER",2032,531.6770483931
"Region1","IMP_KER",2033,489.196000548687
"Region1","IMP_KER",2034,644.58653582134
"Region1","IMP_KER",2035,437.680796974579
"Region1","IMP_LPG",2018,327.732391587159
"Region1","IMP_LPG",2019,300.421358869887
"Region1","IMP_LPG",2020,313.662233094861
"Region1","IMP_LPG",2021,285.121477578886
"Region1","IMP_LPG",2022,218.488261061106
"Region1","IMP_LPG",2023,191.177228336834
"Region1","IMP_LPG",2024,163.86619579558
"Region1","IMP_LPG",2025,188.567197413341
"Region1","IMP_LPG",2026,109.244130530053
"Region1","IMP_LPG",2027,109.403030275888
"Region1","IMP_LPG",2028,54.6220652645264
"Region1","IMP_LPG",2029,69.8779465941658
"Region1","IND_BIO_AUTOPRD",2018,58.1738673557357
"Region1","IND_BIO_AUTOPRD",2019,66.3975066506651
"Region1","IND_BIO_AUTOPRD",2020,72.7988484348435
"Region1","IND_BIO_AUTOPRD",2021,79.6929704470447
"Region1","IND_BIO_AUTOPRD",2022,87.1141658165816
"Region1","IND_BIO_AUTOPRD",2023,95.0989806980699
"Region1","IND_BIO_AUTOPRD",2024,143.179102472034
"Region1","IND_BIO_AUTOPRD",2025,130.982007946636
"Region1","IND_BIO_AUTOPRD",2026,142.488597389791
"Region1","IND_BIO_AUTOPRD",2027,133.492447594759
"Region1","IND_BIO_AUTOPRD",2028,168.118795823666
"Region1","IND_BIO_AUTOPRD",2029,297.326389445811
"Region1","IND_BIO_AUTOPRD",2030,170.387152865287
"Region1","IND_BIO_AUTOPRD",2031,276.777475622562
"Region1","IND_BIO_AUTOPRD",2032,377.624596273879
"Region1","IND_BIO_AUTOPRD",2033,268.352323555003
"Region1","IND_BIO_AUTOPRD",2034,441.253609797617
"Region1","IND_BIO_AUTOPRD",2035,251.95697329733
"Region1","IND_CHEM_BIO_001",2018,50.0778099309934
"Region1","IND_CHEM_BIO_001",2019,8.16004992555266
"Region1","IND_CHEM_BIO_001",2020,20.6865493168982
"Region1","IND_CHEM_BIO_001",2021,5.22878233630831
"Region1","IND_CHEM_BIO_001",2022,86.6854374564748
"Region1","IND_CHEM_BIO_001",2024,144.624278542761
"Region1","IND_CHEM_BIO_001",2025,16.7500537166634
"Region1","IND_CHEM_COA_001",2018,279.714286820145
"Region1","IND_CHEM_COA_001",2019,27.7211249032696
"Region1","IND_CHEM_COA_001",2020,43.2397082392953
"Region1","IND_CHEM_COA_001",2021,35.3834757986327
"Region1","IND_CHEM_COA_001",2023,10.5993833416017
"Region1","IND_CHEM_COA_001",2024,31.383788455749
"Region1","IND_CHEM_COA_001",2026,71.3182653453438
"Region1","IND_CHEM_COA_001",2027,96.5924008329455
"Region1","IND_CHEM_COA_001",2028,270.58290558122
"Region1","IND_CHEM_COA_001",2029,139.144418092798
"Region1","IND_CHEM_COA_001",2030,24.9328909797543
"Region1","IND_CHEM_COA_001",2031,206.441875535857
"Region1","IND_CHEM_DSL_001",2018,68.6942566626723
"Region1","IND_CHEM_DSL_001",2021,0.504559352961098
"Region1","IND_CHEM_ELC_001",2018,165.09168109811
"Region1","IND_CHEM_ELC_001",2019,8.76583090309032
"Region1","IND_CHEM_ELC_001",2020,9.23126795679567
"Region1","IND_CHEM_ELC_001",2023,1.86025613861998
"Region1","IND_CHEM_ELC_001",2025,28.0374810477035
"Region1","IND_CHEM_ELC_001",2027,169.915925495233
"Region1","IND_CHEM_ELC_001",2028,47.2441350596108
"Region1","IND_CHEM_ELC_001",2032,72.1973365169725
"Region1","IND_CHEM_ELC_001",2033,243.298796257785
"Region1","IND_CHEM_NGS_001",2018,222.56804410441
"Region1","IND_CHEM_NGS_001",2019,186.383115683379
