REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2018,27.468244204853
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2019,37.2838721274656
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2020,72.0028163882885
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2021,76.1079238456184
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2022,80.4237534597362
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2023,85.1846541833492
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2024,90.4472878960011
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2025,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2026,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2027,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2028,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2029,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2030,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2031,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2032,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2033,95.000282082613
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2034,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2035,95.0002820826129
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2018,0.00490004156526022
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2019,7.44455223670653
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2020,18.3091236848022
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2021,18.2972822433814
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2022,18.4063858986201
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2023,18.2312398107135
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2024,17.829216329752
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2025,33.300409387884
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2026,33.300409387884
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2027,33.0042236425152
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2028,32.3997163059885
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2029,30.1791750029963
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2030,28.0192852658668
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2031,26.3289589623407
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2032,23.3112633792646
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2033,9.43908457456101
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2034,6.13251563040943
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2035,2.77808357122463
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2018,14.2840583488575
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2019,19.3883890418438
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2020,37.4429622403996
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2021,39.5777035078619
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2022,41.82202468005
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2023,44.2977920870251
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2024,47.034471084764
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2025,49.4021227678694
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2026,49.4021227678694
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2027,49.4021227678694
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2028,49.4021227678694
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2029,49.4021227678694
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2030,49.4021227678694
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2031,49.4021227678694
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2032,49.4021227678694
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2033,49.4021227678695
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2034,49.4021227678694
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2035,49.4021227678694
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2018,0.00274358430305723
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2019,4.16828232738327
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2020,10.2514690284447
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2021,10.2448388820725
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2022,10.3059271548825
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2023,10.2078610362338
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2024,9.98276390243674
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2025,18.6452460178522
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2026,18.6452460178522
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2027,18.479408534443
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2028,18.1409385811805
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2029,16.8976343801771
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2030,15.6882896225458
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2031,14.7418583215794
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2032,13.0522191373262
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2033,5.28504175507336
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2034,3.43365936753048
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2035,1.55547792341805
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2018,3.49649727382447
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2019,5.33364166792149
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2020,7.25767625485179
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2021,9.27574375881528
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2022,11.3955741247997
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2024,30.2119823148224
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2025,22.9346743306072
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2026,31.6057351264116
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2027,45.0857966781592
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2028,26.7714717947017
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2029,37.1381251788179
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2030,49.7718020625262
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2031,76.1995994021435
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2032,58.2910604190219
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2033,79.5366418168148
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2034,96.5785263134762
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2035,93.150639553849
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2019,6.68469930366357
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2020,3.76192261303461
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2021,7.2006141728288
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2022,7.20061417282879
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2018,0.796428689274948
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2020,0.432327192292414
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2021,0.796428689274948
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2022,0.796428689274948
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2018,1.51081238457145
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2019,1.91240555474796
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2023,2.38109404163401
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2028,1.77062080628376
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2018,1.67868042806781
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2019,1.53879039274027
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2020,1.3989003560336
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2021,1.25901032084398
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2022,1.11912028524062
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2023,0.97923024949935
