REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","BIO_RESPRD","BIO_OIL",2018,199.169669183702
"Region1","BIO_RESPRD","BIO_OIL",2019,270.341869037367
"Region1","BIO_RESPRD","BIO_OIL",2020,522.085686052572
"Region1","BIO_RESPRD","BIO_OIL",2021,551.851436209093
"Region1","BIO_RESPRD","BIO_OIL",2022,583.145113012256
"Region1","BIO_RESPRD","BIO_OIL",2023,617.665958795728
"Region1","BIO_RESPRD","BIO_OIL",2024,655.824823547581
"Region1","BIO_RESPRD","BIO_OIL",2025,688.838158480091
"Region1","BIO_RESPRD","BIO_OIL",2026,688.838158480091
"Region1","BIO_RESPRD","BIO_OIL",2027,688.838158480091
"Region1","BIO_RESPRD","BIO_OIL",2028,688.838158480092
"Region1","BIO_RESPRD","BIO_OIL",2029,688.838158480091
"Region1","BIO_RESPRD","BIO_OIL",2030,688.838158480091
"Region1","BIO_RESPRD","BIO_OIL",2031,688.838158480091
"Region1","BIO_RESPRD","BIO_OIL",2032,688.838158480091
"Region1","BIO_RESPRD","BIO_OIL",2033,688.838158480092
"Region1","BIO_RESPRD","BIO_OIL",2034,688.838158480091
"Region1","BIO_RESPRD","BIO_OIL",2035,688.838158480091
"Region1","BIO_RESPRD2","BIO_MOLASSE",2018,0.0355297430101791
"Region1","BIO_RESPRD2","BIO_MOLASSE",2019,53.9797518599192
"Region1","BIO_RESPRD2","BIO_MOLASSE",2020,132.75774309234
"Region1","BIO_RESPRD2","BIO_MOLASSE",2021,132.671881908318
"Region1","BIO_RESPRD2","BIO_MOLASSE",2022,133.462982306238
"Region1","BIO_RESPRD2","BIO_MOLASSE",2023,132.193014407052
"Region1","BIO_RESPRD2","BIO_MOLASSE",2024,129.277979754308
"Region1","BIO_RESPRD2","BIO_MOLASSE",2025,241.458153349856
"Region1","BIO_RESPRD2","BIO_MOLASSE",2026,241.458153349856
"Region1","BIO_RESPRD2","BIO_MOLASSE",2027,239.310538217193
"Region1","BIO_RESPRD2","BIO_MOLASSE",2028,235.828005151206
"Region1","BIO_RESPRD2","BIO_MOLASSE",2029,220.591865694394
"Region1","BIO_RESPRD2","BIO_MOLASSE",2030,203.1652163694
"Region1","BIO_RESPRD2","BIO_MOLASSE",2031,190.908818465877
"Region1","BIO_RESPRD2","BIO_MOLASSE",2032,169.027790086488
"Region1","BIO_RESPRD2","BIO_MOLASSE",2033,68.4419192610846
"Region1","BIO_RESPRD2","BIO_MOLASSE",2034,44.4662971634982
"Region1","BIO_RESPRD2","BIO_MOLASSE",2035,20.1436240962111
"Region1","BIODSL_PROD_001","BIODSL",2018,103.57237087036
"Region1","BIODSL_PROD_001","BIODSL",2019,140.58339523524
