REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2018,199.189588142517
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2019,270.368905927959
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2020,522.137899842556
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2021,551.90662687178
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2022,583.203433355592
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2023,617.727731568885
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2024,655.890412588841
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2025,688.90704918501
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2026,688.90704918501
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2027,688.90704918501
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2028,688.90704918501
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2029,688.90704918501
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2030,688.90704918501
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2031,688.90704918501
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2032,688.90704918501
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2033,688.907049185011
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2034,688.90704918501
"Region1","S1D1B1","BIO_RESPRD",1,"BIO_OIL",2035,688.90704918501
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2018,0.035533296339813
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2019,53.9851503749567
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2020,132.77102019436
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2021,132.685150423361
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2022,133.476329939232
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2023,132.206235030555
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2024,129.290908845192
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2025,241.482301580014
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2026,241.482301580015
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2027,239.334471664359
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2028,234.950807150025
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2029,218.84825963014
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2030,203.185534922892
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2031,190.927911257003
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2032,169.044694555944
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2033,68.4487641374983
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2034,44.4707442379219
"Region1","S1D1B1","BIO_RESPRD2",1,"BIO_MOLASSE",2035,20.1456386600771
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2018,103.582729143274
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2019,140.597454980738
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2020,271.522568820882
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2021,287.002926090369
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2022,303.277916461566
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2023,321.231269666607
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2024,341.076657612501
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2025,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2026,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2027,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2028,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2029,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2030,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2031,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2032,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2033,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2034,358.245995416022
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIODSL",2035,358.245995416022
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2018,0.0198954626762671
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2019,30.2268479143095
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2020,74.3398769285328
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2021,74.291797549474
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2022,74.7347872000179
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2023,74.0236478334575
"Region1","S1D1B1","BIOETH_PROD_001",1,"BIOGSL",2024,72.3913263410931
