REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2018,199.189588142517
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2019,270.368905927959
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2020,522.137899842556
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2021,551.90662687178
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2022,583.203433355592
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2023,617.727731568885
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2024,655.89041258884
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2025,688.90704918501
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2026,688.90704918501
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2027,688.90704918501
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2028,688.90704918501
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2029,688.90704918501
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2030,688.90704918501
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2031,688.90704918501
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2032,688.90704918501
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2033,688.907049185011
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2034,688.90704918501
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2035,688.90704918501
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2018,0.0355332963398131
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2019,53.9851503749567
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2020,132.77102019436
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2021,132.685150423361
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2022,133.476329939232
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2023,132.206235030555
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2024,129.290908845192
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2025,241.482301580014
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2026,241.482301580015
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2027,239.334471664359
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2028,234.950807150025
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2029,218.84825963014
