REGION,TECHNOLOGY,VALUE
"Region1","BIO_RESPRD",10977.3042991193
"Region1","BIO_RESPRD2",2589.17926427625
"Region1","BIODSL_PROD_001",5708.42657260494
"Region1","BIOETH_PROD_001",1449.70843464516
"Region1","COM_CWH_BIO_001",3126.198916554
"Region1","COM_CWH_DSL_001",271.605295115
"Region1","COM_CWH_KER_001",19.29700143
"Region1","COM_CWH_LPG_001",71.2059352760001
"Region1","COM_CWH_NGS_001",79.117705865
"Region1","COM_EL_APP_001",9564.97
"Region1","IMP_DSL",22902.8055464509
"Region1","IMP_GSL",9129.97388567915
"Region1","IMP_KER",3734.67391607777
"Region1","IMP_LPG",2130.047519012
"Region1","IND_BIO_AUTOPRD",2715.28490691836
"Region1","IND_CHEM_BIO_001",816.644954050666
"Region1","IND_CHEM_COA_001",8488.80273493034
"Region1","IND_CHEM_DSL_001",361.636904459
"Region1","IND_CHEM_ELC_001",1593.47548246
"Region1","IND_CHEM_NGS_001",6444.7230623
"Region1","IND_CMNT_COA_001",12204.152081769
"Region1","IND_CMNT_DSL_001",80.180067951
"Region1","IND_CMNT_ELC_001",480.92126388
"Region1","IND_CMNT_NGS_001",3265.4553817
"Region1","IND_FOOD_BIO_001",1408.8625286126
"Region1","IND_FOOD_COA_001",9634.3436675944
"Region1","IND_FOOD_DSL_001",563.040841983
"Region1","IND_FOOD_ELC_001",1133.97626156
"Region1","IND_FOOD_NGS_001",1434.47997085
"Region1","IND_OTH_BIO",4979.728265938
"Region1","IND_OTH_COA_001",7490.078428509
"Region1","IND_OTH_DSL_001",751.693575198
"Region1","IND_OTH_ELC_001",3284.9754624
"Region1","IND_OTH_LPG_001",13.473223155
"Region1","IND_OTH_NGS_001",8498.9045283
"Region1","IND_TEXT_COA_001",8654.059267659
"Region1","IND_TEXT_DSL_001",214.412446701
"Region1","IND_TEXT_ELC_001",2236.83741652
"Region1","IND_TEXT_NGS_001",667.51937638
"Region1","MIN_BIO",56390.2905881669
"Region1","MIN_COA",115547.861208049
"Region1","MIN_GEO",23675.1666258067
"Region1","MIN_HYD",1770.30428400767
"Region1","MIN_LIG",4404.4169871895
"Region1","MIN_NGS",35473.0279111655
"Region1","MIN_OIL",1159.43903897763
"Region1","MIN_SOL",4867.21672658784
"Region1","MIN_WND",2363.5243208903
"Region1","NGS_DISTRIB",4270.57560858497
"Region1","NGS_PIPELINE",35473.0279111655
"Region1","OTH_ALL_BIO_001",1050.88520595713
"Region1","OTH_ALL_EL_001",272.059659381579
"Region1","OTH_ALL_OILPRD_001",1159.43903897763
"Region1","PWR_BIO_001",761.084664192
"Region1","PWR_COA_001",9947.61685814691
"Region1","PWR_COA_002",16359.305019917
"Region1","PWR_COA_003",1674.68326509107
"Region1","PWR_GEO_001",3396.34357642737
"Region1","PWR_HYD_001",1686.0040800073
"Region1","PWR_NGS_001",5561.53716568887
"Region1","PWR_NGS_002",48.7261360987216
"Region1","PWR_OILPRD_001",132
"Region1","PWR_SOL_003",1499.48228214
"Region1","PWR_SOL_E001",1305.38189721312
"Region1","PWR_TRN_001",43236.2069836727
"Region1","PWR_WND_E001",2363.5243208903
"Region1","RES_CWH_BIO_001",11297.9370793804
"Region1","RES_CWH_EL_001",6065.76956756156
"Region1","RES_CWH_KER_001",127.899856577
"Region1","RES_CWH_LPG_001",1123.82876955
"Region1","RES_CWH_NGS_001",2.95744413100003
"Region1","RES_EL_APP_001",10719.26
"Region1","TRA_BUS",46887974.587
"Region1","TRA_BUS_BIODSL_001",34612941.8362447
"Region1","TRA_BUS_DSL_001",945298.56069
"Region1","TRA_BUS_ELC_001",11329734.1900653
"Region1","TRA_CAR",9639698.6482
"Region1","TRA_CAR_BIODSL_001",2502866.72991698
"Region1","TRA_CAR_BIOGSL_001",3272170.71224792
"Region1","TRA_CAR_DSL_001",2663.7336
"Region1","TRA_CAR_ELC_001",1561978.75383909
"Region1","TRA_CAR_GSL_001",506097.88862
"Region1","TRA_CAR_HYB_001",341190.67752
"Region1","TRA_CAR_NGS_001",1452730.152456
"Region1","TRA_MCY",21729679.7424
"Region1","TRA_MCY_001",823000
"Region1","TRA_MCY_BIOGSL_001",12928341.0788425
"Region1","TRA_MCY_EL_001",7978338.66355752
"Region1","TRA_PLANE_FREIGHT_001",18870.393899
"Region1","TRA_PLANE_FREIGHT_BIO_001",19843.146221
"Region1","TRA_PLANE_PSNG_001",2361914.6075611
"Region1","TRA_PLANE_PSNG_BIO_001",1595444.2056389
"Region1","TRA_RLW_FREIGHT_BIODSL_001",235164.135782656
"Region1","TRA_RLW_FREIGHT_DSL_001",643183.672615347
"Region1","TRA_RLW_PSNG_DSL_001",97998.347271
"Region1","TRA_RLW_PSNG_ELC_001",1354126.59012901
"Region1","TRA_SHIP_FREIGHT_001",19616356.2667887
"Region1","TRA_SHIP_FREIGHT_BIO_001",5546571.18291131
"Region1","TRA_SHIP_PSNG_001",816779.984051793
"Region1","TRA_SHIP_PSNG_BIO_001",292762.081958207
"Region1","TRA_TRAIN_FREIGHT",878347.808398
"Region1","TRA_TRAIN_PSNG",1452124.93740001
"Region1","TRA_TRUCK",15725904.994
"Region1","TRA_TRUCK_DSL_001",9144890.3688
"Region1","TRA_TRUCK_NGS_001",6581014.6252
