REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2018,27.468244204853
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2019,37.2838721274656
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2020,72.0028163882885
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2021,76.1079238456184
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2022,80.4237534597361
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2023,85.1846541833492
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2024,90.4472878960011
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2025,95.0002820826129
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2026,95.0002820826129
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2027,95.0002820826129
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2028,95.0002820826129
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2029,95.0002820826129
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2030,95.0002820826129
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2031,95.0002820826129
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2032,95.0002820826129
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2033,95.000282082613
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2034,95.0002820826129
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2035,95.0002820826129
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2018,0.00490004156526022
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2019,7.44455223670653
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2020,18.3091236848022
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2021,18.2972822433814
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2022,18.4063858986201
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2023,18.2312398107135
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2024,17.829216329752
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2025,33.300409387884
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2026,33.300409387884
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2027,33.0042236425152
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2028,32.3997163059885
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2029,30.1791750029963
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2030,28.0192852658668
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2031,26.3289589623407
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2032,23.3112633792646
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2033,9.43908457456101
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2034,6.13251563040943
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2035,2.77808357122463
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2018,3.49649727382447
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2019,5.33364166792149
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2020,7.25767625485179
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2021,9.27574375881528
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2022,11.3955741247997
