REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,273.119246109264
"Region1","BIO_RESPRD",2019,277.122663624862
"Region1","BIO_RESPRD",2020,535.917756087273
"Region1","BIO_RESPRD",2021,571.878868210508
"Region1","BIO_RESPRD",2022,592.872198553127
"Region1","BIO_RESPRD",2023,655.702526226344
"Region1","BIO_RESPRD",2024,676.208828424809
"Region1","BIO_RESPRD",2025,701.749367160535
"Region1","BIO_RESPRD",2026,744.11512862704
"Region1","BIO_RESPRD",2027,744.11512862704
"Region1","BIO_RESPRD",2028,744.11512862704
"Region1","BIO_RESPRD",2029,744.11512862704
"Region1","BIO_RESPRD",2030,744.11512862704
"Region1","BIO_RESPRD",2031,744.11512862704
"Region1","BIO_RESPRD",2032,744.11512862704
"Region1","BIO_RESPRD",2033,744.11512862704
"Region1","BIO_RESPRD",2034,744.11512862704
"Region1","BIO_RESPRD",2035,744.11512862704
"Region1","BIO_RESPRD2",2018,0.0355332963398163
"Region1","BIO_RESPRD2",2019,42.2637908512393
"Region1","BIO_RESPRD2",2020,132.77102019436
"Region1","BIO_RESPRD2",2021,132.68515042336
"Region1","BIO_RESPRD2",2022,133.476329939232
"Region1","BIO_RESPRD2",2023,132.206235030555
"Region1","BIO_RESPRD2",2024,144.666849782123
"Region1","BIO_RESPRD2",2025,241.482301580014
"Region1","BIO_RESPRD2",2026,241.482301580014
"Region1","BIO_RESPRD2",2027,239.33447166436
"Region1","BIO_RESPRD2",2028,241.482301580014
"Region1","BIO_RESPRD2",2029,233.938228084581
"Region1","BIO_RESPRD2",2030,215.7547648785
"Region1","BIO_RESPRD2",2031,241.263388443048
"Region1","BIO_RESPRD2",2032,234.037960007034
"Region1","BIO_RESPRD2",2033,170.029671912478
"Region1","BIO_RESPRD2",2034,44.470744237922
"Region1","BIO_RESPRD2",2035,20.1456386600772
"Region1","BIODSL_PROD_001",2018,142.027689084381
"Region1","BIODSL_PROD_001",2019,144.109549466907
"Region1","BIODSL_PROD_001",2020,278.68838070061
"Region1","BIODSL_PROD_001",2021,297.388907025745
"Region1","BIODSL_PROD_001",2022,308.305875482645
"Region1","BIODSL_PROD_001",2023,340.978952795811
"Region1","BIODSL_PROD_001",2024,351.64265648716
