REGION,EMISSION,YEAR,VALUE
"Region1","CO2",2018,721.542972122403
"Region1","CO2",2019,746.920171408115
"Region1","CO2",2020,772.264488407599
"Region1","CO2",2021,816.33486122838
"Region1","CO2",2022,868.994439387825
"Region1","CO2",2023,917.128202496756
"Region1","CO2",2024,951
"Region1","CO2",2025,945
"Region1","CO2",2026,1003
"Region1","CO2",2027,1065
"Region1","CO2",2028,1129
"Region1","CO2",2029,1187
"Region1","CO2",2030,1248
"Region1","CO2",2031,1309
"Region1","CO2",2032,1373
"Region1","CO2",2033,1431.229721843
"Region1","CO2",2034,1501.80843579923
"Region1","CO2",2035,1577
