REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
"Region1","BIODSL_PROD_001","CO2",1,2018,5.34594456051672
"Region1","BIODSL_PROD_001","CO2",1,2019,7.43530914721714
"Region1","BIODSL_PROD_001","CO2",1,2020,14.3788824121071
"Region1","BIODSL_PROD_001","CO2",1,2021,15.3437330757682
"Region1","BIODSL_PROD_001","CO2",1,2022,15.906992316587
"Region1","BIODSL_PROD_001","CO2",1,2023,17.5927545128674
"Region1","BIODSL_PROD_001","CO2",1,2024,18.14294659863
"Region1","BIODSL_PROD_001","CO2",1,2025,18.8282092141181
"Region1","BIODSL_PROD_001","CO2",1,2026,19.9648991175723
"Region1","BIODSL_PROD_001","CO2",1,2027,19.9648991175723
"Region1","BIODSL_PROD_001","CO2",1,2028,19.9648991175723
"Region1","BIODSL_PROD_001","CO2",1,2029,19.9648991175723
"Region1","BIODSL_PROD_001","CO2",1,2030,19.9648991175723
"Region1","BIODSL_PROD_001","CO2",1,2031,19.9371195508999
"Region1","BIODSL_PROD_001","CO2",1,2032,19.4769382685995
"Region1","BIODSL_PROD_001","CO2",1,2033,18.4710935630526
"Region1","BIODSL_PROD_001","CO2",1,2034,18.6761010796367
"Region1","BIODSL_PROD_001","CO2",1,2035,15.4910222816696
"Region1","BIOETH_PROD_001","CO2",1,2018,0.000604761583152029
"Region1","BIOETH_PROD_001","CO2",1,2019,0.714353730681867
"Region1","BIOETH_PROD_001","CO2",1,2020,2.25970626540154
"Region1","BIOETH_PROD_001","CO2",1,2021,2.25824479843946
"Region1","BIOETH_PROD_001","CO2",1,2022,2.27171033712746
"Region1","BIOETH_PROD_001","CO2",1,2023,2.25009386224769
"Region1","BIOETH_PROD_001","CO2",1,2024,2.20047625113715
"Region1","BIOETH_PROD_001","CO2",1,2025,4.10992601446564
"Region1","BIOETH_PROD_001","CO2",1,2026,4.10992601446564
"Region1","BIOETH_PROD_001","CO2",1,2027,4.07337086327137
