REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIO_RESPRD",2018,0.0273119246109264
"Region1","BIO_RESPRD",2019,0.0277122663624862
"Region1","BIO_RESPRD",2020,0.0535917756087273
"Region1","BIO_RESPRD",2021,0.0571878868210508
"Region1","BIO_RESPRD",2022,0.0592872198553127
"Region1","BIO_RESPRD",2023,0.0655702526226344
"Region1","BIO_RESPRD",2024,0.0676208828424809
"Region1","BIO_RESPRD",2025,0.0701749367160535
"Region1","BIO_RESPRD",2026,0.074411512862704
"Region1","BIO_RESPRD",2027,0.074411512862704
"Region1","BIO_RESPRD",2028,0.074411512862704
"Region1","BIO_RESPRD",2029,0.074411512862704
"Region1","BIO_RESPRD",2030,0.074411512862704
"Region1","BIO_RESPRD",2031,0.074411512862704
"Region1","BIO_RESPRD",2032,0.074411512862704
"Region1","BIO_RESPRD",2033,0.074411512862704
"Region1","BIO_RESPRD",2034,0.074411512862704
"Region1","BIO_RESPRD",2035,0.074411512862704
"Region1","BIO_RESPRD2",2018,3.55332963398163e-06
"Region1","BIO_RESPRD2",2019,0.00422637908512393
"Region1","BIO_RESPRD2",2020,0.013277102019436
"Region1","BIO_RESPRD2",2021,0.013268515042336
"Region1","BIO_RESPRD2",2022,0.0133476329939232
"Region1","BIO_RESPRD2",2023,0.0132206235030555
"Region1","BIO_RESPRD2",2024,0.0144666849782123
"Region1","BIO_RESPRD2",2025,0.0241482301580014
"Region1","BIO_RESPRD2",2026,0.0241482301580014
"Region1","BIO_RESPRD2",2027,0.023933447166436
"Region1","BIO_RESPRD2",2028,0.0241482301580014
"Region1","BIO_RESPRD2",2029,0.0233938228084581
"Region1","BIO_RESPRD2",2030,0.02157547648785
"Region1","BIO_RESPRD2",2031,0.0241263388443048
"Region1","BIO_RESPRD2",2032,0.0234037960007034
"Region1","BIO_RESPRD2",2033,0.0170029671912478
"Region1","BIO_RESPRD2",2034,0.0044470744237922
"Region1","BIO_RESPRD2",2035,0.00201456386600773
"Region1","BIODSL_PROD_001",2018,3550.69222710952
"Region1","BIODSL_PROD_001",2019,52.0465095631537
"Region1","BIODSL_PROD_001",2020,3364.47078084258
"Region1","BIODSL_PROD_001",2021,467.513158128381
"Region1","BIODSL_PROD_001",2022,272.924211422495
"Region1","BIODSL_PROD_001",2023,816.826932829135
"Region1","BIODSL_PROD_001",2024,266.592592283743
"Region1","BIODSL_PROD_001",2025,332.040285175849
"Region1","BIODSL_PROD_001",2026,550.776930141767
"Region1","BIOETH_PROD_001",2018,0.497386566906723
"Region1","BIOETH_PROD_001",2019,591.101029603856
"Region1","BIOETH_PROD_001",2020,1266.89850704256
"Region1","BIOETH_PROD_001",2022,9.87275678712803
"Region1","BIOETH_PROD_001",2024,156.642215046069
"Region1","BIOETH_PROD_001",2025,1355.19949325155
"Region1","COM_CWH_BIO_001",2018,0.00432493596878199
"Region1","COM_CWH_BIO_001",2019,0.0140223846240029
"Region1","COM_CWH_BIO_001",2020,0.00897726571084954
"Region1","COM_CWH_BIO_001",2021,0.0114734817956329
"Region1","COM_CWH_BIO_001",2022,0.0247909516855686
"Region1","COM_CWH_BIO_001",2023,0.0252808247341351
"Region1","COM_CWH_BIO_001",2024,0.0296394206893552
"Region1","COM_CWH_BIO_001",2025,0.0323421464215615
"Region1","COM_CWH_BIO_001",2026,0.0260628032309792
"Region1","COM_CWH_BIO_001",2027,0.0294875695551007
"Region1","COM_CWH_BIO_001",2028,0.0331145407059024
"Region1","COM_CWH_BIO_001",2029,0.0554405082420676
"Region1","COM_CWH_BIO_001",2030,0.0581565838046894
"Region1","COM_CWH_BIO_001",2031,0.0492475231889541
"Region1","COM_CWH_BIO_001",2032,0.0845410593459346
"Region1","COM_CWH_BIO_001",2033,0.0520195367621972
"Region1","COM_CWH_BIO_001",2034,0.0700351894949066
"Region1","COM_CWH_BIO_001",2035,0.0675494122943068
"Region1","COM_CWH_DSL_001",2018,0.00484749768213453
"Region1","COM_CWH_DSL_001",2022,0.000498642289718083
"Region1","COM_CWH_KER_001",2018,0.000307517034431324
"Region1","COM_CWH_KER_001",2021,0.000320395286090794
"Region1","COM_CWH_LPG_001",2018,0.00127085374361949
"Region1","COM_CWH_LPG_001",2019,0.00129871193447672
"Region1","COM_CWH_NGS_001",2018,0.00199835080446561
"Region1","COM_CWH_NGS_001",2019,0.00167381115961596
"Region1","COM_CWH_NGS_001",2020,0.00152164650765077
"Region1","COM_CWH_NGS_001",2021,0.00233596879759468
"Region1","COM_CWH_NGS_001",2022,0.00121731720657066
"Region1","COM_CWH_NGS_001",2023,0.0015068563106961
"Region1","COM_CWH_NGS_001",2024,0.000756491904785581
"Region1","COM_CWH_NGS_001",2025,0.000507215502750275
"Region1","COM_CWH_NGS_001",2026,0.00121731720642064
"Region1","COM_CWH_NGS_001",2027,0.000645795561757216
"Region1","COM_CWH_NGS_001",2028,0.000608658603360336
"Region1","COM_CWH_NGS_001",2029,0.000304329301530153
"Region1","COM_EL_APP_001",2018,0.0484318346627991
"Region1","COM_EL_APP_001",2020,0.0131943437273387
"Region1","COM_EL_APP_001",2023,0.0304532269760696
"Region1","COM_EL_APP_001",2028,0.056133067440174
"Region1","COM_EL_APP_001",2029,0.118930384336476
"Region1","IMP_DSL",2018,0.199841512517012
"Region1","IMP_DSL",2019,0.168890400692904
"Region1","IMP_DSL",2020,0.175357569888773
"Region1","IMP_DSL",2021,0.16648647492022
"Region1","IMP_DSL",2022,0.158202739143713
"Region1","IMP_DSL",2023,0.150682648493869
"Region1","IMP_DSL",2024,0.172548447483227
"Region1","IMP_DSL",2025,0.170405627301464
"Region1","IMP_DSL",2026,0.142329252662592
"Region1","IMP_DSL",2027,0.155106129630892
"Region1","IMP_DSL",2028,0.148078104746039
"Region1","IMP_DSL",2029,0.144925464910516
"Region1","IMP_DSL",2030,0.138182380463791
"Region1","IMP_DSL",2031,0.132267918044566
"Region1","IMP_DSL",2032,0.13692976930866
"Region1","IMP_DSL",2033,0.124803976051607
"Region1","IMP_DSL",2034,0.128631894600282
"Region1","IMP_DSL",2035,0.144113484531834
