REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,594.809546383502
"Region1","BIODSL_PROD_001",2019,9.14420059398981
"Region1","BIODSL_PROD_001",2020,616.576180411073
"Region1","BIODSL_PROD_001",2021,88.9530140953517
"Region1","BIODSL_PROD_001",2022,53.6997214360836
"Region1","BIODSL_PROD_001",2023,165.623669291155
"Region1","BIODSL_PROD_001",2024,55.5385634704793
"Region1","BIODSL_PROD_001",2025,70.8833639331726
"Region1","BIODSL_PROD_001",2026,120.205628679666
"Region1","BIOETH_PROD_001",2018,0.0833218593209008
"Region1","BIOETH_PROD_001",2019,103.852235844037
"Region1","BIOETH_PROD_001",2020,232.173049886071
"Region1","BIOETH_PROD_001",2022,1.94253300764976
"Region1","BIOETH_PROD_001",2024,32.6328782355407
"Region1","BIOETH_PROD_001",2025,289.305554689928
"Region1","COM_CWH_DSL_001",2018,0.000812049514004973
"Region1","COM_CWH_DSL_001",2022,9.81113105156522e-05
"Region1","COM_CWH_KER_001",2018,5.15150444070448e-05
"Region1","COM_CWH_KER_001",2021,6.09611214234367e-05
"Region1","COM_CWH_LPG_001",2018,0.000212892554581518
"Region1","COM_CWH_LPG_001",2019,0.000228174425957492
"Region1","COM_EL_APP_001",2028,0.00373318241926885
"Region1","COM_EL_APP_001",2029,0.0114305781769112
"Region1","IND_CHEM_BIO_001",2018,0.0017570938318432
"Region1","IND_CHEM_BIO_001",2024,0.00265851791287713
"Region1","IND_CHEM_COA_001",2018,0.0184025862739426
"Region1","IND_CHEM_COA_001",2027,0.00576748700614853
"Region1","IND_CHEM_COA_001",2028,0.0489326312618929
"Region1","IND_CHEM_COA_001",2032,0.0273625273315484
"Region1","IND_CHEM_DSL_001",2018,0.00161767660858646
"Region1","IND_CHEM_ELC_001",2018,0.00193087234276582
"Region1","IND_CHEM_ELC_001",2019,0.000911520858705553
"Region1","IND_CHEM_ELC_001",2026,0.000833036733673816
"Region1","IND_CHEM_ELC_001",2027,7.55393787187751e-06
"Region1","IND_CHEM_ELC_001",2028,0.00046395382198484
"Region1","IND_CHEM_ELC_001",2031,0.000726085451830185
"Region1","IND_CHEM_ELC_001",2033,0.00385205292036835
"Region1","IND_CHEM_NGS_001",2018,0.0101789290766397
"Region1","IND_CHEM_NGS_001",2019,0.00796850075871507
"Region1","IND_CHEM_NGS_001",2031,0.000505326369998993
"Region1","IND_CHEM_NGS_001",2034,0.00858247160221568
"Region1","IND_CMNT_COA_001",2018,0.027961469322077
"Region1","IND_CMNT_COA_001",2020,0.0145736430386322
"Region1","IND_CMNT_COA_001",2022,0.0111931064620631
"Region1","IND_CMNT_COA_001",2029,0.0136969675093621
"Region1","IND_CMNT_DSL_001",2018,0.000363840350624728
"Region1","IND_CMNT_DSL_001",2025,0.000133367202024054
"Region1","IND_CMNT_ELC_001",2018,0.0012305910399002
"Region1","IND_CMNT_ELC_001",2026,4.51515163748664e-05
"Region1","IND_CMNT_ELC_001",2030,0.000104582321237157
"Region1","IND_CMNT_ELC_001",2035,0.000236804324386033
"Region1","IND_CMNT_NGS_001",2018,0.00775257854392267
"Region1","IND_CMNT_NGS_001",2019,0.000508826699620584
"Region1","IND_CMNT_NGS_001",2024,0.000327046652755477
"Region1","IND_CMNT_NGS_001",2027,0.00150346738405144
"Region1","IND_CMNT_NGS_001",2028,0.00524409493792993
"Region1","IND_FOOD_BIO_001",2018,0.00408691635111679
"Region1","IND_FOOD_BIO_001",2022,0.000237505020847391
"Region1","IND_FOOD_BIO_001",2023,3.58541630517834e-05
"Region1","IND_FOOD_BIO_001",2024,0.00233391907255669
"Region1","IND_FOOD_COA_001",2018,0.00850667279556321
"Region1","IND_FOOD_COA_001",2019,0.00774698809740772
"Region1","IND_FOOD_COA_001",2023,0.00505447078916323
"Region1","IND_FOOD_COA_001",2024,0.0221487448405064
"Region1","IND_FOOD_COA_001",2028,0.0845746387693933
"Region1","IND_FOOD_DSL_001",2018,0.00279824903389555
"Region1","IND_FOOD_DSL_001",2019,0.000719754360871215
"Region1","IND_FOOD_DSL_001",2020,0.000818308423026558
"Region1","IND_FOOD_ELC_001",2018,0.0029263281959361
"Region1","IND_FOOD_ELC_001",2023,1.25979101986598e-06
"Region1","IND_FOOD_ELC_001",2027,0.0135377804134552
"Region1","IND_FOOD_NGS_001",2018,0.0022187822540731
"Region1","IND_FOOD_NGS_001",2019,0.00102025697843453
"Region1","IND_FOOD_NGS_001",2021,0.00233746461577279
"Region1","IND_FOOD_NGS_001",2024,0.00287272961653702
"Region1","IND_OTH_COA_001",2018,0.0142426335732958
"Region1","IND_OTH_COA_001",2019,0.00636276074399077
"Region1","IND_OTH_COA_001",2020,0.00606223233270297
"Region1","IND_OTH_COA_001",2024,0.00601631494857499
"Region1","IND_OTH_COA_001",2027,0.00162537367903236
"Region1","IND_OTH_DSL_001",2018,0.00405807939803559
"Region1","IND_OTH_ELC_001",2018,0.00657137566166305
"Region1","IND_OTH_ELC_001",2021,0.00436377763291916
"Region1","IND_OTH_ELC_001",2029,0.00126231903893038
"Region1","IND_OTH_ELC_001",2034,0.00723190548540345
"Region1","IND_OTH_LPG_001",2018,0.000206781036824761
"Region1","IND_OTH_NGS_001",2018,0.0090682283605304
"Region1","IND_OTH_NGS_001",2019,0.00413486534236822
"Region1","IND_OTH_NGS_001",2020,0.000243796007881573
"Region1","IND_OTH_NGS_001",2027,0.000265524504759403
"Region1","IND_OTH_NGS_001",2028,0.00292018314909123
"Region1","IND_OTH_NGS_001",2029,0.00183695164121555
"Region1","IND_OTH_NGS_001",2030,0.0137339979436445
"Region1","IND_OTH_NGS_001",2034,0.00658178415928382
"Region1","IND_TEXT_COA_001",2018,0.0154805923741763
"Region1","IND_TEXT_COA_001",2019,0.00126356199333796
"Region1","IND_TEXT_COA_001",2024,0.0175576093956068
"Region1","IND_TEXT_COA_001",2032,0.00242436557708014
"Region1","IND_TEXT_COA_001",2033,0.0038246608723506
"Region1","IND_TEXT_COA_001",2035,0.0125603647951885
"Region1","IND_TEXT_DSL_001",2018,0.000771682115707269
"Region1","IND_TEXT_DSL_001",2020,2.78876933248757e-05
"Region1","IND_TEXT_DSL_001",2022,0.000625359971285168
"Region1","IND_TEXT_ELC_001",2018,0.00421178736318788
"Region1","IND_TEXT_ELC_001",2020,0.000981017909264638
"Region1","IND_TEXT_ELC_001",2028,0.000731518943477437
"Region1","IND_TEXT_ELC_001",2032,0.00557735691436505
"Region1","IND_TEXT_ELC_001",2035,0.00194390708771043
"Region1","IND_TEXT_NGS_001",2018,0.000834277115978853
"Region1","IND_TEXT_NGS_001",2023,0.00028292591869235
"Region1","IND_TEXT_NGS_001",2025,0.000330795012904417
"Region1","IND_TEXT_NGS_001",2030,7.8064653394399e-05
"Region1","IND_TEXT_NGS_001",2031,0.0012623893255081
"Region1","IND_TEXT_NGS_001",2032,0.000148040045677234
"Region1","IND_TEXT_NGS_001",2035,0.00110206834442661
"Region1","NGS_DISTRIB",2018,6.89885454042912
"Region1","NGS_DISTRIB",2019,209.841085795934
"Region1","NGS_DISTRIB",2020,197.959485537952
"Region1","NGS_DISTRIB",2021,200.460419636149
"Region1","NGS_DISTRIB",2022,203.031782684082
"Region1","NGS_DISTRIB",2023,205.675602496511
"Region1","NGS_DISTRIB",2024,208.394425277826
"Region1","NGS_DISTRIB",2025,211.189798132894
"Region1","NGS_DISTRIB",2026,214.065301235465
"Region1","NGS_DISTRIB",2027,217.021996747095
"Region1","NGS_DISTRIB",2028,220.062983130076
"Region1","NGS_DISTRIB",2029,223.19086919939
"Region1","NGS_DISTRIB",2030,961.971877374967
"Region1","NGS_DISTRIB",2032,31.4172067478899
"Region1","NGS_DISTRIB",2033,234.800499846852
"Region1","NGS_DISTRIB",2034,238.789346809798
"Region1","NGS_DISTRIB",2035,1990.35391802669
"Region1","NGS_PIPELINE",2020,399.031296828458
"Region1","NGS_PIPELINE",2021,7.02892112450553
"Region1","NGS_PIPELINE",2025,2021.20662299009
"Region1","NGS_PIPELINE",2026,732.112904886615
"Region1","NGS_PIPELINE",2027,471.23744565642
"Region1","NGS_PIPELINE",2028,30.521227982629
"Region1","NGS_PIPELINE",2029,399.490691458032
"Region1","NGS_PIPELINE",2030,47.0627502063003
"Region1","NGS_PIPELINE",2031,103.649687421563
"Region1","NGS_PIPELINE",2032,135.874963576253
"Region1","NGS_PIPELINE",2033,569.858886893819
"Region1","NGS_PIPELINE",2034,600.099917459947
"Region1","NGS_PIPELINE",2035,723.637856466643
"Region1","PWR_BIO_001",2019,115.184396024334
"Region1","PWR_COA_002",2020,107.057834242718
"Region1","PWR_COA_002",2021,705.496290767583
"Region1","PWR_COA_002",2022,1593.02858039392
"Region1","PWR_COA_002",2023,1385.91219867558
"Region1","PWR_COA_002",2024,3737.64515199711
"Region1","PWR_COA_002",2027,2753.95143416862
"Region1","PWR_COA_002",2028,973.529793325236
"Region1","PWR_COA_002",2029,3543.46193073336
"Region1","PWR_COA_002",2030,4200.7179566614
"Region1","PWR_COA_002",2031,4017.79588203073
"Region1","PWR_COA_002",2032,4375.76780732618
"Region1","PWR_COA_002",2033,4426.44214283457
"Region1","PWR_COA_002",2034,4473.36282386086
"Region1","PWR_COA_002",2035,4439.27550975811
"Region1","PWR_COA_003",2021,248.209026698245
"Region1","PWR_COA_003",2022,366.676156529647
"Region1","PWR_COA_003",2023,350.774609240972
"Region1","PWR_COA_003",2026,105.020651411819
"Region1","PWR_COA_003",2027,343.894076893464
"Region1","PWR_COA_003",2028,433.73898600667
"Region1","PWR_GEO_001",2019,334.273252830037
"Region1","PWR_GEO_001",2023,1153.50811091282
"Region1","PWR_GEO_001",2024,1824.94874232508
"Region1","PWR_GEO_001",2025,1857.26037999276
"Region1","PWR_GEO_001",2028,794.853978291445
"Region1","PWR_GEO_001",2029,1950.35191275999
"Region1","PWR_GEO_001",2030,1451.15336284827
"Region1","PWR_GEO_001",2031,1595.40809530909
"Region1","PWR_GEO_001",2032,905.262945027008
"Region1","PWR_GEO_001",2033,1497.11899146813
"Region1","PWR_GEO_001",2034,60.1361460341116
"Region1","PWR_GEO_001",2035,70.3193321984597
"Region1","PWR_HYD_001",2024,977.567618042513
"Region1","PWR_HYD_001",2032,1391.5704383925
"Region1","PWR_HYD_001",2033,2488.33116421716
"Region1","PWR_HYD_001",2034,2493.41840105402
"Region1","PWR_HYD_001",2035,2498.1288055326
"Region1","PWR_NGS_001",2022,212.443722854109
"Region1","PWR_NGS_001",2023,681.233559001362
"Region1","PWR_NGS_001",2024,710.02516868524
"Region1","PWR_NGS_001",2027,338.518082907397
"Region1","PWR_NGS_001",2035,218.075749396646
"Region1","PWR_NGS_002",2023,311.611352706894
"Region1","PWR_NGS_002",2024,544.006757635664
"Region1","PWR_NGS_002",2027,182.776814954212
"Region1","PWR_SOL_003",2019,25.4281342100504
"Region1","PWR_SOL_003",2020,54.9172275513412
"Region1","PWR_SOL_003",2021,117.191923994784
"Region1","PWR_SOL_003",2022,123.845591120176
"Region1","PWR_SOL_003",2023,129.85131376193
"Region1","PWR_SOL_003",2024,135.260535788159
"Region1","PWR_SOL_003",2025,350.301587510303
"Region1","PWR_SOL_003",2026,361.188108152551
"Region1","PWR_SOL_003",2027,370.911353629097
"Region1","PWR_SOL_003",2028,379.563828392115
"Region1","PWR_SOL_003",2029,387.230715384628
"Region1","PWR_SOL_003",2030,787.980906279033
"Region1","PWR_SOL_003",2031,799.830535110551
"Region1","PWR_SOL_003",2032,810.143323793068
"Region1","PWR_SOL_003",2033,819.041736580881
"Region1","PWR_SOL_003",2034,826.638527469209
"Region1","PWR_SOL_003",2035,833.037506793595
"Region1","PWR_SOL_E001",2020,9.72401042509082
"Region1","PWR_SOL_E001",2024,137.48399665043
"Region1","PWR_SOL_E001",2025,347.885714492991
"Region1","PWR_SOL_E001",2026,350.15180484789
