REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2018,0.732015995304276
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2019,38.2152153138684
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2020,73.903058564435
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2021,78.8620959262291
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2022,81.7570761804762
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2023,90.4213783666128
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2024,93.2491974397812
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2025,96.7712377314378
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2026,102.613476237669
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2027,102.613476237669
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2028,102.613476237669
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2029,102.613476237669
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2030,102.613476237669
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2031,101.578202851795
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2032,102.613476237669
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2033,74.1466963652134
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2034,102.613476237669
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2035,96.1239329874057
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2018,0.0049000415652604
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2019,5.8281767583859
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2020,18.3091236848022
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2021,18.2972822433814
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2022,18.4063858986201
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2023,18.2312398107135
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2024,19.9495585849548
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2025,33.300409387884
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2026,33.300409387884
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2027,33.0042236425152
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2028,33.3004093878839
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2029,22.6617497205157
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2030,29.7525820767451
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2031,33.2702212662963
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2032,10.6115793101216
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2034,6.13251563040944
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2035,2.77808357122456
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2018,0.380663544099988
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2019,19.8727068714864
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2020,38.4311276986141
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2021,41.0099302788503
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2022,42.5153802290568
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2023,47.0209975905423
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2024,48.4915223295794
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2025,50.3230565426094
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2026,53.3611420892714
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2027,53.3611420892714
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2028,53.3611420892714
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2029,53.3611420892714
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2030,53.3611420892714
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2031,52.8227783940693
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2032,53.3611420892713
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2033,38.5578244228879
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2034,53.3611420892714
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2035,49.9864446112354
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2018,0.00274358430305734
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2019,3.26325686359793
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2020,10.2514690284447
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2021,10.2448388820725
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2022,10.3059271548825
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2023,10.2078610362338
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2024,11.1699656130766
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2025,18.6452460178522
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2026,18.6452460178522
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2027,18.479408534443
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2028,18.6452460178521
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2029,12.6885496755407
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2030,16.658780558088
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2031,18.6283433741861
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2032,5.94153376826515
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2034,3.43365936753048
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2035,1.55547792341801
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2025,44.5998199153333
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2030,80.1979290666667
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2031,67.9123344775676
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2034,96.5785263134762
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2018,6.68469930366389
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2019,5.98989130089124
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2021,6.68469930366351
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2022,7.37232702118475
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2023,7.37232702118475
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2026,7.37232702118475
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2018,0.424065990480795
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2019,0.424065990480795
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2020,0.424065990480797
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2021,0.86589109
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2022,0.752238959699783
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2023,0.86589109
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2026,0.86589109
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2018,1.75250731245128
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2021,0.633923331214279
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2018,2.75572575935807
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2019,2.30818558911041
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2023,2.07795485244992
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2024,1.04320233669932
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2025,0.699450178292629
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2026,1.67868042765407
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2027,0.8905520796632
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2018,12.327
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2019,13.3575
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2020,14.4745
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2021,15.685
