REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2018,5.30831033578156
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2019,277.122663624862
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2020,535.917756087273
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2021,571.878868210508
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2022,592.872198553127
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2023,655.702526226344
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2024,676.208828424809
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2025,701.749367160535
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2026,744.11512862704
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2027,744.11512862704
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2028,744.11512862704
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2029,744.11512862704
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2030,744.11512862704
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2031,736.607707409683
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2032,744.11512862704
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2033,537.684527666522
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2034,744.11512862704
"Region1","S1D1B1","BIO_RESPRD","BIO_OIL",2035,697.055351612804
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2018,0.0355332963398144
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2019,42.2637908512393
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2020,132.77102019436
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2021,132.68515042336
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2022,133.476329939232
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2023,132.206235030555
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2024,144.666849782123
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2025,241.482301580014
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2026,241.482301580014
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2027,239.334471664359
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2028,241.482301580014
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2029,164.334660772413
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2030,215.7547648785
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2031,241.263388443048
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2032,76.9512640327887
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2034,44.470744237922
"Region1","S1D1B1","BIO_RESPRD2","BIO_MOLASSE",2035,20.1456386600766
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2018,2.76043179187808
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2019,144.109549466907
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2020,278.68838070061
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2021,297.388907025745
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2022,308.305875482645
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2023,340.978952795811
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2024,351.64265648716
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2025,364.924267894194
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2026,386.955345099865
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2027,386.955345099865
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2028,386.955345099865
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2029,386.955345099865
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2030,386.955345099865
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2031,383.051329906232
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2032,386.955345099865
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2033,279.607138672138
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2034,386.955345099865
"Region1","S1D1B1","BIODSL_PROD_001","BIODSL",2035,362.483282169945
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2018,0.0198954626762679
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2019,23.6639366468305
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2020,74.3398769285329
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2021,74.291797549474
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2022,74.734787200018
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2023,74.0236478334573
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2024,81.0004758018606
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2025,135.208455531923
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2026,135.208455531923
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2027,134.00586319393
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2028,135.208455531923
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2029,92.0126880024706
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2030,120.803339797592
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2031,135.085883786701
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2032,43.0858141281012
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2034,24.8996328319832
"Region1","S1D1B1","BIOETH_PROD_001","BIOGSL",2035,11.2797528891806
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2025,323.421464215615
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2030,581.565838046894
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2031,492.47523188954
"Region1","S1D1B1","COM_CWH_BIO_001","COM_OTH",2034,700.351894949066
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2018,48.474976821348
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2019,43.4364851406182
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2021,48.4749768213453
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2022,53.4613997185261
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2023,53.4613997185261
"Region1","S1D1B1","COM_CWH_DSL_001","COM_OTH",2026,53.4613997185261
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2018,3.07517034431324
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2019,3.07517034431324
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2020,3.07517034431325
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2021,6.27912320522117
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2022,5.45495982378378
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2023,6.27912320522117
"Region1","S1D1B1","COM_CWH_KER_001","COM_OTH",2026,6.27912320522117
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2018,12.7085374361949
"Region1","S1D1B1","COM_CWH_LPG_001","COM_OTH",2021,4.5969784714596
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2018,19.983508044656
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2019,16.7381115961596
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2023,15.068563106961
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2024,7.56491904785581
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2025,5.07215502750275
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2026,12.1731720642064
"Region1","S1D1B1","COM_CWH_NGS_001","COM_OTH",2027,6.45795561757216
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2018,89.3908629441624
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2019,96.8636693255983
"Region1","S1D1B1","COM_EL_APP_001","COM_ELC",2020,104.963741841914
