REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2018,5.30831033578155
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2019,277.122663624862
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2020,535.917756087273
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2021,571.878868210508
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2022,592.872198553127
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2023,655.702526226344
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2024,676.208828424809
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2025,701.749367160535
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2026,744.11512862704
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2027,744.11512862704
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2028,744.11512862704
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2029,744.11512862704
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2030,744.11512862704
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2031,736.607707409683
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2032,744.11512862704
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2033,537.684527666522
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2034,744.11512862704
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2035,697.055351612804
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2018,0.0355332963398144
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2019,42.2637908512393
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2020,132.77102019436
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2021,132.68515042336
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2022,133.476329939232
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2023,132.206235030555
