REGION,TECHNOLOGY,YEAR,VALUE
"Region1","BIODSL_PROD_001",2018,2376.87054564982
"Region1","BIODSL_PROD_001",2019,36.5404038780417
"Region1","BIODSL_PROD_001",2020,2463.85043965562
"Region1","BIODSL_PROD_001",2021,355.457978836298
"Region1","BIODSL_PROD_001",2022,214.585133959389
"Region1","BIODSL_PROD_001",2023,661.835412014011
"Region1","BIODSL_PROD_001",2024,221.933182584756
"Region1","BIODSL_PROD_001",2025,283.25130444478
"Region1","BIODSL_PROD_001",2026,480.344036115728
"Region1","BIOETH_PROD_001",2018,0.332955774554664
"Region1","BIOETH_PROD_001",2019,414.995559466724
"Region1","BIOETH_PROD_001",2020,927.768034529976
"Region1","BIOETH_PROD_001",2022,7.7623997763788
"Region1","BIOETH_PROD_001",2024,130.401617743748
"Region1","BIOETH_PROD_001",2025,1156.07063776347
"Region1","COM_CWH_DSL_001",2018,0.00324496569226752
"Region1","COM_CWH_DSL_001",2022,0.000392054709911134
"Region1","COM_CWH_KER_001",2018,0.000205855121951929
"Region1","COM_CWH_KER_001",2021,0.000243601829900233
"Region1","COM_CWH_LPG_001",2018,0.000850722799339039
"Region1","COM_CWH_LPG_001",2019,0.000911789455341467
"Region1","COM_EL_APP_001",2028,0.0149178697414127
"Region1","COM_EL_APP_001",2029,0.0456768132818948
"Region1","IND_CHEM_BIO_001",2018,0.00702138121394302
"Region1","IND_CHEM_BIO_001",2024,0.0106234894187895
"Region1","IND_CHEM_COA_001",2018,0.0735370935861076
"Region1","IND_CHEM_COA_001",2027,0.0230469905378652
"Region1","IND_CHEM_COA_001",2028,0.195535748668951
"Region1","IND_CHEM_COA_001",2032,0.109341192763848
"Region1","IND_CHEM_DSL_001",2018,0.00646426727128686
"Region1","IND_CHEM_ELC_001",2018,0.0077158035321291
"Region1","IND_CHEM_ELC_001",2019,0.00364245512530118
"Region1","IND_CHEM_ELC_001",2026,0.0033288310312979
"Region1","IND_CHEM_ELC_001",2027,3.01856830316541e-05
"Region1","IND_CHEM_ELC_001",2028,0.0018539685193728
"Region1","IND_CHEM_ELC_001",2031,0.00290145162358792
"Region1","IND_CHEM_ELC_001",2033,0.0153928785816842
"Region1","IND_CHEM_NGS_001",2018,0.0406751990710726
"Region1","IND_CHEM_NGS_001",2019,0.0318422844110954
"Region1","IND_CHEM_NGS_001",2031,0.00201929402796832
"Region1","IND_CHEM_NGS_001",2034,0.0342957238736548
"Region1","IND_CMNT_COA_001",2018,0.111734576636881
"Region1","IND_CMNT_COA_001",2020,0.058236561756535
