REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2018,0.732015995304276
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2019,38.2152153138684
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2020,73.903058564435
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2021,78.8620959262291
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2022,81.7570761804761
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2023,90.4213783666128
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2024,93.2491974397812
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2025,96.7712377314378
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2026,102.613476237669
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2027,102.613476237669
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2028,102.613476237669
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2029,102.613476237669
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2030,102.613476237669
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2031,101.578202851795
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2032,102.613476237669
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2033,74.1466963652134
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2034,102.613476237669
"Region1","S1D1B1","BIODSL_PROD_001","BIO_OIL",2035,96.1239329874056
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2018,0.0049000415652604
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2019,5.82817675838589
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2020,18.3091236848022
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2021,18.2972822433814
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2022,18.4063858986201
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2023,18.2312398107135
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2024,19.9495585849548
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2025,33.300409387884
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2026,33.300409387884
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2027,33.0042236425152
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2028,33.3004093878839
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2029,22.6617497205157
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2030,29.7525820767451
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2031,33.2702212662963
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2032,10.6115793101216
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2034,6.13251563040944
"Region1","S1D1B1","BIOETH_PROD_001","BIO_MOLASSE",2035,2.77808357122456
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2025,44.5998199153333
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2030,80.1979290666667
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2031,67.9123344775676
"Region1","S1D1B1","COM_CWH_BIO_001","BIO",2034,96.5785263134762
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2018,6.68469930366389
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2019,5.98989130089124
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2021,6.68469930366351
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2022,7.37232702118475
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2023,7.37232702118475
"Region1","S1D1B1","COM_CWH_DSL_001","DSL",2026,7.37232702118475
"Region1","S1D1B1","COM_CWH_KER_001","KER",2018,0.424065990480795
"Region1","S1D1B1","COM_CWH_KER_001","KER",2019,0.424065990480795
"Region1","S1D1B1","COM_CWH_KER_001","KER",2020,0.424065990480797
"Region1","S1D1B1","COM_CWH_KER_001","KER",2021,0.86589109
"Region1","S1D1B1","COM_CWH_KER_001","KER",2022,0.752238959699783
"Region1","S1D1B1","COM_CWH_KER_001","KER",2023,0.86589109
"Region1","S1D1B1","COM_CWH_KER_001","KER",2026,0.86589109
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2018,1.75250731245128
"Region1","S1D1B1","COM_CWH_LPG_001","LPG",2021,0.633923331214279
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2018,2.75572575935807
"Region1","S1D1B1","COM_CWH_NGS_001","NGS_002",2019,2.30818558911041
